cluster	noCat	PotentialChimeric	comp	incomp	classifs (nbTEs)
1	0	47	45	93	RYX (12)	RIX (12)	XXX (2)	RXX (1)	DTX (46)	RLX (67)	PotentialHostGene (2)	DHX (1)	MITE (1)
2	6	68	25	90	XXX (1)	RXX (8)	DTX (56)	RSX (1)	RLX (58)	PotentialHostGene (1)	LARD (7)
3	0	10	5	17	RXX (1)	DTX (17)	MITE (3)	RLX (5)
4	0	9	3	9	RLX (5)	RYX (7)
5	0	4	6	6	RPX (1)	DTX (11)
6	0	5	6	4	DTX (6)	RIX (4)
7	0	0	0	1	DMX (1)	LARD (8)
8	0	1	0	1	LARD (3)	RIX (1)	DXX (2)
9	0	2	0	5	RPX (1)	RLX (1)	PotentialHostGene (1)	DHX (3)
10	0	2	0	6	DTX (3)	RLX (3)
11	0	1	0	6	RLX (6)
12	0	0	0	0	rDNA (1)	LARD (4)
13	0	3	0	5	DTX (5)
14	0	1	3	2	RLX (5)
15	0	0	1	3	DTX (4)	PotentialHostGene (1)
16	0	3	0	5	RLX (5)
17	0	2	0	4	DTX (4)	MITE (1)
18	0	2	1	3	RIX (4)
19	0	1	3	1	RIX (4)
20	0	1	0	2	DTX (1)	MITE (2)	RLX (1)
21	0	2	3	1	RLX (3)	RYX (1)
22	0	2	0	4	RLX (4)
23	0	1	2	1	DTX (3)	MITE (1)
24	0	0	0	2	DTX (2)	PotentialHostGene (1)
25	0	1	1	2	DTX (3)
26	0	2	0	3	RLX (3)
27	0	0	0	2	PotentialHostGene (1)	DHX (2)
28	0	1	1	2	RLX (2)	RYX (1)
29	0	1	2	0	RXX (1)	RIX (2)
30	1	1	0	1	DTX (1)	LARD (1)
31	0	0	3	0	DTX (3)
32	0	0	0	3	DTX (3)
33	0	0	0	3	RLX (3)
34	0	1	1	1	DTX (2)
35	0	1	1	1	RLX (1)	RYX (1)
36	0	1	1	1	RLX (2)
37	0	1	0	2	RLX (2)
38	0	1	1	1	RLX (2)
39	0	1	0	1	LARD (1)	DHX (1)
40	0	1	0	2	DTX (2)
41	0	0	0	2	DTX (2)
42	0	1	0	2	DTX (1)	RLX (1)
43	0	1	1	1	DTX (2)
44	0	1	1	1	DTX (1)	RLX (1)
45	1	0	0	1	RLX (1)
46	0	1	0	2	DTX (1)	RLX (1)
47	0	1	0	2	DTX (2)
48	0	1	1	1	RLX (2)
49	0	0	0	1	DTX (1)	LARD (1)
50	0	1	1	1	DTX (2)
51	0	1	0	2	RLX (2)
52	0	0	1	1	RIX (2)
53	0	0	0	1	DTX (1)	PotentialHostGene (1)
54	0	1	2	0	RLX (2)
55	0	0	0	0	PotentialHostGene (1)	LARD (1)
56	0	0	2	0	RLX (2)
57	0	0	1	1	RLX (2)
58	0	1	0	2	RLX (2)
59	0	1	0	1	TRIM (1)	DTX (1)
60	0	1	1	1	DTX (2)
61	0	1	0	2	DTX (1)	DHX (1)
62	0	0	0	0	PotentialHostGene (1)	LARD (1)
63	0	0	0	2	DTX (2)
64	0	0	2	0	DTX (2)
65	0	0	1	1	DTX (2)
66	1	0	0	0	TRIM (1)
67	0	0	1	1	DTX (2)
68	0	0	0	2	DTX (2)
69	0	0	1	1	DTX (2)
70	0	0	2	0	DTX (2)
71	0	0	0	0	MITE (2)
72	0	0	0	1	RLX (1)
73	0	1	0	1	DTX (1)
74	0	0	0	0	LARD (1)
75	0	0	0	0	PotentialHostGene (1)
76	0	0	0	0	LARD (1)
77	0	1	0	1	DTX (1)
78	0	1	0	1	DTX (1)
79	0	1	0	1	RLX (1)
80	0	1	0	1	DTX (1)
81	0	1	0	1	DTX (1)
