cluster	sequencesNb	sizeOfSmallestSeq	sizeOfLargestSeq	averageSize	medSize
1	144	289	22668	7463	6919
2	138	644	24531	10121	9261
3	26	147	23473	6397	4811
4	12	2270	25423	13816	13803
5	12	1847	15029	5130	1890
6	10	2113	13177	5381	4811
7	9	8263	23505	11641	8792
8	6	1452	20773	11492	13328
9	6	2189	13135	7062	6648
10	6	1451	8142	4706	4847
11	6	1343	5527	3690	4310
12	5	114	23986	16630	20014
13	5	838	16520	9041	9850
14	5	7007	14325	8682	7424
15	5	164	13516	4729	3326
16	5	4666	10590	7253	5303
17	5	202	8504	3878	3047
18	4	5480	16441	10201	9442
19	4	6001	16053	10300	9573
20	4	1053	15222	6823	5508
21	4	7414	14429	9348	7775
22	4	1821	10713	5887	5508
23	4	435	9693	3928	2793
24	3	4708	23601	12836	10199
25	3	1639	14756	10158	14080
26	3	6147	11807	8089	6315
27	3	2432	8633	6137	7347
28	3	6657	6762	6726	6760
29	3	636	6186	3611	4012
30	3	1593	3021	2117	1737
31	3	2114	2127	2121	2123
32	3	2108	2113	2110	2111
33	3	1627	1730	1678	1678
34	2	5875	19011	12443	12443
35	2	8102	15803	11952	11952
36	2	6033	15225	10629	10629
37	2	7111	14053	10582	10582
38	2	7029	13862	10445	10445
39	2	6820	13100	9960	9960
40	2	3682	12589	8135	8135
41	2	2801	12350	7575	7575
42	2	533	10806	5669	5669
43	2	2107	9118	5612	5612
44	2	6309	9112	7710	7710
45	2	1189	8989	5089	5089
46	2	422	7716	4069	4069
47	2	2127	7569	4848	4848
48	2	7231	7245	7238	7238
49	2	6414	6610	6512	6512
50	2	1464	6238	3851	3851
51	2	5938	6000	5969	5969
52	2	2147	5977	4062	4062
53	2	4720	5814	5267	5267
54	2	5756	5766	5761	5761
55	2	5109	5547	5328	5328
56	2	5431	5540	5485	5485
57	2	1979	5401	3690	3690
58	2	5342	5364	5353	5353
59	2	1252	5296	3274	3274
60	2	1890	4986	3438	3438
61	2	1246	4212	2729	2729
62	2	1891	4203	3047	3047
63	2	2103	2108	2105	2105
64	2	2103	2103	2103	2103
65	2	895	2102	1498	1498
66	2	1791	2095	1943	1943
67	2	634	2002	1318	1318
68	2	1857	1881	1869	1869
69	2	1600	1605	1602	1602
70	2	1472	1496	1484	1484
71	2	1053	1058	1055	1055
72	1	22748	22748	22748	22748
73	1	21753	21753	21753	21753
74	1	21339	21339	21339	21339
75	1	20072	20072	20072	20072
76	1	19899	19899	19899	19899
77	1	19826	19826	19826	19826
78	1	19396	19396	19396	19396
79	1	18426	18426	18426	18426
80	1	18154	18154	18154	18154
81	1	17973	17973	17973	17973
82	1	17747	17747	17747	17747
83	1	17632	17632	17632	17632
84	1	17495	17495	17495	17495
85	1	16695	16695	16695	16695
86	1	16085	16085	16085	16085
87	1	15817	15817	15817	15817
88	1	15637	15637	15637	15637
89	1	14998	14998	14998	14998
90	1	14985	14985	14985	14985
91	1	14796	14796	14796	14796
92	1	14776	14776	14776	14776
93	1	14733	14733	14733	14733
94	1	14561	14561	14561	14561
95	1	14474	14474	14474	14474
96	1	14220	14220	14220	14220
97	1	14119	14119	14119	14119
98	1	13820	13820	13820	13820
99	1	13677	13677	13677	13677
100	1	13613	13613	13613	13613
101	1	13542	13542	13542	13542
102	1	13455	13455	13455	13455
103	1	13310	13310	13310	13310
104	1	13283	13283	13283	13283
105	1	13205	13205	13205	13205
106	1	13102	13102	13102	13102
107	1	13080	13080	13080	13080
108	1	13005	13005	13005	13005
109	1	12540	12540	12540	12540
110	1	12525	12525	12525	12525
111	1	12426	12426	12426	12426
112	1	12341	12341	12341	12341
113	1	12321	12321	12321	12321
114	1	12314	12314	12314	12314
115	1	11972	11972	11972	11972
116	1	11369	11369	11369	11369
117	1	11299	11299	11299	11299
118	1	11044	11044	11044	11044
119	1	10964	10964	10964	10964
120	1	10582	10582	10582	10582
121	1	10548	10548	10548	10548
122	1	10378	10378	10378	10378
