TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
AeTango2_1p:ClassII:TIR:Tc1-Mariner	336	327	1	1	1	1	36.70	0.00	36.70	36.70	36.70	36.70	36.70	327.00	0.00	327	327.00	327.00	327.00	327	97.32	0.00	97.32	97.32	97.32	97.32	97.32
Copia-15_CQ-I_1p:ClassI:LTR:Copia	1378	2970	2	1	2	1	22.16	1.24	21.28	21.28	22.16	23.04	23.04	1485.00	246.07	1311	1311.00	1485.00	1659.00	1659	107.76	17.86	95.14	95.14	107.76	120.39	120.39
Copia-1_ATe-I_1p:ClassI:LTR:Copia	1524	5274	3	1	3	1	28.15	4.62	23.22	23.22	28.85	32.38	32.38	1758.00	1837.27	33	33.00	1551.00	3690.00	3690	115.35	120.56	2.17	2.17	101.77	242.13	242.13
Copia-1_VA-I_1p:ClassI:LTR:Copia	608	21815	17	1	15	0	47.57	8.34	32.85	39.63	45.60	56.50	56.50	1455.00	462.04	36	1338.00	1671.00	1728.00	1728	239.31	75.99	5.92	220.07	274.84	284.21	284.21
Copia-6_BG-I_1p:ClassI:LTR:Copia	1507	6264	3	1	3	1	31.33	2.41	28.87	28.87	31.42	33.69	33.69	2088.00	2362.94	54	54.00	1530.00	4680.00	4680	138.55	156.80	3.58	3.58	101.53	310.55	310.55
EnSpm-17_CCri_1p:ClassII:TIR:CACTA	1205	1212	1	1	1	1	30.38	0.00	30.38	30.38	30.38	30.38	30.38	1212.00	0.00	1212	1212.00	1212.00	1212.00	1212	100.58	0.00	100.58	100.58	100.58	100.58	100.58
EnSpm-2_PGr_1p:ClassII:TIR:CACTA	500	5946	13	1	13	1	33.43	6.20	24.88	28.81	32.79	35.16	48.65	457.38	114.05	333	366.00	408.00	588.00	633	91.48	22.81	66.60	73.20	81.60	117.60	126.60
EnSpm-7_CCri_5p:ClassII:TIR:CACTA	348	1176	3	1	2	0	45.39	17.80	32.80	32.80	45.39	57.98	57.98	588.00	55.15	549	549.00	588.00	627.00	627	168.97	15.85	157.76	157.76	168.97	180.17	180.17
FLIPPER_1p:ClassII:TIR:Tc1-Mariner	532	1605	4	1	4	1	34.52	5.21	27.50	34.54	35.28	40.00	40.00	401.25	452.38	27	57.00	298.50	981.00	981	75.42	85.03	5.08	10.71	56.11	184.40	184.40
Gypsy-1_CH_1p:ClassI:LTR:Gypsy	645	24096	28	1	21	1	55.01	6.51	38.84	50.93	55.32	58.70	67.18	1148.19	626.68	29	534.00	1362.00	1643.00	1893	178.01	97.16	4.50	82.79	211.16	254.73	293.49
Gypsy-1_CH_2p:ClassI:LTR:Gypsy	1221	28798	31	1	21	0	55.71	8.42	31.23	51.66	57.73	59.79	70.20	1371.43	920.80	78	539.00	1155.00	1920.00	3258	112.32	75.41	6.39	44.14	94.59	157.25	266.83
Gypsy-1_TMe-I_1p:ClassI:LTR:Gypsy	475	486	1	1	1	1	38.89	0.00	38.89	38.89	38.89	38.89	38.89	486.00	0.00	486	486.00	486.00	486.00	486	102.32	0.00	102.32	102.32	102.32	102.32	102.32
Gypsy-2_CH_1p:ClassI:LTR:Gypsy	710	232713	144	3	135	2	62.70	14.43	38.92	50.98	59.32	75.53	97.04	1724.04	610.85	36	1563.00	2069.00	2069.00	2130	242.82	86.04	5.07	220.14	291.41	291.41	300.00
Gypsy-2_CH_2p:ClassI:LTR:Gypsy	1497	367702	199	1	182	1	69.62	14.66	35.81	56.78	68.75	82.79	100.00	2021.05	1921.87	21	154.00	1006.50	4365.00	4509	135.01	128.38	1.40	10.29	67.23	291.58	301.20
Gypsy-2_GDe-I_1p:ClassI:LTR:Gypsy	1287	583695	225	1	213	3	50.72	6.79	32.25	44.96	52.63	56.38	63.91	2742.25	1308.47	75	1620.00	3720.00	3777.00	4167	213.07	101.67	5.83	125.87	289.04	293.47	323.78
Gypsy-2_GDe-I_3p:ClassI:LTR:Gypsy	437	111480	141	6	141	6	36.96	2.86	31.49	35.15	36.64	38.59	45.59	790.64	158.72	381	741.00	840.00	855.00	1224	180.92	36.32	87.19	169.57	192.22	195.65	280.09
Gypsy-3_CH_1p:ClassI:LTR:Gypsy	717	43500	32	1	32	1	56.79	7.73	45.40	50.58	55.94	62.50	83.33	1359.38	788.56	27	744.00	1872.00	2082.00	2109	189.59	109.98	3.77	103.77	261.09	290.38	294.14
Gypsy-4_CH_2p:ClassI:LTR:Gypsy	1436	60167	47	3	43	3	57.16	9.06	35.27	52.25	59.24	63.31	71.66	1454.42	1200.22	21	510.00	1475.00	2031.00	4260	101.28	83.58	1.46	35.52	102.72	141.43	296.66
Gypsy-6_CH_2p:ClassI:LTR:Gypsy	1462	171636	92	1	89	1	64.49	11.29	25.53	57.47	63.03	70.58	88.41	1955.10	1573.17	21	621.00	1475.00	3690.00	4353	133.73	107.60	1.44	42.48	100.89	252.39	297.74
Mariner-15_CFl_1p:ClassII:TIR:Tc1-Mariner	336	339	1	1	1	1	39.82	0.00	39.82	39.82	39.82	39.82	39.82	339.00	0.00	339	339.00	339.00	339.00	339	100.89	0.00	100.89	100.89	100.89	100.89	100.89
Mariner-15_CGi_1p:ClassII:TIR:Tc1-Mariner	325	684	4	2	4	2	34.99	2.33	33.05	33.05	34.58	37.74	37.74	171.00	173.22	21	21.00	169.50	324.00	324	52.62	53.30	6.46	6.46	52.15	99.69	99.69
Mariner-16_LMi_1p:ClassII:TIR:Tc1-Mariner	343	1023	3	1	3	1	38.38	4.47	33.33	33.33	40.00	41.82	41.82	341.00	32.91	315	315.00	330.00	378.00	378	99.42	9.59	91.84	91.84	96.21	110.20	110.20
Mariner-1_AFp:ClassII:TIR:Tc1-Mariner	556	133855	134	2	134	2	41.97	6.45	24.08	37.50	42.82	47.70	52.08	998.92	680.21	21	84.00	1515.00	1590.00	1620	179.66	122.34	3.78	15.11	272.48	285.97	291.37
Mariner-2_SS_1p:ClassII:TIR:Tc1-Mariner	550	3043	15	1	15	1	33.66	7.15	23.33	28.48	31.85	37.32	48.78	202.87	221.96	27	51.00	72.00	282.00	759	36.88	40.36	4.91	9.27	13.09	51.27	138.00
Mariner-2_TMe_1p:ClassII:TIR:Tc1-Mariner	585	30767	42	1	40	0	35.63	4.16	25.56	34.47	36.27	38.44	47.61	769.88	545.23	27	36.00	1047.00	1167.00	1656	131.60	93.20	4.62	6.15	178.97	199.49	283.08
Mariner-35_SSa_1p:ClassII:TIR:Tc1-Mariner	337	666	2	2	2	2	41.44	1.27	40.54	40.54	41.44	42.34	42.34	333.00	0.00	333	333.00	333.00	333.00	333	98.81	0.00	98.81	98.81	98.81	98.81	98.81
Mariner-3_SSa_1p:ClassII:TIR:Tc1-Mariner	342	327	1	1	1	1	39.45	0.00	39.45	39.45	39.45	39.45	39.45	327.00	0.00	327	327.00	327.00	327.00	327	95.61	0.00	95.61	95.61	95.61	95.61	95.61
Mariner-3_SS_1p:ClassII:TIR:Tc1-Mariner	547	12257	25	3	25	3	32.73	5.19	24.58	28.84	31.52	35.37	43.16	490.28	464.87	27	84.00	285.00	969.00	1335	89.63	84.99	4.94	15.36	52.10	177.15	244.06
Mariner-51_HSal_1p:ClassII:TIR:Tc1-Mariner	342	2652	8	7	8	7	39.14	1.62	36.94	37.84	39.09	41.07	41.44	331.50	3.93	324	333.00	333.00	333.00	336	96.93	1.15	94.74	97.37	97.37	97.37	98.25
Mariner-5_SS_1p:ClassII:TIR:Tc1-Mariner	550	66447	58	2	57	2	42.30	8.22	25.60	34.92	44.85	50.28	54.13	1165.74	542.15	27	633.00	1470.00	1614.00	1626	211.95	98.57	4.91	115.09	267.27	293.45	295.64
Mariner-9_DAn_1p:ClassII:TIR:Tc1-Mariner	331	4992	15	15	15	15	36.72	0.85	35.46	36.04	36.94	37.17	37.84	332.80	3.10	327	330.00	333.00	333.00	339	100.54	0.94	98.79	99.70	100.60	100.60	102.42
MARWOLEN1_1p:ClassII:TIR:Tc1-Mariner	334	324	1	1	1	1	38.53	0.00	38.53	38.53	38.53	38.53	38.53	324.00	0.00	324	324.00	324.00	324.00	324	97.01	0.00	97.01	97.01	97.01	97.01	97.01
MuDR-17_CCri_2p:ClassII:TIR:MuDR	511	27015	86	2	86	2	43.06	4.26	30.34	40.16	43.97	46.34	51.16	316.88	182.14	21	144.00	363.00	378.00	1131	62.01	35.64	4.11	28.18	71.04	73.97	221.33
REAL_AA_1p:ClassI:LTR:Gypsy	1243	306003	103	3	100	3	48.68	9.22	33.18	44.07	49.94	50.53	82.38	3060.03	1069.29	36	3051.00	3636.00	3636.00	3813	246.18	86.02	2.90	245.45	292.52	292.52	306.76
Tad1-24_BG_2p:ClassI:LINE:I	1125	12159	8	2	8	2	33.21	2.54	30.39	31.87	32.31	35.98	37.96	1519.88	879.81	309	1113.00	1459.50	2538.00	2637	135.10	78.21	27.47	98.93	129.73	225.60	234.40
Tad1-37_BG_1p:ClassI:LINE:I	566	3846	7	7	7	7	26.71	0.36	26.00	26.46	26.93	26.93	26.93	549.43	17.01	543	543.00	543.00	543.00	588	97.07	3.01	95.94	95.94	95.94	95.94	103.89
Tad1-4_PGr_1p:ClassI:LINE:I	426	780	2	1	2	1	25.12	2.31	23.49	23.49	25.12	26.76	26.76	390.00	72.12	339	339.00	390.00	441.00	441	91.55	16.93	79.58	79.58	91.55	103.52	103.52
Tad1-60_BG_2p:ClassI:LINE:I	1308	95804	30	1	30	1	45.43	3.12	36.24	45.01	46.23	47.05	49.67	3193.47	963.94	39	2661.00	3819.00	3828.00	3828	244.15	73.70	2.98	203.44	291.97	292.66	292.66
Tad1-62_BG_2p:ClassI:LINE:I	1290	20772	18	1	18	1	41.90	3.70	33.90	40.33	42.12	43.86	47.83	1154.00	584.52	171	594.00	1114.50	1569.00	2334	89.46	45.31	13.26	46.05	86.40	121.63	180.93
Tad1-66B_BG_2p:ClassI:LINE:I	1293	1359	3	1	3	1	34.28	6.96	28.44	28.44	32.41	41.98	41.98	453.00	679.31	21	21.00	102.00	1236.00	1236	35.03	52.54	1.62	1.62	7.89	95.59	95.59
Tc1-1_PM_1p:ClassII:TIR:Tc1-Mariner	340	1344	4	4	4	4	37.50	1.03	36.61	36.61	37.50	38.39	38.39	336.00	0.00	336	336.00	336.00	336.00	336	98.82	0.00	98.82	98.82	98.82	98.82	98.82
Tc1-3_FR_1p:ClassII:TIR:Tc1-Mariner	341	719	4	2	4	2	34.62	7.91	26.79	28.83	35.13	41.44	41.44	179.75	176.98	23	30.00	181.50	333.00	333	52.71	51.90	6.74	8.80	53.23	97.65	97.65
