TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-comp_SN4-B-P4.3-Map3_reversed	6846	22421	11	1	9	2	86.17	7.24	70.80	82.90	87.50	91.60	92.40	2491.22	2996.88	46	134.00	252.00	5237.00	6848	36.39	43.78	0.67	1.96	3.68	76.50	100.03
DHX-incomp_CS10-B-G138-Map19_reversed	6578	466	5	0	5	0	80.74	3.51	76.80	78.70	80.00	82.30	85.90	93.20	17.05	67	91.00	92.00	104.00	112	1.42	0.26	1.02	1.38	1.40	1.58	1.70
DHX-incomp_CS10-B-G139-Map20	6718	812	9	0	9	0	76.58	5.36	68.30	71.80	77.60	79.40	85.90	90.22	32.97	45	67.00	93.00	104.00	143	1.34	0.49	0.67	1.00	1.38	1.55	2.13
DHX-incomp_CS10-B-G140-Map5_reversed	5735	695	6	0	6	0	80.35	5.41	73.40	75.60	80.10	86.10	86.80	115.83	62.59	53	67.00	106.50	150.00	212	2.02	1.09	0.92	1.17	1.86	2.62	3.70
DHX-incomp_CS10-B-G145-Map3_reversed	6579	67	1	0	1	0	79.60	0.00	79.60	79.60	79.60	79.60	79.60	67.00	0.00	67	67.00	67.00	67.00	67	1.02	0.00	1.02	1.02	1.02	1.02	1.02
DHX-incomp_CS10-B-G22-Map20_reversed	7636	660	6	0	6	0	85.92	14.53	68.80	71.00	87.85	100.00	100.00	110.00	53.75	24	67.00	131.50	149.00	157	1.44	0.70	0.31	0.88	1.72	1.95	2.06
DHX-incomp_CS10_RS_12	7347	999	5	0	5	0	72.42	8.53	62.00	64.40	76.90	78.80	80.00	199.80	100.30	109	140.00	160.00	229.00	361	2.72	1.37	1.48	1.91	2.18	3.12	4.91
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	741	5	0	5	0	79.68	2.73	77.40	77.70	78.00	82.30	83.00	148.20	89.21	82	109.00	121.00	124.00	305	11.89	7.16	6.58	8.75	9.71	9.95	24.48
DHX-incomp_SN2000-B-G180-Map3	13100	32613	5	1	5	1	93.42	0.72	92.40	93.00	93.70	93.80	94.20	6522.60	4529.10	1795	3133.00	5830.00	8815.00	13040	49.79	34.57	13.70	23.92	44.50	67.29	99.54
DMX-incomp_SN15_SOL-B-R31-Map20	23505	737844	50	25	45	25	91.47	3.86	82.00	91.00	92.80	93.60	96.90	16396.53	9315.11	81	7013.00	23023.00	23486.00	23600	69.76	39.63	0.34	29.84	97.95	99.92	100.40
