TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-1_ADi:ClassII:?:Academ	9022	123	1	0	1	0	30.95	0.00	30.95	30.95	30.95	30.95	30.95	123.00	0.00	123	123.00	123.00	123.00	123	1.36	0.00	1.36	1.36	1.36	1.36	1.36
Academ-2_ADi:ClassII:?:Academ	6141	816	6	0	4	0	39.65	4.87	32.91	39.29	41.08	43.55	43.55	204.00	91.52	126	168.00	177.00	336.00	336	3.32	1.49	2.05	2.74	2.88	5.47	5.47
Academ-3_ADi:ClassII:?:Academ	7151	414	4	0	3	0	48.64	9.52	37.93	37.93	51.85	56.14	56.14	138.00	59.77	69	69.00	171.00	174.00	174	1.93	0.84	0.96	0.96	2.39	2.43	2.43
ACCORD_I:ClassI:LTR:Retrovirus	6288	111	1	0	1	0	37.84	0.00	37.84	37.84	37.84	37.84	37.84	111.00	0.00	111	111.00	111.00	111.00	111	1.77	0.00	1.77	1.77	1.77	1.77	1.77
AFLAV_I:ClassI:LTR:Gypsy	6839	534	5	0	5	0	35.06	8.71	24.56	32.26	32.26	38.24	48.00	106.80	37.20	75	93.00	93.00	102.00	171	1.56	0.54	1.10	1.36	1.36	1.49	2.50
AFUT1_#2:ClassI:LTR:Gypsy	6914	177	1	0	1	0	38.98	0.00	38.98	38.98	38.98	38.98	38.98	177.00	0.00	177	177.00	177.00	177.00	177	2.56	0.00	2.56	2.56	2.56	2.56	2.56
Ag-I-2:ClassI:LINE:I	5557	156	1	0	1	0	26.92	0.00	26.92	26.92	26.92	26.92	26.92	156.00	0.00	156	156.00	156.00	156.00	156	2.81	0.00	2.81	2.81	2.81	2.81	2.81
Ag-Jen-1:ClassI:LINE:Jockey	4320	39	1	0	1	0	38.24	0.00	38.24	38.24	38.24	38.24	38.24	39.00	0.00	39	39.00	39.00	39.00	39	0.90	0.00	0.90	0.90	0.90	0.90	0.90
ALISEI_I:ClassI:LTR:Gypsy	3240	50	1	0	1	0	40.63	0.00	40.63	40.63	40.63	40.63	40.63	50.00	0.00	50	50.00	50.00	50.00	50	1.54	0.00	1.54	1.54	1.54	1.54	1.54
ANGELA1_AT_I:ClassI:LTR:Copia	5326	81	1	0	1	0	38.10	0.00	38.10	38.10	38.10	38.10	38.10	81.00	0.00	81	81.00	81.00	81.00	81	1.52	0.00	1.52	1.52	1.52	1.52	1.52
