TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DMX-incomp_SN4-B-R24-Map20	14733	16734	2	1	2	1	86.80	7.50	81.50	81.50	86.80	92.10	92.10	8367.00	9982.93	1308	1308.00	8367.00	15426.00	15426	56.79	67.76	8.88	8.88	56.79	104.70	104.70
DTX-comp_Ptr_1CBFP-B-R60-Map20_reversed	2127	2197	3	1	3	1	79.83	18.53	58.60	58.60	88.20	92.70	92.70	732.33	1156.73	61	61.00	68.00	2068.00	2068	34.43	54.38	2.87	2.87	3.20	97.23	97.23
DTX-comp_SN4_RS_28_reversed	2112	4195	3	1	2	2	92.57	0.18	92.44	92.44	92.57	92.70	92.70	2097.50	19.09	2084	2084.00	2097.50	2111.00	2111	99.31	0.90	98.67	98.67	99.31	99.95	99.95
DTX-comp_SN79_1087-B-G26-Map7_reversed	1862	1850	1	1	1	1	93.80	0.00	93.80	93.80	93.80	93.80	93.80	1850.00	0.00	1850	1850.00	1850.00	1850.00	1850	99.36	0.00	99.36	99.36	99.36	99.36	99.36
DTX-comp_SN79_1087-B-G30-Map10_reversed	1874	1866	1	1	1	1	93.60	0.00	93.60	93.60	93.60	93.60	93.60	1866.00	0.00	1866	1866.00	1866.00	1866.00	1866	99.57	0.00	99.57	99.57	99.57	99.57	99.57
DTX-comp_SN79_1087-B-R15-Map17_reversed	1854	1844	1	1	1	1	94.50	0.00	94.50	94.50	94.50	94.50	94.50	1844.00	0.00	1844	1844.00	1844.00	1844.00	1844	99.46	0.00	99.46	99.46	99.46	99.46	99.46
DTX-incomp-chim_SN15_SOL-L-B13-Map1_reversed	18062	43452	12	1	10	1	81.32	10.29	61.30	72.50	84.56	90.00	90.97	4345.20	5593.12	48	705.00	1863.50	7335.00	18329	24.06	30.97	0.27	3.90	10.32	40.61	101.48
DTX-incomp-chim_SN79_1087-L-B11-Map1_reversed	10511	14354	5	1	5	1	84.86	11.16	72.00	79.50	80.40	92.50	99.90	2870.80	4455.35	156	158.00	308.00	3248.00	10484	27.31	42.39	1.48	1.50	2.93	30.90	99.74
DTX-incomp-chim_SN79_1087-L-B16-Map1_reversed	8962	12153	12	1	9	1	83.76	10.14	68.60	78.91	85.40	89.00	99.90	1350.44	2935.27	26	49.00	106.00	521.00	8939	15.07	32.75	0.29	0.55	1.18	5.81	99.74
DTX-incomp-chim_SN79_1087-L-B17-Map1_reversed	8428	9344	7	1	7	1	86.09	10.59	69.10	74.70	88.80	91.20	100.00	1334.86	3125.97	77	91.00	187.00	192.00	8423	15.84	37.09	0.91	1.08	2.22	2.28	99.94
