TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
CryptonC-5_CCri_1p:ClassII:Crypton:Crypton	635	648	1	1	1	1	27.19	0.00	27.19	27.19	27.19	27.19	27.19	648.00	0.00	648	648.00	648.00	648.00	648	102.05	0.00	102.05	102.05	102.05	102.05	102.05
EnSpm-13_CCri_2p:ClassII:TIR:CACTA	621	1539	4	0	3	1	38.39	3.75	34.30	34.30	39.21	41.67	41.67	513.00	84.16	432	432.00	507.00	600.00	600	82.61	13.55	69.57	69.57	81.64	96.62	96.62
EnSpm-2_PGr_1p:ClassII:TIR:CACTA	500	8493	18	3	18	3	32.21	5.14	26.05	29.67	30.88	32.62	46.30	471.83	100.12	321	381.00	483.00	561.00	624	94.37	20.02	64.20	76.20	96.60	112.20	124.80
Gypsy-1_CH_2p:ClassI:LTR:Gypsy	1221	47889	53	1	31	2	44.69	5.90	26.95	42.51	45.04	47.88	58.82	1545.35	1019.15	24	684.00	1188.00	2505.00	3303	126.56	83.47	1.97	56.02	97.30	205.16	270.52
Gypsy-1_GDe-I_2p:ClassI:LTR:Gypsy	907	3591	6	1	6	1	31.26	2.07	27.92	29.91	31.80	33.04	33.10	598.50	291.55	42	642.00	660.00	672.00	915	65.99	32.14	4.63	70.78	72.77	74.09	100.88
Gypsy-34_BG-I_2p:ClassI:LTR:Gypsy	1242	4158	3	1	3	1	34.40	9.39	27.11	27.11	31.10	45.00	45.00	1386.00	1456.72	33	33.00	1197.00	2928.00	2928	111.59	117.29	2.66	2.66	96.38	235.75	235.75
Gypsy-46_BG-I_1p:ClassI:LTR:Gypsy	1130	2031	2	1	2	1	38.56	2.43	36.84	36.84	38.56	40.27	40.27	1015.50	171.83	894	894.00	1015.50	1137.00	1137	89.87	15.21	79.12	79.12	89.87	100.62	100.62
Gypsy1-PP_I_2p:ClassI:LTR:Gypsy	428	1932	5	1	5	1	34.86	2.04	32.43	32.98	35.70	36.05	37.13	386.40	172.02	138	306.00	423.00	477.00	588	90.28	40.19	32.24	71.50	98.83	111.45	137.38
KolobokH-1A_RIr_1p:ClassII:?:Kolobok	1379	1371	1	1	1	1	29.33	0.00	29.33	29.33	29.33	29.33	29.33	1371.00	0.00	1371	1371.00	1371.00	1371.00	1371	99.42	0.00	99.42	99.42	99.42	99.42	99.42
Mariner-1_ABr_1p:ClassII:TIR:Tc1-Mariner	616	6615	7	1	7	1	43.76	5.92	35.64	35.89	44.83	50.00	50.00	945.00	518.04	264	528.00	984.00	1371.00	1749	153.41	84.10	42.86	85.71	159.74	222.56	283.93
Mariner-1_SS_1p:ClassII:TIR:Tc1-Mariner	542	25827	35	1	33	1	29.94	2.01	26.74	27.86	30.17	31.35	35.11	782.64	434.99	21	570.00	855.00	1110.00	1527	144.40	80.26	3.87	105.17	157.75	204.80	281.73
Mariner-2_TMe_1p:ClassII:TIR:Tc1-Mariner	585	603	1	1	1	1	26.83	0.00	26.83	26.83	26.83	26.83	26.83	603.00	0.00	603	603.00	603.00	603.00	603	103.08	0.00	103.08	103.08	103.08	103.08	103.08
Mariner-4_SS_1p:ClassII:TIR:Tc1-Mariner	547	40894	44	2	43	2	29.71	4.52	24.69	27.46	28.80	30.90	50.00	951.02	436.63	51	540.00	1050.00	1332.00	1566	173.86	79.82	9.32	98.72	191.96	243.51	286.29
Mariner-7_SS_1p:ClassII:?:?	547	10317	19	1	18	1	29.99	3.10	26.24	28.39	29.09	30.29	39.33	573.17	586.06	24	90.00	300.00	1107.00	1626	104.78	107.14	4.39	16.45	54.84	202.38	297.26
SFV1-16_Gav-I_2p:ClassI:LTR:Retrovirus	305	300	1	1	1	1	32.00	0.00	32.00	32.00	32.00	32.00	32.00	300.00	0.00	300	300.00	300.00	300.00	300	98.36	0.00	98.36	98.36	98.36	98.36	98.36
