TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G138-Map19_reversed	6578	13689	16	1	14	1	80.66	7.49	70.90	76.00	79.85	83.30	99.70	978.21	2065.79	47	65.00	85.00	325.00	6321	14.87	31.40	0.71	0.99	1.29	4.94	96.09
DHX-incomp_CS10-B-G139-Map20	6718	21887	37	1	36	1	82.84	8.47	70.60	77.40	81.20	90.60	100.00	608.14	1602.58	21	66.00	93.50	139.00	6673	9.05	23.86	0.31	0.98	1.39	2.07	99.33
DHX-incomp_CS10-L-B47-Map1	8633	11045	6	1	6	1	87.53	10.39	74.60	76.00	90.05	94.60	99.90	1840.83	3344.76	213	219.00	572.50	824.00	8644	21.32	38.74	2.47	2.54	6.63	9.54	100.13
DTX-comp_CS10-B-G109-Map8_reversed	3403	27241	10	8	10	8	97.79	2.91	90.90	96.30	98.95	100.00	100.00	2724.10	1407.34	44	3355.00	3394.50	3399.00	3402	80.05	41.36	1.29	98.59	99.75	99.88	99.97
DTX-comp_CS10-B-G114-Map4	3744	24833	15	4	12	4	83.94	7.92	67.17	81.57	85.35	92.20	92.30	2069.42	1614.93	21	493.00	2501.50	3684.00	3698	55.27	43.13	0.56	13.17	66.81	98.40	98.77
DTX-comp_CS10-B-G32-Map6_reversed	1868	6457	8	2	8	2	88.01	7.59	77.00	81.50	89.70	95.30	95.30	807.12	826.64	78	136.00	411.00	1860.00	1866	43.21	44.25	4.18	7.28	22.00	99.57	99.89
DTX-comp_CS10-B-G50-Map6	1879	6890	15	2	14	2	89.66	8.05	72.90	88.40	92.60	95.50	96.30	492.14	649.30	25	56.00	175.00	820.00	1861	26.19	34.56	1.33	2.98	9.31	43.64	99.04
DTX-comp_CS10-B-G66-Map11	1853	8764	8	4	8	4	87.39	11.99	62.90	82.80	89.40	99.30	99.60	1095.50	822.69	153	337.00	1271.50	1850.00	1852	59.12	44.40	8.26	18.19	68.62	99.84	99.95
DTX-comp_CS10-B-G67-Map7_reversed	1858	17694	17	9	17	9	92.71	7.75	80.30	85.10	96.60	100.00	100.00	1042.88	880.94	29	76.00	1790.00	1856.00	1858	56.13	47.41	1.56	4.09	96.34	99.89	100.00
DTX-comp_CS10-B-G74-Map20	1866	17337	12	9	11	9	97.29	5.12	82.13	97.60	98.60	99.80	99.80	1576.09	618.31	288	1848.00	1855.00	1855.00	1861	84.46	33.14	15.43	99.04	99.41	99.41	99.73
DTX-comp_CS10-B-G81-Map12	2134	4266	2	2	2	2	97.60	0.00	97.60	97.60	97.60	97.60	97.60	2133.00	0.00	2133	2133.00	2133.00	2133.00	2133	99.95	0.00	99.95	99.95	99.95	99.95	99.95
DTX-comp_CS10-B-G88-Map13	2683	18307	14	5	14	5	86.08	12.02	60.00	84.70	88.95	94.30	98.80	1307.64	1148.37	23	90.00	1158.00	2581.00	2666	48.74	42.80	0.86	3.35	43.16	96.20	99.37
DTX-comp_CS10-B-P10.35-Map6	1605	19371	14	11	13	12	95.13	10.08	64.70	98.70	99.20	99.30	99.40	1490.08	377.03	236	1588.00	1600.00	1601.00	1618	92.84	23.49	14.70	98.94	99.69	99.75	100.81
DTX-comp_CS10-B-P11.13-Map5	1864	8474	11	4	11	4	89.72	6.16	79.00	86.60	88.40	95.60	98.60	778.00	865.25	29	75.00	321.00	1858.00	1864	41.74	46.42	1.56	4.02	17.22	99.68	100.00
DTX-comp_CS10-B-P21.26-Map14	2122	3160	4	1	4	1	87.25	12.90	68.00	92.30	92.80	95.40	95.40	790.00	863.35	276	400.00	401.00	2082.00	2082	37.23	40.69	13.01	18.85	18.90	98.11	98.11
DTX-comp_CS10-B-P29.22-Map3_reversed	1852	13352	11	6	11	6	89.94	12.84	62.30	76.10	95.30	98.50	99.30	1213.82	769.90	100	383.00	1843.00	1847.00	1850	65.54	41.57	5.40	20.68	99.51	99.73	99.89
DTX-comp_CS10-B-P30.21-Map8_reversed	1496	13720	14	8	13	8	90.87	9.98	72.30	85.95	97.90	98.70	99.50	1057.00	624.84	21	817.00	1489.00	1492.00	1493	70.66	41.77	1.40	54.61	99.53	99.73	99.80
DTX-comp_CS10-B-P35.17-Map20	2162	35110	33	14	31	14	89.22	11.00	71.40	79.60	90.40	99.90	100.00	1142.81	965.29	26	168.00	990.00	2149.00	2160	52.86	44.65	1.20	7.77	45.79	99.40	99.91
DTX-comp_CS10-B-P54.1-Map3_reversed	1842	7386	5	4	5	4	99.90	0.22	99.50	100.00	100.00	100.00	100.00	1477.20	791.76	61	1812.00	1833.00	1839.00	1841	80.20	42.98	3.31	98.37	99.51	99.84	99.95
DTX-comp_CS10-B-R111-Map4	2788	8835	5	3	5	3	96.74	4.72	88.90	95.70	99.30	99.90	99.90	1767.00	1399.29	42	442.00	2782.00	2783.00	2786	63.38	50.19	1.51	15.85	99.78	99.82	99.93
DTX-comp_CS10-B-R118-Map10	1854	6474	9	3	8	3	90.17	9.99	74.80	87.30	92.10	99.10	99.50	809.25	867.51	51	137.00	333.00	1851.00	1851	43.65	46.79	2.75	7.39	17.96	99.84	99.84
DTX-comp_CS10-B-R176-Map4_reversed	2002	13434	13	3	13	3	91.33	5.97	79.20	89.10	93.90	95.80	97.70	1033.38	918.79	82	120.00	424.00	1996.00	2167	51.62	45.89	4.10	5.99	21.18	99.70	108.24
DTX-comp_CS10-B-R37-Map6	1840	9800	8	5	8	5	91.55	8.28	79.80	83.80	96.15	99.10	99.20	1225.00	833.63	97	345.00	1811.00	1838.00	1840	66.58	45.31	5.27	18.75	98.42	99.89	100.00
DTX-comp_CS10-B-R6-Map4_reversed	1859	4658	5	2	4	2	90.50	11.11	78.80	83.21	91.60	100.00	100.00	1164.50	837.94	167	776.00	1316.00	1859.00	1859	62.64	45.07	8.98	41.74	70.79	100.00	100.00
DTX-comp_CS10-B-R77-Map3	1847	4896	15	1	14	1	86.61	5.76	78.50	82.40	84.35	90.30	96.00	349.71	461.23	62	95.00	177.00	429.00	1840	18.93	24.97	3.36	5.14	9.58	23.23	99.62
DTX-comp_CS10_RS_00	14080	33165	40	1	38	1	77.30	8.03	61.78	71.50	76.90	84.00	100.00	872.76	2280.88	29	120.00	251.50	1010.00	14080	6.20	16.20	0.21	0.85	1.79	7.17	100.00
DTX-comp_CS10_RS_49	1849	9531	8	3	8	3	78.96	6.23	68.30	76.70	79.00	85.00	85.60	1191.38	822.95	119	275.00	1683.50	1839.00	1878	64.43	44.51	6.44	14.87	91.05	99.46	101.57
DTX-comp_Ptr_1CBFP-B-G66-Map20_reversed	1890	2413	3	1	3	1	68.17	5.76	64.50	64.50	65.20	74.80	74.80	804.33	930.87	144	144.00	400.00	1869.00	1869	42.56	49.25	7.62	7.62	21.16	98.89	98.89
DTX-comp_Ptr_1CBFP-B-G90-Map7_reversed	2114	2498	3	1	3	1	72.40	2.63	69.40	69.40	73.50	74.30	74.30	832.67	1077.63	206	206.00	215.00	2077.00	2077	39.39	50.98	9.74	9.74	10.17	98.25	98.25
DTX-comp_Ptr_1CBFP-B-P34.3-Map13_reversed	2124	2384	2	1	2	1	69.40	1.13	68.60	68.60	69.40	70.20	70.20	1192.00	1227.54	324	324.00	1192.00	2060.00	2060	56.12	57.79	15.25	15.25	56.12	96.99	96.99
DTX-incomp-chim_CS10-B-R133-Map3_reversed	3576	9796	13	1	13	1	77.09	13.54	63.40	69.40	71.60	77.20	100.00	753.54	1156.87	116	160.00	225.00	242.00	3576	21.07	32.35	3.24	4.47	6.29	6.77	100.00
