TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-2_ADi_2p:ClassII:?:Academ	480	183	2	0	2	0	30.97	5.12	27.35	27.35	30.97	34.59	34.59	91.50	40.31	63	63.00	91.50	120.00	120	19.06	8.40	13.12	13.12	19.06	25.00	25.00
Academ-2_CGi_2p:ClassII:?:Academ	456	30	1	0	1	0	27.62	0.00	27.62	27.62	27.62	27.62	27.62	30.00	0.00	30	30.00	30.00	30.00	30	6.58	0.00	6.58	6.58	6.58	6.58	6.58
AeTango2_1p:ClassII:TIR:Tc1-Mariner	336	327	1	1	1	1	36.70	0.00	36.70	36.70	36.70	36.70	36.70	327.00	0.00	327	327.00	327.00	327.00	327	97.32	0.00	97.32	97.32	97.32	97.32	97.32
AFLAV_I_2p:ClassI:LTR:Gypsy	1726	90	1	0	1	0	36.88	0.00	36.88	36.88	36.88	36.88	36.88	90.00	0.00	90	90.00	90.00	90.00	90	5.21	0.00	5.21	5.21	5.21	5.21	5.21
ATCOPIA56p:ClassI:LTR:Copia	1358	114	1	0	1	0	27.91	0.00	27.91	27.91	27.91	27.91	27.91	114.00	0.00	114	114.00	114.00	114.00	114	8.39	0.00	8.39	8.39	8.39	8.39	8.39
ATCOPIA63p:ClassI:LTR:Copia	1348	45	1	0	1	0	23.59	0.00	23.59	23.59	23.59	23.59	23.59	45.00	0.00	45	45.00	45.00	45.00	45	3.34	0.00	3.34	3.34	3.34	3.34	3.34
ATCOPIA65p:ClassI:LTR:Copia	1373	39	1	0	1	0	28.66	0.00	28.66	28.66	28.66	28.66	28.66	39.00	0.00	39	39.00	39.00	39.00	39	2.84	0.00	2.84	2.84	2.84	2.84	2.84
ATCOPIA69p:ClassI:LTR:Copia	1120	213	1	0	1	0	28.03	0.00	28.03	28.03	28.03	28.03	28.03	213.00	0.00	213	213.00	213.00	213.00	213	19.02	0.00	19.02	19.02	19.02	19.02	19.02
ATCOPIA78p:ClassI:LTR:Copia	1352	129	2	0	2	0	29.16	1.06	28.41	28.41	29.16	29.91	29.91	64.50	2.12	63	63.00	64.50	66.00	66	4.77	0.16	4.66	4.66	4.77	4.88	4.88
BEL1-I_SM_1p:ClassI:LTR:Bel-Pao	1817	222	2	0	1	0	67.57	0.00	67.57	67.57	67.57	67.57	67.57	222.00	0.00	222	222.00	222.00	222.00	222	12.22	0.00	12.22	12.22	12.22	12.22	12.22
CFT1_2p:ClassI:LTR:Gypsy	969	84	2	0	2	0	35.62	9.16	29.15	29.15	35.62	42.10	42.10	42.00	0.00	42	42.00	42.00	42.00	42	4.33	0.00	4.33	4.33	4.33	4.33	4.33
CGT1_1p:ClassI:?:?	578	414	1	0	1	0	25.95	0.00	25.95	25.95	25.95	25.95	25.95	414.00	0.00	414	414.00	414.00	414.00	414	71.63	0.00	71.63	71.63	71.63	71.63	71.63
CGT1_2p:ClassI:?:?	517	1665	3	0	3	0	32.67	2.37	31.00	31.00	31.63	35.38	35.38	555.00	462.55	63	63.00	621.00	981.00	981	107.35	89.47	12.19	12.19	120.12	189.75	189.75
Cirt1ORF:ClassII:TIR:Tc1-Mariner	527	597	16	0	16	0	30.91	2.03	28.20	30.52	31.53	31.53	36.23	37.31	10.62	33	33.00	33.00	36.00	72	7.08	2.01	6.26	6.26	6.26	6.83	13.66
Cirt2ORF:ClassII:TIR:Tc1-Mariner	517	150	1	0	1	0	44.00	0.00	44.00	44.00	44.00	44.00	44.00	150.00	0.00	150	150.00	150.00	150.00	150	29.01	0.00	29.01	29.01	29.01	29.01	29.01
Copia-101_Mad-I_1p:ClassI:LTR:Copia	1355	30	1	0	1	0	28.82	0.00	28.82	28.82	28.82	28.82	28.82	30.00	0.00	30	30.00	30.00	30.00	30	2.21	0.00	2.21	2.21	2.21	2.21	2.21
Copia-106_BRa-I_1p:ClassI:LTR:Copia	1457	135	1	0	1	0	29.02	0.00	29.02	29.02	29.02	29.02	29.02	135.00	0.00	135	135.00	135.00	135.00	135	9.27	0.00	9.27	9.27	9.27	9.27	9.27
Copia-10_BG-I_1p:ClassI:LTR:Copia	1650	36	1	0	1	0	30.78	0.00	30.78	30.78	30.78	30.78	30.78	36.00	0.00	36	36.00	36.00	36.00	36	2.18	0.00	2.18	2.18	2.18	2.18	2.18
Copia-10_DPu-I_1p:ClassI:LTR:Copia	399	45	1	0	1	0	28.88	0.00	28.88	28.88	28.88	28.88	28.88	45.00	0.00	45	45.00	45.00	45.00	45	11.28	0.00	11.28	11.28	11.28	11.28	11.28
Copia-10_DPu-I_2p:ClassI:LTR:Copia	597	42	1	0	1	0	27.31	0.00	27.31	27.31	27.31	27.31	27.31	42.00	0.00	42	42.00	42.00	42.00	42	7.04	0.00	7.04	7.04	7.04	7.04	7.04
Copia-10_PAb-I_1p:ClassI:LTR:Copia	1365	92	2	0	2	0	28.92	2.04	27.48	27.48	28.92	30.36	30.36	46.00	26.87	27	27.00	46.00	65.00	65	3.37	1.97	1.98	1.98	3.37	4.76	4.76
Copia-10_SI-I_1p:ClassI:LTR:Copia	1310	75	1	0	1	0	25.36	0.00	25.36	25.36	25.36	25.36	25.36	75.00	0.00	75	75.00	75.00	75.00	75	5.73	0.00	5.73	5.73	5.73	5.73	5.73
Copia-10_SMo-I_1p:ClassI:LTR:Copia	1369	75	1	0	1	0	26.21	0.00	26.21	26.21	26.21	26.21	26.21	75.00	0.00	75	75.00	75.00	75.00	75	5.48	0.00	5.48	5.48	5.48	5.48	5.48
Copia-11_ST-I_1p:ClassI:LTR:Copia	1505	165	3	0	3	0	33.92	0.10	33.81	33.81	33.98	33.98	33.98	55.00	13.53	42	42.00	54.00	69.00	69	3.65	0.90	2.79	2.79	3.59	4.58	4.58
Copia-121_CCri-I_1p:ClassI:LTR:Copia	1424	90	2	0	2	0	27.66	1.14	26.85	26.85	27.66	28.46	28.46	45.00	29.70	24	24.00	45.00	66.00	66	3.16	2.09	1.69	1.69	3.16	4.63	4.63
Copia-12_BRa-I_1p:ClassI:LTR:Copia	1367	42	1	0	1	0	29.17	0.00	29.17	29.17	29.17	29.17	29.17	42.00	0.00	42	42.00	42.00	42.00	42	3.07	0.00	3.07	3.07	3.07	3.07	3.07
Copia-135_AA-I_1p:ClassI:LTR:Copia	1327	513	1	0	1	0	22.57	0.00	22.57	22.57	22.57	22.57	22.57	513.00	0.00	513	513.00	513.00	513.00	513	38.66	0.00	38.66	38.66	38.66	38.66	38.66
Copia-13_ATr-I_1p:ClassI:LTR:Copia	1321	114	1	0	1	0	24.43	0.00	24.43	24.43	24.43	24.43	24.43	114.00	0.00	114	114.00	114.00	114.00	114	8.63	0.00	8.63	8.63	8.63	8.63	8.63
