TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
AARA8_AG:ClassI:LINE:I	4188	156	2	0	2	0	38.46	0.00	38.46	38.46	38.46	38.46	38.46	78.00	0.00	78	78.00	78.00	78.00	78	1.86	0.00	1.86	1.86	1.86	1.86	1.86
Academ-1_ADi:ClassII:?:Academ	9022	123	1	0	1	0	30.95	0.00	30.95	30.95	30.95	30.95	30.95	123.00	0.00	123	123.00	123.00	123.00	123	1.36	0.00	1.36	1.36	1.36	1.36	1.36
Academ-2_ADi:ClassII:?:Academ	6141	522	3	0	2	0	41.42	3.01	39.29	39.29	41.42	43.55	43.55	261.00	106.07	186	186.00	261.00	336.00	336	4.25	1.73	3.03	3.03	4.25	5.47	5.47
Academ-3_ADi:ClassII:?:Academ	7151	414	4	0	3	0	48.64	9.52	37.93	37.93	51.85	56.14	56.14	138.00	59.77	69	69.00	171.00	174.00	174	1.93	0.84	0.96	0.96	2.39	2.43	2.43
ACCORD2_I:ClassI:LTR:Gypsy	7212	81	1	0	1	0	37.04	0.00	37.04	37.04	37.04	37.04	37.04	81.00	0.00	81	81.00	81.00	81.00	81	1.12	0.00	1.12	1.12	1.12	1.12	1.12
ACCORD_I:ClassI:LTR:Retrovirus	6288	60	1	0	1	0	55.00	0.00	55.00	55.00	55.00	55.00	55.00	60.00	0.00	60	60.00	60.00	60.00	60	0.95	0.00	0.95	0.95	0.95	0.95	0.95
AFLAV_I:ClassI:LTR:Gypsy	6839	534	7	0	7	0	36.87	8.55	28.57	32.26	34.78	38.24	55.00	76.29	39.45	27	33.00	81.00	102.00	138	1.12	0.58	0.39	0.48	1.18	1.49	2.02
AFUT1_#2:ClassI:LTR:Gypsy	6914	60	1	0	1	0	50.31	0.00	50.31	50.31	50.31	50.31	50.31	60.00	0.00	60	60.00	60.00	60.00	60	0.87	0.00	0.87	0.87	0.87	0.87	0.87
Ag-Jen-1:ClassI:LINE:Jockey	4320	78	1	0	1	0	38.46	0.00	38.46	38.46	38.46	38.46	38.46	78.00	0.00	78	78.00	78.00	78.00	78	1.81	0.00	1.81	1.81	1.81	1.81	1.81
Ag-Jock-1:ClassI:LINE:Jockey	4725	177	1	0	1	0	33.90	0.00	33.90	33.90	33.90	33.90	33.90	177.00	0.00	177	177.00	177.00	177.00	177	3.75	0.00	3.75	3.75	3.75	3.75	3.75
