TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-1_ADi_2p:ClassII:?:Academ	624	201	1	0	1	0	27.30	0.00	27.30	27.30	27.30	27.30	27.30	201.00	0.00	201	201.00	201.00	201.00	201	32.21	0.00	32.21	32.21	32.21	32.21	32.21
Academ-3_ADi_2p:ClassII:?:Academ	634	123	1	0	1	0	25.96	0.00	25.96	25.96	25.96	25.96	25.96	123.00	0.00	123	123.00	123.00	123.00	123	19.40	0.00	19.40	19.40	19.40	19.40	19.40
ATCOPIA56p:ClassI:LTR:Copia	1358	27	1	0	1	0	24.60	0.00	24.60	24.60	24.60	24.60	24.60	27.00	0.00	27	27.00	27.00	27.00	27	1.99	0.00	1.99	1.99	1.99	1.99	1.99
BEL1-I_SM_1p:ClassI:LTR:Bel-Pao	1817	264	2	0	1	0	57.95	0.00	57.95	57.95	57.95	57.95	57.95	264.00	0.00	264	264.00	264.00	264.00	264	14.53	0.00	14.53	14.53	14.53	14.53	14.53
BOTY_I_1p:ClassI:LTR:Gypsy	1618	3771	8	0	8	0	31.53	1.98	29.19	30.29	31.15	33.92	34.78	471.38	335.16	30	363.00	390.00	807.00	912	29.13	20.71	1.85	22.44	24.10	49.88	56.37
CFT1_2p:ClassI:LTR:Gypsy	969	345	1	0	1	0	29.67	0.00	29.67	29.67	29.67	29.67	29.67	345.00	0.00	345	345.00	345.00	345.00	345	35.60	0.00	35.60	35.60	35.60	35.60	35.60
COP7_I_MT_1p#2:ClassI:LTR:Copia	1309	24	1	0	1	0	27.70	0.00	27.70	27.70	27.70	27.70	27.70	24.00	0.00	24	24.00	24.00	24.00	24	1.83	0.00	1.83	1.83	1.83	1.83	1.83
COPI3_I_1p:ClassI:LTR:Copia	1325	21	1	0	1	0	27.10	0.00	27.10	27.10	27.10	27.10	27.10	21.00	0.00	21	21.00	21.00	21.00	21	1.58	0.00	1.58	1.58	1.58	1.58	1.58
Copia-102_BRa-I_1p:ClassI:LTR:Copia	1214	24	1	0	1	0	25.04	0.00	25.04	25.04	25.04	25.04	25.04	24.00	0.00	24	24.00	24.00	24.00	24	1.98	0.00	1.98	1.98	1.98	1.98	1.98
Copia-109_AA-I_1p:ClassI:LTR:Copia	1067	279	1	0	1	0	32.82	0.00	32.82	32.82	32.82	32.82	32.82	279.00	0.00	279	279.00	279.00	279.00	279	26.15	0.00	26.15	26.15	26.15	26.15	26.15
Copia-10_LH-I_1p:ClassI:LTR:Copia	1326	21	1	0	1	0	31.09	0.00	31.09	31.09	31.09	31.09	31.09	21.00	0.00	21	21.00	21.00	21.00	21	1.58	0.00	1.58	1.58	1.58	1.58	1.58
Copia-113_AA-I_1p:ClassI:LTR:Copia	1349	84	1	0	1	0	27.50	0.00	27.50	27.50	27.50	27.50	27.50	84.00	0.00	84	84.00	84.00	84.00	84	6.23	0.00	6.23	6.23	6.23	6.23	6.23
Copia-113_BRa-I_1p:ClassI:LTR:Copia	1480	108	1	0	1	0	25.25	0.00	25.25	25.25	25.25	25.25	25.25	108.00	0.00	108	108.00	108.00	108.00	108	7.30	0.00	7.30	7.30	7.30	7.30	7.30
Copia-117_SB-Ip:ClassI:LTR:Copia	385	21	1	0	1	0	31.48	0.00	31.48	31.48	31.48	31.48	31.48	21.00	0.00	21	21.00	21.00	21.00	21	5.45	0.00	5.45	5.45	5.45	5.45	5.45
Copia-124_BRa-I_1p:ClassI:LTR:Copia	1388	24	1	0	1	0	27.21	0.00	27.21	27.21	27.21	27.21	27.21	24.00	0.00	24	24.00	24.00	24.00	24	1.73	0.00	1.73	1.73	1.73	1.73	1.73
Copia-129_AA-I_1p:ClassI:LTR:Copia	1335	21	1	0	1	0	23.85	0.00	23.85	23.85	23.85	23.85	23.85	21.00	0.00	21	21.00	21.00	21.00	21	1.57	0.00	1.57	1.57	1.57	1.57	1.57
Copia-12_DPu-I_1p:ClassI:LTR:Copia	958	27	1	0	1	0	23.95	0.00	23.95	23.95	23.95	23.95	23.95	27.00	0.00	27	27.00	27.00	27.00	27	2.82	0.00	2.82	2.82	2.82	2.82	2.82
Copia-12_TMe-I_1p:ClassI:LTR:Copia	1438	66	2	0	2	0	34.08	2.38	32.39	32.39	34.08	35.76	35.76	33.00	16.97	21	21.00	33.00	45.00	45	2.29	1.18	1.46	1.46	2.29	3.13	3.13
Copia-13_AA-I_1p:ClassI:LTR:Copia	1348	180	3	0	3	0	25.54	1.36	24.19	24.19	25.53	26.90	26.90	60.00	29.55	27	27.00	69.00	84.00	84	4.45	2.19	2.00	2.00	5.12	6.23	6.23
Copia-13_MLP-I_2p:ClassI:LTR:Copia	558	27	1	0	1	0	26.48	0.00	26.48	26.48	26.48	26.48	26.48	27.00	0.00	27	27.00	27.00	27.00	27	4.84	0.00	4.84	4.84	4.84	4.84	4.84
Copia-13_TMe-I_1p:ClassI:LTR:Copia	750	186	1	0	1	0	38.71	0.00	38.71	38.71	38.71	38.71	38.71	186.00	0.00	186	186.00	186.00	186.00	186	24.80	0.00	24.80	24.80	24.80	24.80	24.80
Copia-14_TC-I_1p:ClassI:LTR:Copia	1328	21	1	0	1	0	32.62	0.00	32.62	32.62	32.62	32.62	32.62	21.00	0.00	21	21.00	21.00	21.00	21	1.58	0.00	1.58	1.58	1.58	1.58	1.58
Copia-151_CCri-I_1p:ClassI:LTR:Copia	1336	21	1	0	1	0	28.06	0.00	28.06	28.06	28.06	28.06	28.06	21.00	0.00	21	21.00	21.00	21.00	21	1.57	0.00	1.57	1.57	1.57	1.57	1.57
Copia-161_CCri-I_1p:ClassI:LTR:Copia	1349	1500	1	0	1	0	34.59	0.00	34.59	34.59	34.59	34.59	34.59	1500.00	0.00	1500	1500.00	1500.00	1500.00	1500	111.19	0.00	111.19	111.19	111.19	111.19	111.19
Copia-16_ECa-I_3p:ClassI:LTR:Copia	346	147	1	0	1	0	30.90	0.00	30.90	30.90	30.90	30.90	30.90	147.00	0.00	147	147.00	147.00	147.00	147	42.49	0.00	42.49	42.49	42.49	42.49	42.49
Copia-17_GM-I_1p:ClassI:LTR:Copia	1316	24	1	0	1	0	26.11	0.00	26.11	26.11	26.11	26.11	26.11	24.00	0.00	24	24.00	24.00	24.00	24	1.82	0.00	1.82	1.82	1.82	1.82	1.82
Copia-17_PIT-I_2p:ClassI:LTR:Copia	1065	30	1	0	1	0	28.03	0.00	28.03	28.03	28.03	28.03	28.03	30.00	0.00	30	30.00	30.00	30.00	30	2.82	0.00	2.82	2.82	2.82	2.82	2.82
Copia-17_PX-I_1p:ClassI:LTR:Copia	1397	21	1	0	1	0	28.03	0.00	28.03	28.03	28.03	28.03	28.03	21.00	0.00	21	21.00	21.00	21.00	21	1.50	0.00	1.50	1.50	1.50	1.50	1.50
Copia-19_BG-I_1p:ClassI:LTR:Copia	1477	231	1	0	1	0	32.10	0.00	32.10	32.10	32.10	32.10	32.10	231.00	0.00	231	231.00	231.00	231.00	231	15.64	0.00	15.64	15.64	15.64	15.64	15.64
Copia-19_DPu-I_1p:ClassI:LTR:Copia	1306	27	1	0	1	0	27.38	0.00	27.38	27.38	27.38	27.38	27.38	27.00	0.00	27	27.00	27.00	27.00	27	2.07	0.00	2.07	2.07	2.07	2.07	2.07
Copia-19_SI-I_1p:ClassI:LTR:Copia	796	24	1	0	1	0	25.68	0.00	25.68	25.68	25.68	25.68	25.68	24.00	0.00	24	24.00	24.00	24.00	24	3.02	0.00	3.02	3.02	3.02	3.02	3.02
Copia-1_AB-I_1p:ClassI:LTR:Copia	1400	3399	2	0	2	0	29.20	0.29	28.99	28.99	29.20	29.40	29.40	1699.50	23.33	1683	1683.00	1699.50	1716.00	1716	121.39	1.67	120.21	120.21	121.39	122.57	122.57
Copia-1_ATe-I_1p:ClassI:LTR:Copia	1524	1821	6	0	6	0	32.46	3.13	29.06	29.77	31.85	35.94	36.30	303.50	380.93	42	54.00	67.50	795.00	795	19.91	25.00	2.76	3.54	4.43	52.17	52.17
Copia-1_CMe-I_1p:ClassI:LTR:Copia	582	1404	1	0	1	0	70.68	0.00	70.68	70.68	70.68	70.68	70.68	1404.00	0.00	1404	1404.00	1404.00	1404.00	1404	241.24	0.00	241.24	241.24	241.24	241.24	241.24
Copia-1_VA-I_1p:ClassI:LTR:Copia	608	45675	40	2	40	2	34.21	3.85	29.60	30.26	32.97	38.23	42.25	1141.88	363.71	282	786.00	1339.50	1383.00	1569	187.81	59.82	46.38	129.28	220.31	227.47	258.06
Copia-1_VA-I_2p:ClassI:LTR:Copia	896	358	2	0	1	0	45.83	0.00	45.83	45.83	45.83	45.83	45.83	360.00	0.00	360	360.00	360.00	360.00	360	40.18	0.00	40.18	40.18	40.18	40.18	40.18
Copia-22_SI-I_1p:ClassI:LTR:Copia	1247	60	2	0	2	0	27.81	0.83	27.23	27.23	27.81	28.40	28.40	30.00	0.00	30	30.00	30.00	30.00	30	2.41	0.00	2.41	2.41	2.41	2.41	2.41
Copia-23_ST-I_1p:ClassI:LTR:Copia	686	636	1	0	1	0	24.58	0.00	24.58	24.58	24.58	24.58	24.58	636.00	0.00	636	636.00	636.00	636.00	636	92.71	0.00	92.71	92.71	92.71	92.71	92.71
Copia-24_PIT-I_1p:ClassI:LTR:Copia	358	159	1	0	1	0	37.74	0.00	37.74	37.74	37.74	37.74	37.74	159.00	0.00	159	159.00	159.00	159.00	159	44.41	0.00	44.41	44.41	44.41	44.41	44.41
Copia-24_PX-I_1p:ClassI:LTR:Copia	1369	21	1	0	1	0	33.33	0.00	33.33	33.33	33.33	33.33	33.33	21.00	0.00	21	21.00	21.00	21.00	21	1.53	0.00	1.53	1.53	1.53	1.53	1.53
Copia-24_SI-I_1p:ClassI:LTR:Copia	1318	282	2	0	2	0	28.20	7.91	22.60	22.60	28.20	33.79	33.79	141.00	169.71	21	21.00	141.00	261.00	261	10.70	12.88	1.59	1.59	10.70	19.80	19.80
Copia-25_BG-I_1p:ClassI:LTR:Copia	1627	2685	2	0	1	0	33.30	0.00	33.30	33.30	33.30	33.30	33.30	2685.00	0.00	2685	2685.00	2685.00	2685.00	2685	165.03	0.00	165.03	165.03	165.03	165.03	165.03
Copia-25_CQ-I_1p:ClassI:LTR:Copia	1341	279	1	0	1	0	29.27	0.00	29.27	29.27	29.27	29.27	29.27	279.00	0.00	279	279.00	279.00	279.00	279	20.81	0.00	20.81	20.81	20.81	20.81	20.81
Copia-26_Pru-I_1p:ClassI:LTR:Copia	808	21	1	0	1	0	27.89	0.00	27.89	27.89	27.89	27.89	27.89	21.00	0.00	21	21.00	21.00	21.00	21	2.60	0.00	2.60	2.60	2.60	2.60	2.60
Copia-27_ECa-I_1p:ClassI:LTR:Copia	1036	21	1	0	1	0	26.00	0.00	26.00	26.00	26.00	26.00	26.00	21.00	0.00	21	21.00	21.00	21.00	21	2.03	0.00	2.03	2.03	2.03	2.03	2.03
Copia-27_PIT-I_1p:ClassI:LTR:Copia	1654	21	1	0	1	0	26.14	0.00	26.14	26.14	26.14	26.14	26.14	21.00	0.00	21	21.00	21.00	21.00	21	1.27	0.00	1.27	1.27	1.27	1.27	1.27
Copia-28_BG-I_1p:ClassI:LTR:Copia	1492	1044	1	0	1	0	24.30	0.00	24.30	24.30	24.30	24.30	24.30	1044.00	0.00	1044	1044.00	1044.00	1044.00	1044	69.97	0.00	69.97	69.97	69.97	69.97	69.97
Copia-28_DPu-I_1p:ClassI:LTR:Copia	1245	21	1	0	1	0	31.59	0.00	31.59	31.59	31.59	31.59	31.59	21.00	0.00	21	21.00	21.00	21.00	21	1.69	0.00	1.69	1.69	1.69	1.69	1.69
Copia-29_CQ-I_2p:ClassI:LTR:Copia	1028	97	1	0	1	0	32.26	0.00	32.26	32.26	32.26	32.26	32.26	97.00	0.00	97	97.00	97.00	97.00	97	9.44	0.00	9.44	9.44	9.44	9.44	9.44
Copia-29_PAb-I_2p:ClassI:LTR:Copia	577	1125	1	0	1	0	31.15	0.00	31.15	31.15	31.15	31.15	31.15	1125.00	0.00	1125	1125.00	1125.00	1125.00	1125	194.97	0.00	194.97	194.97	194.97	194.97	194.97
Copia-29_PIT-I_1p:ClassI:LTR:Copia	1345	51	2	0	2	0	26.26	1.70	25.06	25.06	26.26	27.46	27.46	25.50	2.12	24	24.00	25.50	27.00	27	1.90	0.16	1.78	1.78	1.90	2.01	2.01
Copia-2_CCO-I_2p:ClassI:LTR:Copia	330	54	2	0	2	0	30.51	3.71	27.88	27.88	30.51	33.13	33.13	27.00	8.49	21	21.00	27.00	33.00	33	8.18	2.57	6.36	6.36	8.18	10.00	10.00
Copia-2_HAE-I_1p:ClassI:LTR:Copia	1367	60	2	0	2	0	28.93	0.04	28.90	28.90	28.93	28.96	28.96	30.00	4.24	27	27.00	30.00	33.00	33	2.19	0.31	1.98	1.98	2.19	2.41	2.41
Copia-2_JC-I_1p:ClassI:LTR:Copia	1437	2817	4	0	4	0	25.14	0.87	24.10	25.09	25.12	26.24	26.24	704.25	135.51	501	771.00	771.00	774.00	774	49.01	9.43	34.86	53.65	53.65	53.86	53.86
Copia-2_LBS-I_1p:ClassI:LTR:Copia	1459	159	1	0	1	0	41.51	0.00	41.51	41.51	41.51	41.51	41.51	159.00	0.00	159	159.00	159.00	159.00	159	10.90	0.00	10.90	10.90	10.90	10.90	10.90
Copia-2_SCH-I_1p:ClassI:LTR:Copia	851	54	1	0	1	0	39.58	0.00	39.58	39.58	39.58	39.58	39.58	54.00	0.00	54	54.00	54.00	54.00	54	6.35	0.00	6.35	6.35	6.35	6.35	6.35
Copia-2_ST-I_1p:ClassI:LTR:Copia	954	327	1	0	1	0	25.79	0.00	25.79	25.79	25.79	25.79	25.79	327.00	0.00	327	327.00	327.00	327.00	327	34.28	0.00	34.28	34.28	34.28	34.28	34.28
Copia-2_VA-I_1p:ClassI:LTR:Copia	1621	4758	5	0	5	0	27.37	1.75	25.89	25.95	26.89	28.04	30.09	951.60	566.50	21	960.00	960.00	1407.00	1410	58.70	34.95	1.30	59.22	59.22	86.80	86.98
Copia-30_DPu-I_1p:ClassI:LTR:Copia	1360	54	2	0	2	0	32.22	4.08	29.33	29.33	32.22	35.10	35.10	27.00	8.49	21	21.00	27.00	33.00	33	1.99	0.62	1.54	1.54	1.99	2.43	2.43
Copia-31_LU-I_1p:ClassI:LTR:Copia	1063	33	1	0	1	0	28.27	0.00	28.27	28.27	28.27	28.27	28.27	33.00	0.00	33	33.00	33.00	33.00	33	3.10	0.00	3.10	3.10	3.10	3.10	3.10
Copia-31_MLP-I_1p:ClassI:LTR:Copia	1378	30	1	0	1	0	27.41	0.00	27.41	27.41	27.41	27.41	27.41	30.00	0.00	30	30.00	30.00	30.00	30	2.18	0.00	2.18	2.18	2.18	2.18	2.18
Copia-32_BD-I_1p:ClassI:LTR:Copia	545	33	1	0	1	0	26.24	0.00	26.24	26.24	26.24	26.24	26.24	33.00	0.00	33	33.00	33.00	33.00	33	6.06	0.00	6.06	6.06	6.06	6.06	6.06
Copia-33_GM-I_1p:ClassI:LTR:Copia	804	903	3	0	3	0	55.79	9.95	47.17	47.17	53.52	66.67	66.67	301.00	132.56	162	162.00	315.00	426.00	426	37.44	16.49	20.15	20.15	39.18	52.99	52.99
Copia-34B_ECa-I_1p:ClassI:LTR:Copia	846	46	1	0	1	0	28.08	0.00	28.08	28.08	28.08	28.08	28.08	46.00	0.00	46	46.00	46.00	46.00	46	5.44	0.00	5.44	5.44	5.44	5.44	5.44
Copia-34_PX-I_1p:ClassI:LTR:Copia	1363	21	1	0	1	0	26.99	0.00	26.99	26.99	26.99	26.99	26.99	21.00	0.00	21	21.00	21.00	21.00	21	1.54	0.00	1.54	1.54	1.54	1.54	1.54
Copia-37_Pru-I_1p:ClassI:LTR:Copia	1370	114	1	0	1	0	26.55	0.00	26.55	26.55	26.55	26.55	26.55	114.00	0.00	114	114.00	114.00	114.00	114	8.32	0.00	8.32	8.32	8.32	8.32	8.32
Copia-38_ALY-I_1p:ClassI:LTR:Copia	1430	24	1	0	1	0	28.72	0.00	28.72	28.72	28.72	28.72	28.72	24.00	0.00	24	24.00	24.00	24.00	24	1.68	0.00	1.68	1.68	1.68	1.68	1.68
Copia-39_ATr-I_1p:ClassI:LTR:Copia	1275	21	1	0	1	0	29.34	0.00	29.34	29.34	29.34	29.34	29.34	21.00	0.00	21	21.00	21.00	21.00	21	1.65	0.00	1.65	1.65	1.65	1.65	1.65
Copia-39_ST-I_1p:ClassI:LTR:Copia	1407	21	1	0	1	0	25.95	0.00	25.95	25.95	25.95	25.95	25.95	21.00	0.00	21	21.00	21.00	21.00	21	1.49	0.00	1.49	1.49	1.49	1.49	1.49
Copia-3_LH-I_3p:ClassI:LTR:Copia	521	54	2	0	2	0	27.48	1.38	26.50	26.50	27.48	28.45	28.45	27.00	8.49	21	21.00	27.00	33.00	33	5.18	1.63	4.03	4.03	5.18	6.33	6.33
Copia-3_PSH-I_1p:ClassI:LTR:Copia	1486	21	1	0	1	0	28.04	0.00	28.04	28.04	28.04	28.04	28.04	21.00	0.00	21	21.00	21.00	21.00	21	1.41	0.00	1.41	1.41	1.41	1.41	1.41
Copia-3_SLL-I_3p:ClassI:LTR:Copia	402	21	1	0	1	0	32.12	0.00	32.12	32.12	32.12	32.12	32.12	21.00	0.00	21	21.00	21.00	21.00	21	5.22	0.00	5.22	5.22	5.22	5.22	5.22
Copia-40_BG-I_1p:ClassI:LTR:Copia	1475	27	1	0	1	0	31.30	0.00	31.30	31.30	31.30	31.30	31.30	27.00	0.00	27	27.00	27.00	27.00	27	1.83	0.00	1.83	1.83	1.83	1.83	1.83
Copia-43_ECa-I_1p:ClassI:LTR:Copia	499	51	2	0	2	0	31.90	3.51	29.42	29.42	31.90	34.38	34.38	25.50	6.36	21	21.00	25.50	30.00	30	5.11	1.28	4.21	4.21	5.11	6.01	6.01
Copia-43_PIT-I_1p:ClassI:LTR:Copia	1481	60	1	0	1	0	25.54	0.00	25.54	25.54	25.54	25.54	25.54	60.00	0.00	60	60.00	60.00	60.00	60	4.05	0.00	4.05	4.05	4.05	4.05	4.05
Copia-44_PX-I_1p:ClassI:LTR:Copia	1478	21	1	0	1	0	28.42	0.00	28.42	28.42	28.42	28.42	28.42	21.00	0.00	21	21.00	21.00	21.00	21	1.42	0.00	1.42	1.42	1.42	1.42	1.42
Copia-45_BG-I_1p:ClassI:LTR:Copia	1003	138	1	0	1	0	31.76	0.00	31.76	31.76	31.76	31.76	31.76	138.00	0.00	138	138.00	138.00	138.00	138	13.76	0.00	13.76	13.76	13.76	13.76	13.76
Copia-45_JC-I_1p:ClassI:LTR:Copia	1309	42	2	0	2	0	30.20	3.97	27.40	27.40	30.20	33.01	33.01	21.00	0.00	21	21.00	21.00	21.00	21	1.60	0.00	1.60	1.60	1.60	1.60	1.60
Copia-46_MLP-I_1p:ClassI:LTR:Copia	1279	21	1	0	1	0	27.12	0.00	27.12	27.12	27.12	27.12	27.12	21.00	0.00	21	21.00	21.00	21.00	21	1.64	0.00	1.64	1.64	1.64	1.64	1.64
Copia-48_VV-I_3p:ClassI:LTR:Copia	393	21	1	0	1	0	33.74	0.00	33.74	33.74	33.74	33.74	33.74	21.00	0.00	21	21.00	21.00	21.00	21	5.34	0.00	5.34	5.34	5.34	5.34	5.34
Copia-49_MLP-I_1p:ClassI:LTR:Copia	1515	21	1	0	1	0	25.43	0.00	25.43	25.43	25.43	25.43	25.43	21.00	0.00	21	21.00	21.00	21.00	21	1.39	0.00	1.39	1.39	1.39	1.39	1.39
