TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
AeTango2_1p:ClassII:TIR:Tc1-Mariner	336	654	2	2	2	2	37.62	1.29	36.70	36.70	37.62	38.53	38.53	327.00	0.00	327	327.00	327.00	327.00	327	97.32	0.00	97.32	97.32	97.32	97.32	97.32
Cirt2ORF:ClassII:TIR:Tc1-Mariner	517	525	1	1	1	1	30.73	0.00	30.73	30.73	30.73	30.73	30.73	525.00	0.00	525	525.00	525.00	525.00	525	101.55	0.00	101.55	101.55	101.55	101.55	101.55
Copia-136_AA-I_2p:ClassI:LTR:Copia	745	771	1	1	1	1	21.24	0.00	21.24	21.24	21.24	21.24	21.24	771.00	0.00	771	771.00	771.00	771.00	771	103.49	0.00	103.49	103.49	103.49	103.49	103.49
Copia-15_CQ-I_1p:ClassI:LTR:Copia	1378	2970	2	1	2	1	21.47	0.24	21.30	21.30	21.47	21.64	21.64	1485.00	123.04	1398	1398.00	1485.00	1572.00	1572	107.76	8.93	101.45	101.45	107.76	114.08	114.08
Copia-58_BG-I_1p:ClassI:LTR:Copia	1619	8259	13	1	10	1	32.55	3.69	25.48	30.58	32.89	34.44	37.69	825.90	456.94	219	579.00	660.00	1206.00	1605	51.01	28.22	13.53	35.76	40.77	74.49	99.14
Copia-68_VV-I_1p:ClassI:LTR:Copia	1355	3080	3	1	3	1	29.29	1.43	27.82	27.82	29.38	30.68	30.68	1026.67	850.00	51	51.00	1422.00	1607.00	1607	75.77	62.73	3.76	3.76	104.94	118.60	118.60
EnSpm-17_CCri_1p:ClassII:TIR:CACTA	1205	1212	1	1	1	1	29.90	0.00	29.90	29.90	29.90	29.90	29.90	1212.00	0.00	1212	1212.00	1212.00	1212.00	1212	100.58	0.00	100.58	100.58	100.58	100.58	100.58
EnSpm-2_PGr_1p:ClassII:TIR:CACTA	500	5874	13	1	13	1	33.46	6.20	24.88	28.81	32.79	35.16	48.65	451.85	103.03	333	381.00	408.00	537.00	624	90.37	20.61	66.60	76.20	81.60	107.40	124.80
FLIPPER_1p:ClassII:TIR:Tc1-Mariner	532	1584	3	1	3	1	35.49	0.88	34.54	34.54	35.68	36.26	36.26	528.00	453.00	75	75.00	528.00	981.00	981	99.25	85.15	14.10	14.10	99.25	184.40	184.40
Gypsy-2_CH_2p:ClassI:LTR:Gypsy	1497	254431	139	1	133	1	61.75	11.56	34.41	54.25	60.71	69.30	91.03	1913.35	1803.34	21	234.00	1131.00	4308.00	4506	127.81	120.46	1.40	15.63	75.55	287.78	301.00
Gypsy-2_GDe-I_1p:ClassI:LTR:Gypsy	1287	256210	198	8	158	6	47.46	7.04	31.07	42.63	47.38	52.63	64.22	1623.39	1241.07	26	483.00	1338.00	2787.00	3798	126.14	96.43	2.02	37.53	103.96	216.55	295.10
Gypsy-2_GDe-I_3p:ClassI:LTR:Gypsy	437	33431	60	4	51	4	37.83	5.49	28.95	34.29	36.25	41.45	48.82	655.82	205.41	336	468.00	735.00	840.00	957	150.07	47.00	76.89	107.09	168.19	192.22	218.99
Gypsy-3_CH_1p:ClassI:LTR:Gypsy	717	40412	22	1	22	1	60.83	8.13	40.64	55.15	61.91	66.28	75.73	1836.91	527.85	348	1992.00	2093.00	2100.00	2106	256.19	73.62	48.54	277.82	291.91	292.89	293.72
Gypsy-6_CH_1p:ClassI:LTR:Gypsy	717	11407	10	1	10	1	48.02	9.39	26.95	45.83	47.56	51.55	63.93	1140.70	932.97	21	176.00	1285.50	2016.00	2064	159.09	130.12	2.93	24.55	179.29	281.17	287.87
Gypsy-6_CH_2p:ClassI:LTR:Gypsy	1462	72142	44	2	40	1	58.32	11.37	25.35	53.81	58.77	65.73	79.97	1804.70	1376.02	82	630.00	1204.50	2979.00	4290	123.44	94.12	5.61	43.09	82.39	203.76	293.43
HARB-4A_SBi_1p:ClassII:TIR:PIF-Harbinger	397	378	1	1	1	1	42.06	0.00	42.06	42.06	42.06	42.06	42.06	378.00	0.00	378	378.00	378.00	378.00	378	95.21	0.00	95.21	95.21	95.21	95.21	95.21
Harbinger-73_CCri_1p:ClassII:TIR:PIF-Harbinger	1169	1209	2	0	1	1	31.88	0.00	31.88	31.88	31.88	31.88	31.88	1209.00	0.00	1209	1209.00	1209.00	1209.00	1209	103.42	0.00	103.42	103.42	103.42	103.42	103.42
Mariner-13_SS_1p:ClassII:TIR:Tc1-Mariner	568	70376	98	0	95	1	39.82	6.88	25.33	34.38	39.52	45.54	53.18	740.80	683.97	21	54.00	528.00	1533.00	1662	130.42	120.42	3.70	9.51	92.96	269.89	292.61
Mariner-15_CFl_1p:ClassII:TIR:Tc1-Mariner	336	327	1	1	1	1	39.45	0.00	39.45	39.45	39.45	39.45	39.45	327.00	0.00	327	327.00	327.00	327.00	327	97.32	0.00	97.32	97.32	97.32	97.32	97.32
Mariner-16_LMi_1p:ClassII:TIR:Tc1-Mariner	343	1302	4	3	4	3	37.83	1.76	36.61	36.70	37.16	40.38	40.38	325.50	9.95	312	327.00	327.00	336.00	336	94.90	2.90	90.96	95.34	95.34	97.96	97.96
Mariner-1_SS_1p:ClassII:TIR:Tc1-Mariner	542	10134	29	1	29	1	35.76	9.27	24.60	31.22	33.53	38.58	67.44	349.45	475.41	24	48.00	80.00	474.00	1560	64.47	87.71	4.43	8.86	14.76	87.45	287.82
Mariner-22B_CCri_1p:ClassII:TIR:Tc1-Mariner	334	336	1	1	1	1	36.61	0.00	36.61	36.61	36.61	36.61	36.61	336.00	0.00	336	336.00	336.00	336.00	336	100.60	0.00	100.60	100.60	100.60	100.60	100.60
Mariner-2_SS_1p:ClassII:TIR:Tc1-Mariner	550	3297	13	1	13	1	33.64	6.46	24.87	30.34	32.43	36.40	50.00	253.62	304.84	27	45.00	66.00	426.00	1020	46.11	55.42	4.91	8.18	12.00	77.45	185.45
Mariner-2_TMe_1p:ClassII:TIR:Tc1-Mariner	585	18049	26	1	25	1	35.63	5.73	25.65	31.86	35.65	37.47	48.45	722.28	479.79	21	360.00	879.00	1053.00	1500	123.47	82.02	3.59	61.54	150.26	180.00	256.41
Mariner-35_SSa_1p:ClassII:TIR:Tc1-Mariner	337	1002	3	3	3	3	42.81	0.81	42.34	42.34	42.34	43.75	43.75	334.00	1.73	333	333.00	333.00	336.00	336	99.11	0.51	98.81	98.81	98.81	99.70	99.70
Mariner-3_SS_1p:ClassII:TIR:Tc1-Mariner	547	23713	35	4	35	4	35.34	5.27	26.25	31.10	34.87	38.97	50.00	677.51	503.01	51	178.00	549.00	1143.00	1617	123.86	91.96	9.32	32.54	100.37	208.96	295.61
Mariner-4_SS_1p:ClassII:TIR:Tc1-Mariner	547	56480	69	2	64	2	37.42	7.22	24.54	32.29	35.42	42.20	54.54	883.12	534.10	27	462.00	961.50	1446.00	1614	161.45	97.64	4.94	84.46	175.78	264.35	295.06
Mariner-51_HSal_1p:ClassII:TIR:Tc1-Mariner	342	3375	10	8	10	8	39.23	2.09	36.09	37.50	39.09	40.18	42.99	337.50	20.51	315	333.00	333.00	336.00	393	98.68	6.00	92.11	97.37	97.37	98.25	114.91
Mariner-7_DF_1p:ClassII:TIR:Tc1-Mariner	339	339	1	1	1	1	38.05	0.00	38.05	38.05	38.05	38.05	38.05	339.00	0.00	339	339.00	339.00	339.00	339	100.00	0.00	100.00	100.00	100.00	100.00	100.00
Mariner-89_HSal_1p:ClassII:TIR:Tc1-Mariner	349	333	1	1	1	1	38.74	0.00	38.74	38.74	38.74	38.74	38.74	333.00	0.00	333	333.00	333.00	333.00	333	95.42	0.00	95.42	95.42	95.42	95.42	95.42
Mariner-9_AN_1p:ClassII:TIR:Tc1-Mariner	622	6646	14	1	14	1	39.31	6.99	23.63	35.04	39.64	43.75	48.49	474.71	491.22	21	69.00	345.00	660.00	1683	76.32	78.97	3.38	11.09	55.47	106.11	270.58
Mariner-9_DAn_1p:ClassII:TIR:Tc1-Mariner	331	2004	6	6	6	6	36.38	1.40	34.51	35.13	36.49	37.84	37.84	334.00	2.45	333	333.00	333.00	333.00	339	100.91	0.74	100.60	100.60	100.60	100.60	102.42
REAL_AA_1p:ClassI:LTR:Gypsy	1243	308825	281	19	156	6	57.98	18.10	28.86	42.38	53.60	77.05	89.47	1993.59	1381.26	30	630.00	1629.00	3567.00	3941	160.39	111.12	2.41	50.68	131.05	286.97	317.06
Tad1-26C_BG_2p:ClassI:LINE:I	1188	5692	16	0	13	1	43.66	7.44	31.82	39.69	43.24	45.98	57.46	440.62	310.97	26	276.00	396.00	545.00	1245	37.09	26.18	2.19	23.23	33.33	45.88	104.80
Tad1-31_BG_1p:ClassI:LINE:I	523	1688	8	1	8	1	36.41	13.70	25.60	26.49	32.58	48.49	65.00	211.00	177.53	60	84.00	117.00	357.00	528	40.34	33.94	11.47	16.06	22.37	68.26	100.96
Tad1-37_BG_1p:ClassI:LINE:I	566	1580	4	1	4	1	33.81	7.91	26.76	28.00	32.47	43.52	43.52	395.00	216.51	78	435.00	479.50	543.00	543	69.79	38.25	13.78	76.86	84.72	95.94	95.94
Tad1-44_BG_2p:ClassI:LINE:I	1285	2626	11	1	11	1	41.78	9.64	28.80	31.53	40.58	47.22	60.00	238.73	368.83	24	48.00	124.00	234.00	1299	18.58	28.70	1.87	3.74	9.65	18.21	101.09
Tad1-4_PGr_1p:ClassI:LINE:I	426	627	2	1	2	1	24.89	1.99	23.49	23.49	24.89	26.30	26.30	313.50	180.31	186	186.00	313.50	441.00	441	73.59	42.33	43.66	43.66	73.59	103.52	103.52
Tad1-60_BG_2p:ClassI:LINE:I	1308	78400	79	0	61	1	45.67	8.11	24.00	39.65	46.07	51.66	61.13	1287.97	1082.99	24	468.00	827.00	1905.00	3828	98.47	82.80	1.83	35.78	63.23	145.64	292.66
