TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-comp_SN4-B-P4.3-Map3_reversed	6846	22421	11	1	9	2	86.17	7.24	70.80	82.90	87.50	91.60	92.40	2491.22	2996.88	46	134.00	252.00	5237.00	6848	36.39	43.78	0.67	1.96	3.68	76.50	100.03
DHX-incomp_SN2000-B-G180-Map3	13100	32613	5	1	4	1	93.51	0.36	93.00	93.54	93.62	93.80	93.80	8153.25	3656.86	4928	5830.00	7322.50	13040.00	13040	62.24	27.91	37.62	44.50	55.90	99.54	99.54
DMX-incomp_SN15_SOL-B-R31-Map20	23505	737844	50	25	44	26	91.40	3.87	82.00	91.00	92.80	93.60	96.90	16769.18	9371.64	81	9634.00	23144.00	23486.00	23668	71.34	39.87	0.34	40.99	98.46	99.92	100.69
DTX-comp_Ptr_1CBFP-B-R60-Map20_reversed	2127	2136	2	1	2	1	90.50	3.11	88.30	88.30	90.50	92.70	92.70	1068.00	1414.21	68	68.00	1068.00	2068.00	2068	50.21	66.49	3.20	3.20	50.21	97.23	97.23
DTX-comp_SN15_SOL-B-G47-Map7_reversed	2114	11126	14	4	12	4	88.49	9.98	67.31	84.61	93.55	96.20	96.70	934.83	916.43	92	114.00	580.50	2111.00	2120	44.22	43.35	4.35	5.39	27.46	99.86	100.28
DTX-comp_SN4-B-P6.1-Map3	1293	3971	7	2	7	2	91.09	4.84	85.70	86.40	91.90	95.80	97.10	567.29	634.53	34	48.00	96.00	1245.00	1293	43.87	49.07	2.63	3.71	7.42	96.29	100.00
DTX-comp_SN4_RS_28_reversed	2112	13526	11	3	10	4	88.83	9.03	69.20	91.50	92.70	93.70	94.20	1358.70	886.08	61	496.00	1805.50	2111.00	2123	64.33	41.95	2.89	23.48	85.49	99.95	100.52
DTX-incomp-chim_SN15_SOL-L-B13-Map1_reversed	18062	67846	13	2	12	2	84.99	9.90	63.20	80.10	87.50	91.90	100.00	5653.92	6960.91	118	771.00	2238.50	14595.00	18062	31.30	38.54	0.65	4.27	12.39	80.81	100.00
DTX-incomp-chim_SN15_SOL-L-B18-Map1	15739	34186	13	1	9	1	83.29	11.80	69.20	70.80	88.50	92.00	100.00	3798.44	4913.95	37	409.00	1918.00	4948.00	15739	24.13	31.22	0.24	2.60	12.19	31.44	100.00
DTX-incomp-chim_SN15_SOL-L-B19-Map1_reversed	15719	33818	6	1	6	1	78.20	11.97	67.40	69.10	75.00	82.70	100.00	5636.33	6861.28	33	60.00	2862.00	12282.00	15719	35.86	43.65	0.21	0.38	18.21	78.13	100.00
DTX-incomp-chim_SN15_SOL-L-B27-Map1_reversed	13684	45090	12	1	10	1	80.06	12.29	61.80	71.20	75.75	91.20	100.00	4509.00	5017.20	122	270.00	3075.50	6771.00	13684	32.95	36.66	0.89	1.97	22.48	49.48	100.00
DTX-incomp-chim_SN15_SOL-L-B29-Map1_reversed	12709	20140	13	1	9	1	86.88	9.44	74.89	78.30	88.60	92.27	100.00	2237.78	4056.56	23	329.00	574.00	1887.00	12709	17.61	31.92	0.18	2.59	4.52	14.85	100.00
DTX-incomp-chim_SN15_SOL-L-B32-Map1_reversed	11358	13079	7	1	7	1	85.57	9.62	69.20	81.40	84.60	91.40	100.00	1868.43	4194.13	60	112.00	262.00	897.00	11358	16.45	36.93	0.53	0.99	2.31	7.90	100.00
DTX-incomp-chim_SN15_SOL-L-B71-Map1_reversed	7006	11873	10	1	8	1	87.20	8.44	69.70	85.40	88.93	89.80	100.00	1490.88	2324.46	155	279.00	424.50	1775.00	7006	21.28	33.18	2.21	3.98	6.06	25.34	100.00
DTX-incomp-chim_SN2000-L-B6-Map1_reversed	18517	24516	4	1	4	1	75.22	7.94	68.10	69.20	74.10	84.60	84.60	6129.00	8560.53	141	891.00	2897.00	18581.00	18581	33.10	46.23	0.76	4.81	15.65	100.35	100.35
DTX-incomp-chim_SN4-L-B11-Map1	19120	59690	13	2	8	2	79.06	7.41	69.50	75.10	80.23	85.13	91.30	7466.38	7580.19	172	2470.00	3721.50	18478.00	18946	39.05	39.65	0.90	12.92	19.46	96.64	99.09
DTX-incomp_SN15_SOL-B-G100-Map9	6414	7196	4	1	4	1	89.00	6.74	79.50	89.10	90.90	94.70	94.70	1799.00	3049.62	28	298.00	402.00	6364.00	6364	28.05	47.55	0.44	4.65	6.27	99.22	99.22
DTX-incomp_SN15_SOL-B-G121-Map4	6551	6550	1	1	1	1	95.80	0.00	95.80	95.80	95.80	95.80	95.80	6550.00	0.00	6550	6550.00	6550.00	6550.00	6550	99.98	0.00	99.98	99.98	99.98	99.98	99.98
DTX-incomp_SN15_SOL-B-G28-Map20_reversed	2284	8094	6	1	6	1	93.23	2.14	90.20	91.60	93.45	94.50	96.20	1349.00	956.51	35	240.00	1828.00	1875.00	2288	59.06	41.88	1.53	10.51	80.04	82.09	100.18
DTX-incomp_SN15_SOL-B-R116-Map6	15222	36996	14	2	13	2	81.74	11.08	62.10	77.80	82.30	84.20	99.80	2845.85	5545.20	43	97.00	454.00	1048.00	15222	18.70	36.43	0.28	0.64	2.98	6.88	100.00
DTX-incomp_SN4-B-R44-Map4	2123	2340	2	1	2	1	87.80	3.54	85.30	85.30	87.80	90.30	90.30	1170.00	1262.89	277	277.00	1170.00	2063.00	2063	55.11	59.49	13.05	13.05	55.11	97.17	97.17
DXX-MITE_SN15_SOL_RS_52	385	2643	11	4	10	5	87.53	10.56	74.80	77.00	87.78	99.20	99.50	264.30	138.88	43	141.00	317.50	385.00	385	68.65	36.07	11.17	36.62	82.47	100.00	100.00
