TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G139-Map20	6718	27718	35	1	33	2	82.45	8.36	64.20	77.00	81.80	89.42	99.70	839.94	1960.84	31	70.00	105.00	143.00	6737	12.50	29.19	0.46	1.04	1.56	2.13	100.28
DHX-incomp_CS10-B-G145-Map3_reversed	6579	20729	16	2	12	2	90.55	10.01	65.50	83.70	95.54	97.30	99.70	1728.25	2574.21	116	255.00	292.00	4353.00	6647	26.27	39.13	1.76	3.88	4.44	66.17	101.03
DTX-comp_CS10-B-G109-Map8_reversed	3403	10255	6	3	6	3	97.07	3.37	90.90	96.50	97.50	100.00	100.00	1716.83	1831.11	44	46.00	1702.50	3402.00	3404	50.45	53.81	1.29	1.35	50.03	99.97	100.03
DTX-comp_CS10-B-G114-Map4	3744	18364	9	4	9	4	81.78	9.08	65.90	75.50	84.00	88.70	92.20	2040.44	1836.39	21	47.00	3151.00	3685.00	3697	54.50	49.05	0.56	1.26	84.16	98.42	98.74
DTX-comp_CS10-B-G32-Map6_reversed	1868	3602	10	1	10	1	87.78	6.89	77.00	81.70	88.55	93.80	94.90	366.80	556.94	66	78.00	132.50	434.00	1865	19.64	29.81	3.53	4.18	7.09	23.23	99.84
DTX-comp_CS10-B-G50-Map6	1879	6328	11	2	10	2	87.89	8.84	72.90	79.60	89.91	95.50	96.10	632.80	726.33	45	160.00	174.00	1018.00	1862	33.68	38.65	2.39	8.52	9.26	54.18	99.10
DTX-comp_CS10-B-G66-Map11	1853	6582	6	3	6	3	89.33	6.84	81.70	82.80	89.20	93.60	99.50	1097.00	848.61	153	180.00	1272.00	1851.00	1854	59.20	45.80	8.26	9.71	68.65	99.89	100.05
DTX-comp_CS10-B-G67-Map7_reversed	1858	9208	11	4	11	4	88.41	6.58	80.30	82.10	88.50	92.00	99.90	837.09	827.85	29	111.00	530.00	1855.00	1860	45.05	44.56	1.56	5.97	28.53	99.84	100.11
DTX-comp_CS10-B-G74-Map20	1866	20349	22	8	21	8	97.31	4.49	81.28	98.30	98.40	99.60	99.70	1065.10	692.82	284	477.00	718.00	1854.00	1864	57.08	37.13	15.22	25.56	38.48	99.36	99.89
DTX-comp_CS10-B-G81-Map12	2134	4252	2	2	2	2	97.30	0.14	97.20	97.20	97.30	97.40	97.40	2126.00	9.90	2119	2119.00	2126.00	2133.00	2133	99.63	0.46	99.30	99.30	99.63	99.95	99.95
DTX-comp_CS10-B-G88-Map13	2683	15569	16	3	14	4	83.70	15.61	58.20	66.46	92.20	96.80	98.80	1112.07	1125.08	23	91.00	702.00	2585.00	2670	41.45	41.93	0.86	3.39	26.16	96.35	99.52
DTX-comp_CS10-B-P10.35-Map6	1605	17860	13	10	12	11	96.03	9.87	64.70	98.40	98.95	99.16	99.20	1488.33	394.45	236	1597.00	1599.50	1603.00	1623	92.73	24.58	14.70	99.50	99.66	99.88	101.12
DTX-comp_CS10-B-P11.13-Map5	1864	7766	9	3	9	3	89.72	5.89	81.20	86.60	88.10	95.20	98.50	872.22	823.91	29	84.00	538.00	1859.00	1871	46.79	44.20	1.56	4.51	28.86	99.73	100.38
DTX-comp_CS10-B-P21.26-Map14	2122	5066	6	2	6	2	84.70	13.07	61.30	80.40	88.05	95.20	95.20	844.33	962.74	106	107.00	348.00	2064.00	2093	39.79	45.37	5.00	5.04	16.40	97.27	98.63
DTX-comp_CS10-B-P29.22-Map3_reversed	1852	11040	15	4	15	4	94.11	7.74	75.10	94.80	96.40	99.10	99.20	736.00	725.86	49	87.00	424.00	1847.00	1856	39.74	39.19	2.65	4.70	22.89	99.73	100.22
DTX-comp_CS10-B-P30.21-Map8_reversed	1496	16730	16	10	15	10	91.35	9.33	72.30	85.95	95.70	98.50	99.30	1116.73	599.39	21	819.00	1490.00	1494.00	1496	74.65	40.07	1.40	54.75	99.60	99.87	100.00
DTX-comp_CS10-B-P35.17-Map20	2162	32808	34	13	29	13	86.90	11.06	71.40	77.50	84.30	99.20	99.40	1131.31	978.52	26	140.00	967.00	2161.00	2171	52.33	45.26	1.20	6.48	44.73	99.95	100.42
DTX-comp_CS10-B-P54.1-Map3_reversed	1842	2065	4	1	4	1	98.65	1.19	97.30	98.00	98.80	99.70	99.70	516.25	878.34	52	61.00	90.00	1833.00	1833	28.03	47.68	2.82	3.31	4.89	99.51	99.51
DTX-comp_CS10-B-R111-Map4	2788	4260	4	1	4	1	95.22	5.09	88.90	93.30	96.20	99.60	99.60	1065.00	1210.21	42	443.00	717.00	2784.00	2784	38.20	43.41	1.51	15.89	25.72	99.86	99.86
DTX-comp_CS10-B-R118-Map10	1854	13782	18	6	17	6	91.41	9.86	74.55	83.60	96.60	98.90	100.00	847.29	794.09	31	137.00	557.00	1847.00	1917	45.70	42.83	1.67	7.39	30.04	99.62	103.40
DTX-comp_CS10-B-R176-Map4_reversed	2002	15323	15	5	14	5	90.54	5.55	79.00	88.50	91.70	94.30	97.70	1094.50	832.86	86	418.00	995.50	2002.00	2008	54.67	41.60	4.30	20.88	49.73	100.00	100.30
DTX-comp_CS10-B-R37-Map6	1840	10009	10	5	10	5	90.88	9.57	75.70	81.60	96.30	98.90	99.10	1000.90	886.12	53	102.00	1090.00	1838.00	1839	54.40	48.16	2.88	5.54	59.24	99.89	99.95
DTX-comp_CS10-B-R77-Map3	1847	10229	20	3	18	4	85.63	5.32	78.10	82.10	84.35	89.30	95.70	568.28	721.66	37	92.00	180.50	735.00	1856	30.77	39.07	2.00	4.98	9.77	39.79	100.49
DTX-comp_CS10_RS_00	14080	31623	36	1	34	1	76.90	7.97	61.56	70.50	76.25	83.60	99.70	930.09	2404.68	29	99.00	271.50	1007.00	14083	6.61	17.08	0.21	0.70	1.93	7.15	100.02
DTX-comp_CS10_RS_49	1849	5300	4	1	4	1	77.78	5.08	73.10	76.40	76.50	85.00	85.00	1325.00	748.53	214	1582.00	1622.50	1841.00	1841	71.66	40.48	11.57	85.56	87.75	99.57	99.57
DTX-comp_Ptr_1CBFP-B-G66-Map20_reversed	1890	3123	5	1	3	1	69.10	5.21	64.40	64.40	68.19	74.70	74.70	1043.33	749.69	403	403.00	859.00	1868.00	1868	55.20	39.67	21.32	21.32	45.45	98.84	98.84
DTX-comp_Ptr_1CBFP-B-G90-Map7_reversed	2114	2504	3	1	3	1	72.60	2.48	69.80	69.80	73.50	74.50	74.50	834.67	1081.97	205	205.00	215.00	2084.00	2084	39.48	51.18	9.70	9.70	10.17	98.58	98.58
DTX-incomp-chim_CS10-B-R133-Map3_reversed	3576	9541	13	1	13	1	79.45	13.91	64.30	69.30	72.50	97.50	99.60	733.92	1170.09	39	143.00	206.00	243.00	3586	20.52	32.72	1.09	4.00	5.76	6.80	100.28
DTX-incomp-chim_CS10-B-R61-Map5	7716	28102	19	2	13	2	81.64	13.35	56.20	74.10	79.40	94.99	98.40	2162.00	2764.84	31	237.00	874.00	3834.00	7722	28.02	35.83	0.40	3.07	11.33	49.69	100.08
DTX-incomp-chim_CS10-L-B116-Map1	4535	30729	37	1	35	1	85.85	10.32	67.70	77.70	85.00	98.10	99.60	877.97	1020.31	26	127.00	492.00	1772.00	4552	19.36	22.50	0.57	2.80	10.85	39.07	100.37
