TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G138-Map19_reversed	6578	15968	19	1	19	1	85.21	7.00	75.00	79.70	83.30	93.10	95.80	840.42	1922.29	43	60.00	81.00	182.00	6338	12.78	29.22	0.65	0.91	1.23	2.77	96.35
DHX-incomp_CS10-B-G139-Map20	6718	18689	32	2	32	2	83.72	7.31	72.40	77.50	82.35	90.60	97.20	589.59	1622.53	32	82.00	103.50	178.00	6735	8.78	24.15	0.48	1.22	1.54	2.65	100.25
DTX-comp_CS10-B-G109-Map8_reversed	3403	17044	6	5	6	5	96.88	3.34	90.90	95.70	97.60	99.70	99.80	2840.67	1370.09	44	3393.00	3399.00	3404.00	3405	83.48	40.26	1.29	99.71	99.88	100.03	100.06
DTX-comp_CS10-B-G114-Map4	3744	21700	12	4	10	4	82.57	5.45	75.30	79.56	82.41	86.50	92.00	2170.00	1842.42	21	38.00	3449.50	3675.00	3701	57.96	49.21	0.56	1.01	92.13	98.16	98.85
DTX-comp_CS10-B-G32-Map6_reversed	1868	6047	12	2	12	2	87.32	6.78	77.00	81.30	88.50	93.80	93.90	527.00	646.82	78	136.00	251.00	625.00	1860	28.21	34.63	4.18	7.28	13.44	33.46	99.57
DTX-comp_CS10-B-G50-Map6	1879	6529	13	2	11	2	88.58	8.78	72.90	79.60	90.24	95.90	95.90	593.55	699.62	27	160.00	184.00	1015.00	1862	31.59	37.23	1.44	8.52	9.79	54.02	99.10
DTX-comp_CS10-B-G66-Map11	1853	8696	8	4	8	4	87.20	12.16	62.10	82.80	89.35	99.10	99.60	1087.00	814.47	153	336.00	1234.00	1852.00	1857	58.66	43.95	8.26	18.13	66.59	99.95	100.22
DTX-comp_CS10-B-G67-Map7_reversed	1858	11721	12	5	12	5	91.04	7.90	80.30	84.80	90.70	99.70	99.70	976.75	848.73	29	170.00	991.00	1857.00	1859	52.57	45.68	1.56	9.15	53.34	99.95	100.05
DTX-comp_CS10-B-G74-Map20	1866	12207	12	5	11	5	96.51	5.00	81.66	96.60	98.30	98.30	99.60	1109.73	735.10	264	366.00	801.00	1859.00	1864	59.47	39.39	14.15	19.61	42.93	99.62	99.89
DTX-comp_CS10-B-G81-Map12	2134	2138	1	1	1	1	97.30	0.00	97.30	97.30	97.30	97.30	97.30	2138.00	0.00	2138	2138.00	2138.00	2138.00	2138	100.19	0.00	100.19	100.19	100.19	100.19	100.19
DTX-comp_CS10-B-G88-Map13	2683	15631	15	3	13	4	81.80	15.37	57.00	66.17	85.70	93.70	98.80	1202.38	1117.19	23	101.00	854.00	2583.00	2670	44.81	41.64	0.86	3.76	31.83	96.27	99.52
DTX-comp_CS10-B-P10.35-Map6	1605	19466	14	11	13	12	94.46	9.89	64.70	96.20	98.40	98.90	99.00	1497.38	379.08	236	1597.00	1600.00	1604.00	1624	93.29	23.62	14.70	99.50	99.69	99.94	101.18
DTX-comp_CS10-B-P11.13-Map5	1864	6197	9	3	9	3	89.42	6.61	79.00	86.60	88.40	95.30	98.10	697.89	881.25	29	84.00	94.00	1864.00	1871	37.44	47.28	1.56	4.51	5.04	100.00	100.38
