TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G139-Map20	6718	23710	54	0	51	1	79.39	7.14	68.20	74.30	76.80	82.80	93.50	465.33	1365.67	21	59.00	95.00	130.00	6669	6.93	20.33	0.31	0.88	1.41	1.94	99.27
DHX-incomp_CS10-B-G145-Map3_reversed	6579	38307	18	3	17	3	85.88	13.59	58.40	76.70	92.90	95.70	99.10	2253.35	2593.17	27	166.00	897.00	4276.00	6597	34.25	39.42	0.41	2.52	13.63	64.99	100.27
DTX-comp_CS10-B-G109-Map8_reversed	3403	3398	1	1	1	1	95.30	0.00	95.30	95.30	95.30	95.30	95.30	3398.00	0.00	3398	3398.00	3398.00	3398.00	3398	99.85	0.00	99.85	99.85	99.85	99.85	99.85
DTX-comp_CS10-B-G114-Map4	3744	15717	17	1	12	2	81.01	6.35	75.16	75.90	78.72	85.50	92.90	1309.75	1430.14	21	114.00	608.50	2469.00	3691	34.98	38.20	0.56	3.04	16.25	65.95	98.58
DTX-comp_CS10-B-G32-Map6_reversed	1868	5633	7	2	7	2	84.46	5.70	77.00	81.20	82.50	89.40	94.10	804.71	793.44	85	104.00	590.00	1860.00	1866	43.08	42.48	4.55	5.57	31.58	99.57	99.89
DTX-comp_CS10-B-G50-Map6	1879	5048	11	1	10	1	88.13	8.52	72.90	79.60	90.47	94.30	98.30	504.80	689.54	25	54.00	175.00	531.00	1832	26.87	36.70	1.33	2.87	9.31	28.26	97.50
DTX-comp_CS10-B-G66-Map11	1853	8731	8	4	8	4	88.46	12.71	63.20	82.80	90.65	99.50	99.70	1091.38	826.28	131	337.00	1266.50	1850.00	1851	58.90	44.59	7.07	18.19	68.35	99.84	99.89
DTX-comp_CS10-B-G67-Map7_reversed	1858	9695	12	4	12	4	89.95	7.21	79.20	85.00	89.35	98.30	99.60	807.92	794.79	29	174.00	523.00	1855.00	1856	43.48	42.78	1.56	9.36	28.15	99.84	99.89
DTX-comp_CS10-B-G74-Map20	1866	17118	12	9	11	9	94.50	6.05	82.13	87.10	97.70	98.60	99.50	1556.18	666.17	67	1852.00	1854.00	1855.00	1856	83.40	35.70	3.59	99.25	99.36	99.41	99.46
DTX-comp_CS10-B-P10.35-Map6	1605	3181	2	2	2	2	91.50	10.89	83.80	83.80	91.50	99.20	99.20	1590.50	13.44	1581	1581.00	1590.50	1600.00	1600	99.10	0.84	98.50	98.50	99.10	99.69	99.69
DTX-comp_CS10-B-P11.13-Map5	1864	3399	6	1	6	1	89.97	4.34	84.20	86.60	89.95	93.50	95.60	566.50	680.78	29	72.00	378.50	677.00	1864	30.39	36.52	1.56	3.86	20.31	36.32	100.00
DTX-comp_CS10-B-P21.26-Map14	2122	2812	5	1	5	1	83.38	11.13	70.80	73.40	84.30	93.00	95.40	562.40	841.46	92	107.00	160.00	402.00	2051	26.50	39.65	4.34	5.04	7.54	18.94	96.65
DTX-comp_CS10-B-P30.21-Map8_reversed	1496	10176	13	5	12	5	89.75	9.60	72.30	86.50	91.20	97.80	99.40	849.75	631.56	21	323.00	858.50	1491.00	1499	56.80	42.22	1.40	21.59	57.39	99.67	100.20
DTX-comp_CS10-B-P35.17-Map20	2162	8164	21	1	16	2	81.96	5.96	71.70	79.30	81.62	86.30	93.50	510.25	698.49	44	71.00	183.50	957.00	2158	23.60	32.31	2.04	3.28	8.49	44.26	99.81
DTX-comp_CS10-B-P54.1-Map3_reversed	1842	1881	2	1	2	1	92.00	4.38	88.90	88.90	92.00	95.10	95.10	940.50	1262.19	48	48.00	940.50	1833.00	1833	51.06	68.52	2.61	2.61	51.06	99.51	99.51
DTX-comp_CS10-B-R176-Map4_reversed	2002	19114	15	6	13	8	89.86	4.79	81.50	86.40	91.20	93.40	96.40	1470.31	792.48	155	444.00	1992.00	1996.00	2007	73.44	39.58	7.74	22.18	99.50	99.70	100.25
