TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-comp_SN4-B-P4.3-Map3_reversed	6846	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHX-incomp_CS10-B-G138-Map19_reversed	6578	3081	22	0	22	0	78.10	6.53	67.70	75.40	77.25	80.70	93.80	140.05	154.33	24	56.00	98.00	135.00	583	2.13	2.35	0.36	0.85	1.49	2.05	8.86
DHX-incomp_CS10-B-G139-Map20	6718	23710	54	0	51	1	79.39	7.14	68.20	74.30	76.80	82.80	93.50	465.33	1365.67	21	59.00	95.00	130.00	6669	6.93	20.33	0.31	0.88	1.41	1.94	99.27
DHX-incomp_CS10-B-G140-Map5_reversed	5735	11472	20	0	19	0	79.39	9.39	58.50	72.50	78.10	87.20	97.70	603.79	1189.79	27	77.00	145.00	551.00	5212	10.53	20.75	0.47	1.34	2.53	9.61	90.88
DHX-incomp_CS10-B-G145-Map3_reversed	6579	38307	18	3	17	3	85.88	13.59	58.40	76.70	92.90	95.70	99.10	2253.35	2593.17	27	166.00	897.00	4276.00	6597	34.25	39.42	0.41	2.52	13.63	64.99	100.27
DHX-incomp_CS10-B-G22-Map20_reversed	7636	694	6	0	6	0	78.57	3.47	73.30	77.40	78.60	79.50	84.00	135.83	33.57	100	121.00	127.00	142.00	198	1.78	0.44	1.31	1.58	1.66	1.86	2.59
DHX-incomp_CS10-L-B47-Map1	8633	19405	53	0	45	0	86.06	12.36	65.40	72.50	93.80	97.40	100.00	431.31	655.95	28	219.00	317.00	351.00	4248	5.00	7.60	0.32	2.54	3.67	4.07	49.21
DHX-incomp_CS10_RS_12	7347	27131	59	0	49	0	74.99	7.12	56.80	71.60	74.40	79.40	93.80	553.69	861.93	32	98.00	171.00	1007.00	4939	7.54	11.73	0.44	1.33	2.33	13.71	67.22
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	589	5	0	5	0	76.46	3.59	71.10	74.40	78.60	79.00	79.20	117.80	60.80	72	77.00	88.00	135.00	217	9.45	4.88	5.78	6.18	7.06	10.83	17.42
DHX-incomp_SN2000-B-G180-Map3	13100	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN15_SOL-B-R31-Map20	23505	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN15_SOL_RS_5	16085	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN4-B-R24-Map20	14733	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp-chim_Ptr_1CBFP-B-G241-Map3_reversed	8160	88	1	0	1	0	60.10	0.00	60.10	60.10	60.10	60.10	60.10	88.00	0.00	88	88.00	88.00	88.00	88	1.08	0.00	1.08	1.08	1.08	1.08	1.08
DTX-comp-chim_Ptr_1CBFP-L-B152-Map1	3195	123	2	0	2	0	63.20	4.38	60.10	60.10	63.20	66.30	66.30	61.50	37.48	35	35.00	61.50	88.00	88	1.92	1.17	1.10	1.10	1.92	2.75	2.75
DTX-comp-chim_Ptr_1CBFP-L-B81-Map1	7709	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_CS10-B-G109-Map8_reversed	3403	3398	1	1	1	1	95.30	0.00	95.30	95.30	95.30	95.30	95.30	3398.00	0.00	3398	3398.00	3398.00	3398.00	3398	99.85	0.00	99.85	99.85	99.85	99.85	99.85
DTX-comp_CS10-B-G114-Map4	3744	15717	17	1	14	1	80.10	6.61	68.76	75.90	78.45	85.00	92.90	1122.64	1121.03	21	114.00	675.00	1850.00	3684	29.99	29.94	0.56	3.04	18.03	49.41	98.40
DTX-comp_CS10-B-G32-Map6_reversed	1868	5633	7	2	7	2	84.46	5.70	77.00	81.20	82.50	89.40	94.10	804.71	793.44	85	104.00	590.00	1860.00	1866	43.08	42.48	4.55	5.57	31.58	99.57	99.89
DTX-comp_CS10-B-G50-Map6	1879	5048	11	1	10	1	88.13	8.52	72.90	79.60	90.47	94.30	98.30	504.80	689.54	25	54.00	175.00	531.00	1832	26.87	36.70	1.33	2.87	9.31	28.26	97.50
DTX-comp_CS10-B-G66-Map11	1853	8731	8	4	8	4	88.46	12.71	63.20	82.80	90.65	99.50	99.70	1091.38	826.28	131	337.00	1266.50	1850.00	1851	58.90	44.59	7.07	18.19	68.35	99.84	99.89
DTX-comp_CS10-B-G67-Map7_reversed	1858	9695	12	4	12	4	89.95	7.21	79.20	85.00	89.35	98.30	99.60	807.92	794.79	29	174.00	523.00	1855.00	1856	43.48	42.78	1.56	9.36	28.15	99.84	99.89
DTX-comp_CS10-B-G74-Map20	1866	17118	12	9	11	9	94.50	6.05	82.13	87.10	97.70	98.60	99.50	1556.18	666.17	67	1852.00	1854.00	1855.00	1856	83.40	35.70	3.59	99.25	99.36	99.41	99.46
DTX-comp_CS10-B-G81-Map12	2134	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_CS10-B-G88-Map13	2683	9736	13	0	11	0	83.50	9.19	66.10	84.50	85.80	86.90	96.80	885.09	759.38	93	187.00	665.00	1804.00	2223	32.99	28.30	3.47	6.97	24.79	67.24	82.86
DTX-comp_CS10-B-P10.35-Map6	1605	3181	2	2	2	2	91.50	10.89	83.80	83.80	91.50	99.20	99.20	1590.50	13.44	1581	1581.00	1590.50	1600.00	1600	99.10	0.84	98.50	98.50	99.10	99.69	99.69
DTX-comp_CS10-B-P11.13-Map5	1864	3399	6	1	6	1	89.97	4.34	84.20	86.60	89.95	93.50	95.60	566.50	680.78	29	72.00	378.50	677.00	1864	30.39	36.52	1.56	3.86	20.31	36.32	100.00
DTX-comp_CS10-B-P21.26-Map14	2122	2812	5	1	5	1	83.38	11.13	70.80	73.40	84.30	93.00	95.40	562.40	841.46	92	107.00	160.00	402.00	2051	26.50	39.65	4.34	5.04	7.54	18.94	96.65
DTX-comp_CS10-B-P29.22-Map3_reversed	1852	1188	3	0	3	0	78.23	5.46	74.00	74.00	76.30	84.40	84.40	396.00	132.98	270	270.00	383.00	535.00	535	21.38	7.18	14.58	14.58	20.68	28.89	28.89
DTX-comp_CS10-B-P30.21-Map8_reversed	1496	10176	12	5	11	5	91.34	8.26	72.90	86.50	95.40	97.80	99.40	925.09	603.19	21	323.00	900.00	1491.00	1499	61.84	40.32	1.40	21.59	60.16	99.67	100.20
