TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G138-Map19_reversed	6578	513	6	0	6	0	80.98	3.63	76.70	77.90	80.40	85.10	85.40	85.50	25.59	40	73.00	94.50	99.00	112	1.30	0.39	0.61	1.11	1.44	1.51	1.70
DHX-incomp_CS10-B-G139-Map20	6718	733	7	0	7	0	78.24	3.62	73.40	75.80	77.80	79.40	85.10	104.71	18.01	73	93.00	109.00	117.00	128	1.56	0.27	1.09	1.38	1.62	1.74	1.91
DHX-incomp_CS10-B-G140-Map5_reversed	5735	674	5	0	5	0	78.52	2.49	75.90	77.20	77.40	80.00	82.10	134.80	113.19	78	82.00	83.00	94.00	337	2.35	1.97	1.36	1.43	1.45	1.64	5.88
DHX-incomp_CS10-B-G145-Map3_reversed	6579	93	1	0	1	0	79.00	0.00	79.00	79.00	79.00	79.00	79.00	93.00	0.00	93	93.00	93.00	93.00	93	1.41	0.00	1.41	1.41	1.41	1.41	1.41
DHX-incomp_CS10-B-G22-Map20_reversed	7636	1528	11	0	11	0	84.42	13.58	62.40	71.90	81.80	98.50	100.00	138.91	102.85	31	60.00	154.00	177.00	396	1.82	1.35	0.41	0.79	2.02	2.32	5.19
DHX-incomp_CS10_RS_12	7347	250	3	0	3	0	67.20	7.07	61.20	61.20	65.40	75.00	75.00	83.33	27.39	59	59.00	78.00	113.00	113	1.13	0.37	0.80	0.80	1.06	1.54	1.54
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	992	10	0	10	0	78.30	5.97	73.20	73.80	76.95	79.50	93.30	99.20	41.50	30	73.00	93.50	133.00	161	7.96	3.33	2.41	5.86	7.50	10.67	12.92
DMX-incomp_SN15_SOL-B-R31-Map20	23505	102	1	0	1	0	75.70	0.00	75.70	75.70	75.70	75.70	75.70	102.00	0.00	102	102.00	102.00	102.00	102	0.43	0.00	0.43	0.43	0.43	0.43	0.43
DMX-incomp_SN4-B-R24-Map20	14733	16734	2	1	2	1	86.80	7.50	81.50	81.50	86.80	92.10	92.10	8367.00	9982.93	1308	1308.00	8367.00	15426.00	15426	56.79	67.76	8.88	8.88	56.79	104.70	104.70
DTX-comp-chim_Ptr_1CBFP-B-G241-Map3_reversed	8160	112	2	0	2	0	91.80	1.27	90.90	90.90	91.80	92.70	92.70	56.00	16.97	44	44.00	56.00	68.00	68	0.69	0.21	0.54	0.54	0.69	0.83	0.83
DTX-comp-chim_Ptr_1CBFP-L-B152-Map1	3195	68	1	0	1	0	92.70	0.00	92.70	92.70	92.70	92.70	92.70	68.00	0.00	68	68.00	68.00	68.00	68	2.13	0.00	2.13	2.13	2.13	2.13	2.13
DTX-comp_CS10-B-G50-Map6	1879	1541	2	0	1	0	58.27	0.00	58.27	58.27	58.27	58.27	58.27	1541.00	0.00	1541	1541.00	1541.00	1541.00	1541	82.01	0.00	82.01	82.01	82.01	82.01	82.01
DTX-comp_CS10-B-G67-Map7_reversed	1858	206	1	0	1	0	72.60	0.00	72.60	72.60	72.60	72.60	72.60	206.00	0.00	206	206.00	206.00	206.00	206	11.09	0.00	11.09	11.09	11.09	11.09	11.09
DTX-comp_CS10-B-P35.17-Map20	2162	35	1	0	1	0	88.60	0.00	88.60	88.60	88.60	88.60	88.60	35.00	0.00	35	35.00	35.00	35.00	35	1.62	0.00	1.62	1.62	1.62	1.62	1.62
DTX-comp_CS10_RS_00	14080	1448	6	0	6	0	77.87	9.25	68.50	72.70	74.35	83.50	93.80	241.33	161.78	100	107.00	217.00	269.00	538	1.71	1.15	0.71	0.76	1.54	1.91	3.82
DTX-comp_CS10_RS_49	1849	370	1	0	1	0	70.10	0.00	70.10	70.10	70.10	70.10	70.10	370.00	0.00	370	370.00	370.00	370.00	370	20.01	0.00	20.01	20.01	20.01	20.01	20.01
DTX-comp_Ptr_1CBFP-B-G144-Map3	3133	367	1	0	1	0	87.30	0.00	87.30	87.30	87.30	87.30	87.30	367.00	0.00	367	367.00	367.00	367.00	367	11.71	0.00	11.71	11.71	11.71	11.71	11.71
DTX-comp_Ptr_1CBFP-B-G36-Map7_reversed	2121	693	1	0	1	0	72.80	0.00	72.80	72.80	72.80	72.80	72.80	693.00	0.00	693	693.00	693.00	693.00	693	32.67	0.00	32.67	32.67	32.67	32.67	32.67
DTX-comp_Ptr_1CBFP-B-G40-Map9_reversed	1948	809	4	0	4	0	77.82	6.76	69.30	75.50	79.20	83.60	83.60	202.25	136.92	87	140.00	161.50	399.00	399	10.38	7.03	4.47	7.19	8.29	20.48	20.48
DTX-comp_Ptr_1CBFP-B-G55-Map12	2153	982	1	0	1	0	74.30	0.00	74.30	74.30	74.30	74.30	74.30	982.00	0.00	982	982.00	982.00	982.00	982	45.61	0.00	45.61	45.61	45.61	45.61	45.61
DTX-comp_Ptr_1CBFP-B-G58-Map5	1849	844	2	0	2	0	73.95	1.20	73.10	73.10	73.95	74.80	74.80	422.00	190.92	287	287.00	422.00	557.00	557	22.82	10.33	15.52	15.52	22.82	30.12	30.12
DTX-comp_Ptr_1CBFP-B-G66-Map20_reversed	1890	159	1	0	1	0	72.80	0.00	72.80	72.80	72.80	72.80	72.80	159.00	0.00	159	159.00	159.00	159.00	159	8.41	0.00	8.41	8.41	8.41	8.41	8.41
DTX-comp_Ptr_1CBFP-B-G84-Map3_reversed	2103	62	1	0	1	0	79.70	0.00	79.70	79.70	79.70	79.70	79.70	62.00	0.00	62	62.00	62.00	62.00	62	2.95	0.00	2.95	2.95	2.95	2.95	2.95
DTX-comp_Ptr_1CBFP-B-G89-Map6	2102	1660	2	0	2	0	82.30	14.99	71.70	71.70	82.30	92.90	92.90	830.00	1134.20	28	28.00	830.00	1632.00	1632	39.49	53.96	1.33	1.33	39.49	77.64	77.64
DTX-comp_Ptr_1CBFP-B-G90-Map7_reversed	2114	421	2	0	2	0	85.70	9.90	78.70	78.70	85.70	92.70	92.70	210.50	201.53	68	68.00	210.50	353.00	353	9.96	9.53	3.22	3.22	9.96	16.70	16.70
DTX-comp_Ptr_1CBFP-B-G94-Map14	2123	314	2	0	2	0	77.55	5.87	73.40	73.40	77.55	81.70	81.70	157.00	67.88	109	109.00	157.00	205.00	205	7.40	3.20	5.13	5.13	7.40	9.66	9.66
DTX-comp_Ptr_1CBFP-B-P34.3-Map13_reversed	2124	1016	4	0	3	0	81.31	16.31	62.63	62.63	88.60	92.70	92.70	338.67	489.74	44	44.00	68.00	904.00	904	15.94	23.06	2.07	2.07	3.20	42.56	42.56
DTX-comp_Ptr_1CBFP-B-R16-Map5	1871	323	2	0	2	0	83.25	0.49	82.90	82.90	83.25	83.60	83.60	161.50	30.41	140	140.00	161.50	183.00	183	8.63	1.63	7.48	7.48	8.63	9.78	9.78
DTX-comp_Ptr_1CBFP-B-R219-Map3	2142	207	1	0	1	0	63.10	0.00	63.10	63.10	63.10	63.10	63.10	207.00	0.00	207	207.00	207.00	207.00	207	9.66	0.00	9.66	9.66	9.66	9.66	9.66
DTX-comp_Ptr_1CBFP-B-R60-Map20_reversed	2127	2197	3	1	3	1	79.83	18.53	58.60	58.60	88.20	92.70	92.70	732.33	1156.73	61	61.00	68.00	2068.00	2068	34.43	54.38	2.87	2.87	3.20	97.23	97.23
DTX-comp_Ptr_1CBFP-B-R88-Map16	3021	96	2	0	2	0	70.90	12.16	62.30	62.30	70.90	79.50	79.50	48.00	36.77	22	22.00	48.00	74.00	74	1.59	1.22	0.73	0.73	1.59	2.45	2.45
DTX-comp_SN4-B-G57-Map8	1855	23	1	0	1	0	57.70	0.00	57.70	57.70	57.70	57.70	57.70	23.00	0.00	23	23.00	23.00	23.00	23	1.24	0.00	1.24	1.24	1.24	1.24	1.24
DTX-comp_SN4-B-P6.1-Map3	1293	121	3	0	3	0	94.17	10.10	82.50	82.50	100.00	100.00	100.00	40.33	19.30	25	25.00	34.00	62.00	62	3.12	1.49	1.93	1.93	2.63	4.80	4.80
DTX-comp_SN4-B-R50-Map10	1845	30	1	0	1	0	66.20	0.00	66.20	66.20	66.20	66.20	66.20	30.00	0.00	30	30.00	30.00	30.00	30	1.63	0.00	1.63	1.63	1.63	1.63	1.63
DTX-comp_SN4_RS_28_reversed	2112	4195	3	1	2	2	92.57	0.18	92.44	92.44	92.57	92.70	92.70	2097.50	19.09	2084	2084.00	2097.50	2111.00	2111	99.31	0.90	98.67	98.67	99.31	99.95	99.95
DTX-comp_SN79_1087-B-G26-Map7_reversed	1862	1850	1	1	1	1	93.80	0.00	93.80	93.80	93.80	93.80	93.80	1850.00	0.00	1850	1850.00	1850.00	1850.00	1850	99.36	0.00	99.36	99.36	99.36	99.36	99.36
DTX-comp_SN79_1087-B-G30-Map10_reversed	1874	1866	1	1	1	1	93.60	0.00	93.60	93.60	93.60	93.60	93.60	1866.00	0.00	1866	1866.00	1866.00	1866.00	1866	99.57	0.00	99.57	99.57	99.57	99.57	99.57
DTX-comp_SN79_1087-B-R15-Map17_reversed	1854	1844	1	1	1	1	94.50	0.00	94.50	94.50	94.50	94.50	94.50	1844.00	0.00	1844	1844.00	1844.00	1844.00	1844	99.46	0.00	99.46	99.46	99.46	99.46	99.46
