TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-comp_SN4-B-P4.3-Map3_reversed	6846	22421	11	1	9	2	86.17	7.24	70.80	82.90	87.50	91.60	92.40	2491.22	2996.88	46	134.00	252.00	5237.00	6848	36.39	43.78	0.67	1.96	3.68	76.50	100.03
DHX-incomp_SN2000-B-G180-Map3	13100	32613	5	1	5	1	93.42	0.72	92.40	93.00	93.70	93.80	94.20	6522.60	4529.10	1795	3133.00	5830.00	8815.00	13040	49.79	34.57	13.70	23.92	44.50	67.29	99.54
DMX-incomp_SN15_SOL-B-R31-Map20	23505	737844	50	25	45	25	91.47	3.86	82.00	91.00	92.80	93.60	96.90	16396.53	9315.11	81	7013.00	23023.00	23486.00	23600	69.76	39.63	0.34	29.84	97.95	99.92	100.40
DMX-incomp_SN4-B-R24-Map20	14733	54380	13	0	8	1	90.25	9.34	68.00	93.91	94.20	94.80	95.00	6798.25	5474.25	736	2044.00	6056.50	11884.00	14940	46.14	37.16	5.00	13.87	41.11	80.66	101.41
DTX-comp_Ptr_1CBFP-B-R60-Map20_reversed	2127	2136	2	1	2	1	90.50	3.11	88.30	88.30	90.50	92.70	92.70	1068.00	1414.21	68	68.00	1068.00	2068.00	2068	50.21	66.49	3.20	3.20	50.21	97.23	97.23
DTX-comp_SN15_SOL-B-G47-Map7_reversed	2114	11126	13	4	11	4	87.83	10.18	67.31	77.50	93.20	96.20	96.70	1011.45	919.96	92	114.00	599.00	2111.00	2120	47.85	43.52	4.35	5.39	28.33	99.86	100.28
DTX-comp_SN4-B-P6.1-Map3	1293	3971	7	2	7	2	91.09	4.84	85.70	86.40	91.90	95.80	97.10	567.29	634.53	34	48.00	96.00	1245.00	1293	43.87	49.07	2.63	3.71	7.42	96.29	100.00
DTX-comp_SN4_RS_28_reversed	2112	13526	10	3	9	4	88.53	9.52	69.20	92.30	92.91	93.70	94.20	1502.89	805.84	61	901.00	1981.00	2111.00	2123	71.16	38.16	2.89	42.66	93.80	99.95	100.52
DTX-incomp-chim_SN15_SOL-L-B13-Map1_reversed	18062	67846	13	2	12	2	84.99	9.90	63.20	80.10	87.50	91.90	100.00	5653.92	6960.91	118	771.00	2238.50	14595.00	18062	31.30	38.54	0.65	4.27	12.39	80.81	100.00
DTX-incomp-chim_SN15_SOL-L-B18-Map1	15739	34186	13	1	9	1	80.94	12.29	69.20	69.30	76.70	92.00	100.00	3798.44	4938.88	37	256.00	1918.00	4692.00	15739	24.13	31.38	0.24	1.63	12.19	29.81	100.00
DTX-incomp-chim_SN15_SOL-L-B19-Map1_reversed	15719	33818	6	1	6	1	78.20	11.97	67.40	69.10	75.00	82.70	100.00	5636.33	6861.28	33	60.00	2862.00	12282.00	15719	35.86	43.65	0.21	0.38	18.21	78.13	100.00
DTX-incomp-chim_SN15_SOL-L-B27-Map1_reversed	13684	45090	12	1	10	1	80.06	12.29	61.80	71.20	75.75	91.20	100.00	4509.00	5017.20	122	270.00	3075.50	6771.00	13684	32.95	36.66	0.89	1.97	22.48	49.48	100.00
DTX-incomp-chim_SN15_SOL-L-B29-Map1_reversed	12709	20140	13	1	9	1	86.88	9.44	74.89	78.30	88.60	92.27	100.00	2237.78	4056.56	23	329.00	574.00	1887.00	12709	17.61	31.92	0.18	2.59	4.52	14.85	100.00
DTX-incomp-chim_SN15_SOL-L-B32-Map1_reversed	11358	13079	7	1	7	1	85.57	9.62	69.20	81.40	84.60	91.40	100.00	1868.43	4194.13	60	112.00	262.00	897.00	11358	16.45	36.93	0.53	0.99	2.31	7.90	100.00
DTX-incomp-chim_SN15_SOL-L-B71-Map1_reversed	7006	11873	10	1	8	1	87.20	8.44	69.70	85.40	88.93	89.80	100.00	1490.88	2324.46	155	279.00	424.50	1775.00	7006	21.28	33.18	2.21	3.98	6.06	25.34	100.00
