TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-1_ADi:ClassII:?:Academ	9022	387	2	0	2	0	41.86	13.15	32.56	32.56	41.86	51.16	51.16	193.50	91.22	129	129.00	193.50	258.00	258	2.14	1.01	1.43	1.43	2.14	2.86	2.86
Academ-2_ADi:ClassII:?:Academ	6141	759	5	0	4	0	36.52	4.74	29.79	37.58	37.68	40.91	40.91	189.75	177.59	39	132.00	136.50	447.00	447	3.09	2.89	0.64	2.15	2.22	7.28	7.28
Academ-3_ADi:ClassII:?:Academ	7151	459	3	0	3	0	38.83	4.09	35.56	35.56	37.50	43.42	43.42	153.00	67.82	96	96.00	135.00	228.00	228	2.14	0.95	1.34	1.34	1.89	3.19	3.19
AFLAV_I:ClassI:LTR:Gypsy	6839	258	3	0	3	0	38.20	10.36	30.61	30.61	34.00	50.00	50.00	86.00	53.86	45	45.00	66.00	147.00	147	1.26	0.79	0.66	0.66	0.97	2.15	2.15
AFUT1_#2:ClassI:LTR:Gypsy	6914	4519	26	0	24	0	44.12	10.19	27.37	36.00	42.83	54.54	60.00	188.29	148.62	24	81.00	144.00	288.00	543	2.72	2.15	0.35	1.17	2.08	4.17	7.85
Ag-Jen-1:ClassI:LINE:Jockey	4320	60	1	0	1	0	55.00	0.00	55.00	55.00	55.00	55.00	55.00	60.00	0.00	60	60.00	60.00	60.00	60	1.39	0.00	1.39	1.39	1.39	1.39	1.39
ATCOPIA13I:ClassI:LTR:Copia	4598	123	1	0	1	0	36.58	0.00	36.58	36.58	36.58	36.58	36.58	123.00	0.00	123	123.00	123.00	123.00	123	2.68	0.00	2.68	2.68	2.68	2.68	2.68
ATCOPIA18A_I:ClassI:LTR:Copia	5050	154	2	0	2	0	29.56	2.52	27.78	27.78	29.56	31.34	31.34	77.00	49.50	42	42.00	77.00	112.00	112	1.52	0.98	0.83	0.83	1.52	2.22	2.22
ATCOPIA18I:ClassI:LTR:Copia	2144	177	1	0	1	0	22.03	0.00	22.03	22.03	22.03	22.03	22.03	177.00	0.00	177	177.00	177.00	177.00	177	8.26	0.00	8.26	8.26	8.26	8.26	8.26
ATCOPIA36_I:ClassI:LTR:Copia	4180	99	1	0	1	0	36.36	0.00	36.36	36.36	36.36	36.36	36.36	99.00	0.00	99	99.00	99.00	99.00	99	2.37	0.00	2.37	2.37	2.37	2.37	2.37
ATCOPIA38_I:ClassI:LTR:Copia	4490	96	1	0	1	0	46.88	0.00	46.88	46.88	46.88	46.88	46.88	96.00	0.00	96	96.00	96.00	96.00	96	2.14	0.00	2.14	2.14	2.14	2.14	2.14
ATCOPIA44_I:ClassI:LTR:Copia	4190	63	1	0	1	0	33.33	0.00	33.33	33.33	33.33	33.33	33.33	63.00	0.00	63	63.00	63.00	63.00	63	1.50	0.00	1.50	1.50	1.50	1.50	1.50
ATCOPIA81_I:ClassI:LTR:Copia	4502	99	1	0	1	0	42.42	0.00	42.42	42.42	42.42	42.42	42.42	99.00	0.00	99	99.00	99.00	99.00	99	2.20	0.00	2.20	2.20	2.20	2.20	2.20
ATCOPIA93_I:ClassI:LTR:Copia	4550	264	4	0	4	0	38.63	2.63	36.36	36.36	38.63	40.91	40.91	66.00	0.00	66	66.00	66.00	66.00	66	1.45	0.00	1.45	1.45	1.45	1.45	1.45
ATCOPIA95_I:ClassI:LTR:Copia	5139	57	1	0	1	0	45.83	0.00	45.83	45.83	45.83	45.83	45.83	57.00	0.00	57	57.00	57.00	57.00	57	1.11	0.00	1.11	1.11	1.11	1.11	1.11
BAGY1_HV_I:ClassI:LTR:Gypsy	6010	30	1	0	1	0	35.71	0.00	35.71	35.71	35.71	35.71	35.71	30.00	0.00	30	30.00	30.00	30.00	30	0.50	0.00	0.50	0.50	0.50	0.50	0.50
BCBOTYPOL:ClassI:LTR:Gypsy	1224	27	1	0	1	0	35.79	0.00	35.79	35.79	35.79	35.79	35.79	27.00	0.00	27	27.00	27.00	27.00	27	2.21	0.00	2.21	2.21	2.21	2.21	2.21
BEL1-I_SM:ClassI:LTR:Bel-Pao	5685	264	2	0	1	0	57.95	0.00	57.95	57.95	57.95	57.95	57.95	264.00	0.00	264	264.00	264.00	264.00	264	4.64	0.00	4.64	4.64	4.64	4.64	4.64
BOTY_I:ClassI:LTR:Gypsy	5464	3900	14	0	14	0	36.54	3.12	32.80	34.03	35.27	38.89	42.71	278.57	145.84	27	156.00	288.00	396.00	468	5.10	2.67	0.49	2.86	5.27	7.25	8.57
CFT1:ClassI:LTR:Gypsy	6112	462	7	0	7	0	36.75	7.12	27.59	29.31	40.51	43.70	43.70	66.00	22.65	21	63.00	63.00	87.00	87	1.08	0.37	0.34	1.03	1.03	1.42	1.42
COP12_I_MT:ClassI:LTR:Copia	4046	117	1	0	1	0	28.20	0.00	28.20	28.20	28.20	28.20	28.20	117.00	0.00	117	117.00	117.00	117.00	117	2.89	0.00	2.89	2.89	2.89	2.89	2.89
COP18_I_MT_#2:ClassI:LTR:Copia	4117	51	1	0	1	0	28.00	0.00	28.00	28.00	28.00	28.00	28.00	51.00	0.00	51	51.00	51.00	51.00	51	1.24	0.00	1.24	1.24	1.24	1.24	1.24
COP2_I_MT:ClassI:LTR:Copia	6302	135	1	0	1	0	33.33	0.00	33.33	33.33	33.33	33.33	33.33	135.00	0.00	135	135.00	135.00	135.00	135	2.14	0.00	2.14	2.14	2.14	2.14	2.14
