TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G138-Map19_reversed	6578	6785	14	0	14	0	80.54	8.02	64.80	78.70	80.90	83.90	92.70	484.64	1425.14	34	56.00	70.00	214.00	5429	7.37	21.67	0.52	0.85	1.06	3.25	82.53
DHX-incomp_CS10-B-G139-Map20	6718	27718	35	1	33	2	82.45	8.36	64.20	77.00	81.80	89.42	99.70	839.94	1960.84	31	70.00	105.00	143.00	6737	12.50	29.19	0.46	1.04	1.56	2.13	100.28
DHX-incomp_CS10-B-G140-Map5_reversed	5735	5994	11	0	11	0	80.77	9.34	65.50	73.50	78.10	87.20	95.50	544.91	1456.76	22	59.00	113.00	142.00	4933	9.50	25.40	0.38	1.03	1.97	2.48	86.02
DHX-incomp_CS10-B-G145-Map3_reversed	6579	20729	16	2	12	2	90.55	10.01	65.50	83.70	95.54	97.30	99.70	1728.25	2574.21	116	255.00	292.00	4353.00	6647	26.27	39.13	1.76	3.88	4.44	66.17	101.03
DHX-incomp_CS10-B-G22-Map20_reversed	7636	2918	7	0	7	0	79.91	9.23	65.50	73.80	77.80	88.30	93.00	416.86	561.21	73	133.00	173.00	501.00	1649	5.46	7.35	0.96	1.74	2.27	6.56	21.60
DHX-incomp_CS10-L-B47-Map1	8633	7715	10	0	9	0	88.80	9.87	65.10	86.49	92.70	95.50	96.30	862.89	1533.47	34	246.00	306.00	764.00	4883	10.00	17.76	0.39	2.85	3.54	8.85	56.56
DHX-incomp_CS10_RS_12	7347	4115	28	0	27	0	79.20	5.74	65.10	75.40	79.30	82.90	92.70	152.41	162.33	34	80.00	111.00	179.00	895	2.07	2.21	0.46	1.09	1.51	2.44	12.18
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	499	4	0	4	0	76.05	1.98	74.80	75.00	75.20	79.00	79.00	124.75	64.97	72	91.00	104.50	218.00	218	10.01	5.21	5.78	7.30	8.39	17.50	17.50
DTX-comp_CS10-B-G109-Map8_reversed	3403	10255	6	3	5	3	96.48	3.42	90.90	96.50	96.80	98.22	100.00	2060.20	1839.62	44	46.00	3402.00	3404.00	3405	60.54	54.06	1.29	1.35	99.97	100.03	100.06
DTX-comp_CS10-B-G114-Map4	3744	18364	9	4	9	4	81.78	9.08	65.90	75.50	84.00	88.70	92.20	2040.44	1836.39	21	47.00	3151.00	3685.00	3697	54.50	49.05	0.56	1.26	84.16	98.42	98.74
