TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-1_ADi_2p:ClassII:?:Academ	624	171	1	0	1	0	26.88	0.00	26.88	26.88	26.88	26.88	26.88	171.00	0.00	171	171.00	171.00	171.00	171	27.40	0.00	27.40	27.40	27.40	27.40	27.40
Academ-2_CGi_2p:ClassII:?:Academ	456	30	1	0	1	0	28.93	0.00	28.93	28.93	28.93	28.93	28.93	30.00	0.00	30	30.00	30.00	30.00	30	6.58	0.00	6.58	6.58	6.58	6.58	6.58
AFLAV_I_1p:ClassI:LTR:Gypsy	240	21	1	0	1	0	28.13	0.00	28.13	28.13	28.13	28.13	28.13	21.00	0.00	21	21.00	21.00	21.00	21	8.75	0.00	8.75	8.75	8.75	8.75	8.75
AFLAV_I_2p:ClassI:LTR:Gypsy	1726	251	7	0	7	0	38.77	6.17	30.23	34.05	39.72	43.24	48.59	35.86	10.62	22	30.00	33.00	40.00	56	2.08	0.62	1.27	1.74	1.91	2.32	3.24
ATCOPIA56p:ClassI:LTR:Copia	1358	114	1	0	1	0	25.59	0.00	25.59	25.59	25.59	25.59	25.59	114.00	0.00	114	114.00	114.00	114.00	114	8.39	0.00	8.39	8.39	8.39	8.39	8.39
ATCOPIA78p:ClassI:LTR:Copia	1352	147	2	0	2	0	38.01	1.34	37.06	37.06	38.01	38.96	38.96	73.50	23.33	57	57.00	73.50	90.00	90	5.44	1.73	4.22	4.22	5.44	6.66	6.66
BEL1-I_SM_1p:ClassI:LTR:Bel-Pao	1817	222	2	0	1	0	67.57	0.00	67.57	67.57	67.57	67.57	67.57	222.00	0.00	222	222.00	222.00	222.00	222	12.22	0.00	12.22	12.22	12.22	12.22	12.22
BOTY_I_1p:ClassI:LTR:Gypsy	1618	718	14	0	14	0	34.06	5.07	27.74	29.30	34.61	36.77	43.59	51.29	28.98	21	24.00	45.50	69.00	109	3.17	1.79	1.30	1.48	2.81	4.26	6.74
CFT1_2p:ClassI:LTR:Gypsy	969	411	6	0	6	0	33.26	5.45	27.60	28.38	32.79	36.19	41.81	68.50	60.65	24	25.00	53.50	69.00	186	7.07	6.26	2.48	2.58	5.52	7.12	19.20
CGT1_2p:ClassI:?:?	517	893	3	0	3	0	35.75	3.41	33.63	33.63	33.94	39.68	39.68	297.67	216.28	63	63.00	341.00	489.00	489	57.58	41.83	12.19	12.19	65.96	94.58	94.58
Cirt1ORF:ClassII:TIR:Tc1-Mariner	527	297	8	0	8	0	28.44	1.89	27.16	27.44	27.91	28.54	32.96	37.12	14.32	27	32.00	33.00	36.00	72	7.04	2.72	5.12	6.07	6.26	6.83	13.66
Cirt2ORF:ClassII:TIR:Tc1-Mariner	517	33	1	0	1	0	30.30	0.00	30.30	30.30	30.30	30.30	30.30	33.00	0.00	33	33.00	33.00	33.00	33	6.38	0.00	6.38	6.38	6.38	6.38	6.38
COP12_I_MT_1p#2:ClassI:LTR:Copia	1323	42	1	0	1	0	24.19	0.00	24.19	24.19	24.19	24.19	24.19	42.00	0.00	42	42.00	42.00	42.00	42	3.17	0.00	3.17	3.17	3.17	3.17	3.17
Copia-100_Mad-I_1p:ClassI:LTR:Copia	648	121	1	0	1	0	29.69	0.00	29.69	29.69	29.69	29.69	29.69	121.00	0.00	121	121.00	121.00	121.00	121	18.67	0.00	18.67	18.67	18.67	18.67	18.67
Copia-100_SB-I_1p:ClassI:LTR:Copia	1125	153	2	0	1	0	39.31	0.00	39.31	39.31	39.31	39.31	39.31	178.00	0.00	178	178.00	178.00	178.00	178	15.82	0.00	15.82	15.82	15.82	15.82	15.82
Copia-102_AA-I_1p:ClassI:LTR:Copia	1343	24	1	0	1	0	29.17	0.00	29.17	29.17	29.17	29.17	29.17	24.00	0.00	24	24.00	24.00	24.00	24	1.79	0.00	1.79	1.79	1.79	1.79	1.79
Copia-103_AA-I_1p:ClassI:LTR:Copia	1681	177	1	0	1	0	40.68	0.00	40.68	40.68	40.68	40.68	40.68	177.00	0.00	177	177.00	177.00	177.00	177	10.53	0.00	10.53	10.53	10.53	10.53	10.53
