TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Copia-1_VA-I_1p:ClassI:LTR:Copia	608	45675	40	2	40	2	34.21	3.85	29.60	30.26	32.97	38.23	42.25	1141.88	363.71	282	786.00	1339.50	1383.00	1569	187.81	59.82	46.38	129.28	220.31	227.47	258.06
Copia-69_BG-I_1p:ClassI:LTR:Copia	1517	2088	8	1	8	1	27.32	3.40	24.64	24.70	26.52	30.00	34.42	261.00	539.52	21	48.00	60.00	183.00	1590	17.21	35.56	1.38	3.16	3.96	12.06	104.81
Copia-6_BG-I_1p:ClassI:LTR:Copia	1507	1923	3	1	3	1	33.53	4.03	28.90	28.90	35.39	36.29	36.29	641.00	814.15	159	159.00	183.00	1581.00	1581	42.53	54.02	10.55	10.55	12.14	104.91	104.91
CryptonC-5_CCri_1p:ClassII:Crypton:Crypton	635	648	1	1	1	1	27.19	0.00	27.19	27.19	27.19	27.19	27.19	648.00	0.00	648	648.00	648.00	648.00	648	102.05	0.00	102.05	102.05	102.05	102.05	102.05
DNA-21_CCri_1p:ClassII:?:?	1383	5136	5	1	5	1	26.63	2.88	22.22	26.15	26.38	28.92	29.49	1027.20	234.98	780	870.00	942.00	1209.00	1335	74.27	16.99	56.40	62.91	68.11	87.42	96.53
EnSpm-13_CCri_2p:ClassII:TIR:CACTA	621	1539	4	0	3	1	37.74	4.19	33.33	33.33	38.23	41.67	41.67	513.00	84.16	432	432.00	507.00	600.00	600	82.61	13.55	69.57	69.57	81.64	96.62	96.62
EnSpm-2_PGr_1p:ClassII:TIR:CACTA	500	8019	17	3	16	2	32.38	4.95	26.05	29.83	31.15	34.29	45.65	501.19	137.51	360	402.00	483.00	588.00	894	100.24	27.50	72.00	80.40	96.60	117.60	178.80
Gypsy-1-I_ACa_2p:ClassI:LTR:Gypsy	1242	12885	17	3	17	3	34.98	5.51	27.75	31.36	33.80	39.35	48.25	757.94	436.23	129	372.00	672.00	1230.00	1413	61.03	35.12	10.39	29.95	54.11	99.03	113.77
Gypsy-1_BFB-I_3p:ClassI:LTR:Gypsy	1149	10713	10	2	10	2	33.44	2.52	27.83	33.26	33.45	34.75	37.40	1071.30	338.37	567	774.00	1123.50	1395.00	1485	93.24	29.45	49.35	67.36	97.78	121.41	129.24
Gypsy-1_CH_1p:ClassI:LTR:Gypsy	645	6717	10	1	9	2	34.80	1.25	32.84	33.96	34.96	35.22	37.13	746.33	149.01	606	606.00	666.00	933.00	933	115.71	23.10	93.95	93.95	103.26	144.65	144.65
Gypsy-1_CH_2p:ClassI:LTR:Gypsy	1221	19554	20	0	16	1	44.13	3.70	32.78	42.88	45.69	46.36	49.06	1222.12	921.89	30	489.00	1047.00	1803.00	3327	100.09	75.50	2.46	40.05	85.75	147.67	272.48
Gypsy-46_BG-I_1p:ClassI:LTR:Gypsy	1130	5499	6	2	6	2	36.99	0.98	35.62	36.26	36.98	37.77	38.32	916.50	390.65	348	498.00	1090.50	1236.00	1236	81.11	34.57	30.80	44.07	96.50	109.38	109.38
Gypsy-74_BG-I_2p:ClassI:LTR:Gypsy	1244	4527	5	1	5	1	39.45	2.39	37.54	37.76	39.01	39.48	43.48	905.40	338.48	546	552.00	1011.00	1143.00	1275	72.78	27.21	43.89	44.37	81.27	91.88	102.49
Gypsy2-I_AO-2p:ClassI:LTR:Gypsy	1246	5310	8	1	8	1	40.36	3.17	35.27	39.75	40.79	43.79	44.19	663.75	265.28	459	528.00	562.50	774.00	1269	53.27	21.29	36.84	42.38	45.14	62.12	101.85
KolobokH-1A_RIr_1p:ClassII:?:Kolobok	1379	1371	1	1	1	1	29.33	0.00	29.33	29.33	29.33	29.33	29.33	1371.00	0.00	1371	1371.00	1371.00	1371.00	1371	99.42	0.00	99.42	99.42	99.42	99.42	99.42
KolobokH-1_RIr_1p:ClassII:?:Kolobok	1371	2577	2	1	2	1	28.33	4.85	24.90	24.90	28.33	31.76	31.76	1288.50	103.94	1215	1215.00	1288.50	1362.00	1362	93.98	7.58	88.62	88.62	93.98	99.34	99.34
Mariner-5_SS_1p:ClassII:TIR:Tc1-Mariner	550	5007	9	1	9	1	29.84	2.54	27.73	27.83	29.36	30.79	35.77	556.33	487.63	21	21.00	573.00	768.00	1248	101.15	88.66	3.82	3.82	104.18	139.64	226.91
Mariner-7_SS_1p:ClassII:?:?	547	16863	28	2	28	2	29.32	2.32	26.57	27.85	28.95	30.24	38.76	602.25	482.22	54	153.00	520.50	1119.00	1425	110.10	88.16	9.87	27.97	95.16	204.57	260.51
Mariner-9_SS_1p:ClassII:?:?	551	4650	24	3	24	3	29.17	1.90	25.47	28.01	29.77	30.39	32.86	193.75	235.75	27	42.00	64.50	267.00	840	35.16	42.79	4.90	7.62	11.71	48.46	152.45
