TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Academ-1_ADi:ClassII:?:Academ	9022	387	2	0	2	0	42.44	12.33	33.72	33.72	42.44	51.16	51.16	193.50	91.22	129	129.00	193.50	258.00	258	2.14	1.01	1.43	1.43	2.14	2.86	2.86
Academ-2_ADi:ClassII:?:Academ	6141	915	5	0	4	0	38.22	6.32	29.79	37.58	39.24	44.62	44.62	228.75	148.14	132	141.00	168.00	447.00	447	3.72	2.41	2.15	2.30	2.74	7.28	7.28
Academ-3_ADi:ClassII:?:Academ	7151	387	3	0	3	0	42.94	11.15	35.56	35.56	37.50	55.77	55.77	129.00	30.45	96	96.00	135.00	156.00	156	1.80	0.43	1.34	1.34	1.89	2.18	2.18
ACCORD2_I:ClassI:LTR:Gypsy	7212	147	1	0	1	0	34.69	0.00	34.69	34.69	34.69	34.69	34.69	147.00	0.00	147	147.00	147.00	147.00	147	2.04	0.00	2.04	2.04	2.04	2.04	2.04
AFLAV_I:ClassI:LTR:Gypsy	6839	51	1	0	1	0	31.43	0.00	31.43	31.43	31.43	31.43	31.43	51.00	0.00	51	51.00	51.00	51.00	51	0.75	0.00	0.75	0.75	0.75	0.75	0.75
AFUT1_#2:ClassI:LTR:Gypsy	6914	1914	11	0	11	0	48.66	8.36	35.26	44.44	48.89	52.32	63.64	174.00	188.90	21	33.00	66.00	453.00	468	2.52	2.73	0.30	0.48	0.95	6.55	6.77
ATCOPIA10_I:ClassI:LTR:Copia	4220	66	1	0	1	0	40.91	0.00	40.91	40.91	40.91	40.91	40.91	66.00	0.00	66	66.00	66.00	66.00	66	1.56	0.00	1.56	1.56	1.56	1.56	1.56
ATCOPIA93_I:ClassI:LTR:Copia	4550	66	1	0	1	0	36.36	0.00	36.36	36.36	36.36	36.36	36.36	66.00	0.00	66	66.00	66.00	66.00	66	1.45	0.00	1.45	1.45	1.45	1.45	1.45
ATGP1I:ClassI:LTR:Gypsy	5977	99	1	0	1	0	39.39	0.00	39.39	39.39	39.39	39.39	39.39	99.00	0.00	99	99.00	99.00	99.00	99	1.66	0.00	1.66	1.66	1.66	1.66	1.66
ATGP6I:ClassI:LTR:Gypsy	3973	75	1	0	1	0	48.00	0.00	48.00	48.00	48.00	48.00	48.00	75.00	0.00	75	75.00	75.00	75.00	75	1.89	0.00	1.89	1.89	1.89	1.89	1.89
BEL1-I_SM:ClassI:LTR:Bel-Pao	5685	264	2	0	1	0	57.95	0.00	57.95	57.95	57.95	57.95	57.95	264.00	0.00	264	264.00	264.00	264.00	264	4.64	0.00	4.64	4.64	4.64	4.64	4.64
BOTY_I:ClassI:LTR:Gypsy	5464	762	2	0	2	0	34.24	0.53	33.87	33.87	34.24	34.62	34.62	381.00	12.73	372	372.00	381.00	390.00	390	6.97	0.23	6.81	6.81	6.97	7.14	7.14
CFT1:ClassI:LTR:Gypsy	6112	875	12	0	12	0	37.49	8.38	29.31	31.03	34.80	44.88	57.14	72.92	21.25	33	63.00	63.00	87.00	114	1.19	0.35	0.54	1.03	1.03	1.42	1.87
Copia-1-I_CCi:ClassI:LTR:Copia	5065	48	1	0	1	0	32.14	0.00	32.14	32.14	32.14	32.14	32.14	48.00	0.00	48	48.00	48.00	48.00	48	0.95	0.00	0.95	0.95	0.95	0.95	0.95
Copia-100_GM-I:ClassI:LTR:Copia	4396	126	1	0	1	0	30.95	0.00	30.95	30.95	30.95	30.95	30.95	126.00	0.00	126	126.00	126.00	126.00	126	2.87	0.00	2.87	2.87	2.87	2.87	2.87
Copia-109_AA-I:ClassI:LTR:Copia	4189	210	2	0	2	0	40.56	18.79	27.27	27.27	40.56	53.85	53.85	105.00	38.18	78	78.00	105.00	132.00	132	2.51	0.91	1.86	1.86	2.51	3.15	3.15
Copia-10_LH-I:ClassI:LTR:Copia	4156	102	1	0	1	0	29.11	0.00	29.11	29.11	29.11	29.11	29.11	102.00	0.00	102	102.00	102.00	102.00	102	2.45	0.00	2.45	2.45	2.45	2.45	2.45
Copia-110_SB-I:ClassI:LTR:Copia	4594	237	2	0	2	0	46.66	18.86	33.33	33.33	46.66	60.00	60.00	118.50	61.52	75	75.00	118.50	162.00	162	2.58	1.34	1.63	1.63	2.58	3.53	3.53
Copia-114_SB-I:ClassI:LTR:Copia	4412	93	1	0	1	0	41.94	0.00	41.94	41.94	41.94	41.94	41.94	93.00	0.00	93	93.00	93.00	93.00	93	2.11	0.00	2.11	2.11	2.11	2.11	2.11
Copia-11_GM-I:ClassI:LTR:Copia	4416	111	1	0	1	0	37.84	0.00	37.84	37.84	37.84	37.84	37.84	111.00	0.00	111	111.00	111.00	111.00	111	2.51	0.00	2.51	2.51	2.51	2.51	2.51
Copia-11_LMi-I:ClassI:LTR:Copia	4241	30	1	0	1	0	46.67	0.00	46.67	46.67	46.67	46.67	46.67	30.00	0.00	30	30.00	30.00	30.00	30	0.71	0.00	0.71	0.71	0.71	0.71	0.71
Copia-125_SB-I:ClassI:LTR:Copia	4504	87	1	0	1	0	37.93	0.00	37.93	37.93	37.93	37.93	37.93	87.00	0.00	87	87.00	87.00	87.00	87	1.93	0.00	1.93	1.93	1.93	1.93	1.93
Copia-129_AA-I:ClassI:LTR:Copia	4097	54	1	0	1	0	33.33	0.00	33.33	33.33	33.33	33.33	33.33	54.00	0.00	54	54.00	54.00	54.00	54	1.32	0.00	1.32	1.32	1.32	1.32	1.32
Copia-12_LH-I:ClassI:LTR:Copia	4029	120	1	0	1	0	62.50	0.00	62.50	62.50	62.50	62.50	62.50	120.00	0.00	120	120.00	120.00	120.00	120	2.98	0.00	2.98	2.98	2.98	2.98	2.98
Copia-12_PTrit-I:ClassI:LTR:Copia	4728	71	1	0	1	0	31.25	0.00	31.25	31.25	31.25	31.25	31.25	71.00	0.00	71	71.00	71.00	71.00	71	1.50	0.00	1.50	1.50	1.50	1.50	1.50
Copia-12_TMe-I:ClassI:LTR:Copia	4413	36	1	0	1	0	44.68	0.00	44.68	44.68	44.68	44.68	44.68	36.00	0.00	36	36.00	36.00	36.00	36	0.82	0.00	0.82	0.82	0.82	0.82	0.82
Copia-13_LU-I:ClassI:LTR:Copia	4319	138	1	0	1	0	28.26	0.00	28.26	28.26	28.26	28.26	28.26	138.00	0.00	138	138.00	138.00	138.00	138	3.20	0.00	3.20	3.20	3.20	3.20	3.20
Copia-143_CCri-I:ClassI:LTR:Copia	4272	76	1	0	1	0	34.21	0.00	34.21	34.21	34.21	34.21	34.21	76.00	0.00	76	76.00	76.00	76.00	76	1.78	0.00	1.78	1.78	1.78	1.78	1.78
Copia-14_MLP-I:ClassI:LTR:Copia	4708	42	1	0	1	0	38.00	0.00	38.00	38.00	38.00	38.00	38.00	42.00	0.00	42	42.00	42.00	42.00	42	0.89	0.00	0.89	0.89	0.89	0.89	0.89
Copia-151_CCri-I:ClassI:LTR:Copia	4445	78	1	0	1	0	32.39	0.00	32.39	32.39	32.39	32.39	32.39	78.00	0.00	78	78.00	78.00	78.00	78	1.75	0.00	1.75	1.75	1.75	1.75	1.75
Copia-15_PAb-I:ClassI:LTR:Copia	4431	219	1	0	1	0	46.58	0.00	46.58	46.58	46.58	46.58	46.58	219.00	0.00	219	219.00	219.00	219.00	219	4.94	0.00	4.94	4.94	4.94	4.94	4.94
Copia-162_CCri-I:ClassI:LTR:Copia	4677	39	1	0	1	0	31.11	0.00	31.11	31.11	31.11	31.11	31.11	39.00	0.00	39	39.00	39.00	39.00	39	0.83	0.00	0.83	0.83	0.83	0.83	0.83
Copia-16_JC-I:ClassI:LTR:Copia	4261	60	1	0	1	0	45.00	0.00	45.00	45.00	45.00	45.00	45.00	60.00	0.00	60	60.00	60.00	60.00	60	1.41	0.00	1.41	1.41	1.41	1.41	1.41
