TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-comp_SN4-B-P4.3-Map3_reversed	6846	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHX-incomp_CS10-B-G138-Map19_reversed	6578	15968	19	1	19	1	85.21	7.00	75.00	79.70	83.30	93.10	95.80	840.42	1922.29	43	60.00	81.00	182.00	6338	12.78	29.22	0.65	0.91	1.23	2.77	96.35
DHX-incomp_CS10-B-G139-Map20	6718	18689	32	2	32	2	83.72	7.31	72.40	77.50	82.35	90.60	97.20	589.59	1622.53	32	82.00	103.50	178.00	6735	8.78	24.15	0.48	1.22	1.54	2.65	100.25
DHX-incomp_CS10-B-G140-Map5_reversed	5735	3147	9	0	9	0	83.32	8.90	72.90	75.80	83.60	91.30	95.50	349.67	700.46	39	116.00	139.00	144.00	2214	6.10	12.21	0.68	2.02	2.42	2.51	38.61
DHX-incomp_CS10-B-G145-Map3_reversed	6579	9031	7	0	7	0	90.09	8.73	75.80	79.50	95.90	95.90	96.30	1290.14	1915.14	67	91.00	265.00	3644.00	4492	19.61	29.11	1.02	1.38	4.03	55.39	68.28
DHX-incomp_CS10-B-G22-Map20_reversed	7636	447	4	0	4	0	82.43	6.62	76.70	78.10	80.85	91.30	91.30	111.75	53.91	63	73.00	103.00	178.00	178	1.46	0.71	0.83	0.96	1.35	2.33	2.33
DHX-incomp_CS10-L-B47-Map1	8633	10564	5	0	4	1	91.59	7.47	81.00	92.50	93.50	98.38	98.38	2641.00	4034.94	222	817.00	832.00	8678.00	8678	30.59	46.74	2.57	9.46	9.64	100.52	100.52
DHX-incomp_CS10_RS_12	7347	4273	28	0	27	0	77.38	4.94	66.30	74.80	77.80	80.50	87.80	158.26	168.85	63	100.00	114.00	168.00	968	2.15	2.30	0.86	1.36	1.55	2.29	13.18
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	710	6	0	6	0	77.08	4.21	73.00	74.90	75.45	79.00	84.70	118.33	52.89	72	74.00	112.50	122.00	217	9.50	4.25	5.78	5.94	9.03	9.79	17.42
DHX-incomp_SN2000-B-G180-Map3	13100	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN15_SOL-B-R31-Map20	23505	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN15_SOL_RS_5	16085	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMX-incomp_SN4-B-R24-Map20	14733	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp-chim_Ptr_1CBFP-B-G241-Map3_reversed	8160	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp-chim_Ptr_1CBFP-L-B152-Map1	3195	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp-chim_Ptr_1CBFP-L-B81-Map1	7709	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_CS10-B-G109-Map8_reversed	3403	17044	6	5	6	5	96.88	3.34	90.90	95.70	97.60	99.70	99.80	2840.67	1370.09	44	3393.00	3399.00	3404.00	3405	83.48	40.26	1.29	99.71	99.88	100.03	100.06
DTX-comp_CS10-B-G114-Map4	3744	21700	12	4	10	4	82.57	5.45	75.30	79.56	82.41	86.50	92.00	2170.00	1842.42	21	38.00	3449.50	3675.00	3701	57.96	49.21	0.56	1.01	92.13	98.16	98.85
DTX-comp_CS10-B-G32-Map6_reversed	1868	6047	12	2	12	2	87.32	6.78	77.00	81.30	88.50	93.80	93.90	527.00	646.82	78	136.00	251.00	625.00	1860	28.21	34.63	4.18	7.28	13.44	33.46	99.57
DTX-comp_CS10-B-G50-Map6	1879	6529	13	2	11	2	88.58	8.78	72.90	79.60	90.24	95.90	95.90	593.55	699.62	27	160.00	184.00	1015.00	1862	31.59	37.23	1.44	8.52	9.79	54.02	99.10
DTX-comp_CS10-B-G66-Map11	1853	8696	8	4	8	4	87.20	12.16	62.10	82.80	89.35	99.10	99.60	1087.00	814.47	153	336.00	1234.00	1852.00	1857	58.66	43.95	8.26	18.13	66.59	99.95	100.22
DTX-comp_CS10-B-G67-Map7_reversed	1858	11721	12	5	12	5	91.04	7.90	80.30	84.80	90.70	99.70	99.70	976.75	848.73	29	170.00	991.00	1857.00	1859	52.57	45.68	1.56	9.15	53.34	99.95	100.05
DTX-comp_CS10-B-G74-Map20	1866	12207	12	5	11	5	96.51	5.00	81.66	96.60	98.30	98.30	99.60	1109.73	735.10	264	366.00	801.00	1859.00	1864	59.47	39.39	14.15	19.61	42.93	99.62	99.89
DTX-comp_CS10-B-G81-Map12	2134	2138	1	1	1	1	97.30	0.00	97.30	97.30	97.30	97.30	97.30	2138.00	0.00	2138	2138.00	2138.00	2138.00	2138	100.19	0.00	100.19	100.19	100.19	100.19	100.19
DTX-comp_CS10-B-G88-Map13	2683	15631	15	3	13	4	81.80	15.37	57.00	66.17	85.70	93.70	98.80	1202.38	1117.19	23	101.00	854.00	2583.00	2670	44.81	41.64	0.86	3.76	31.83	96.27	99.52
DTX-comp_CS10-B-P10.35-Map6	1605	19466	14	11	13	12	94.46	9.89	64.70	96.20	98.40	98.90	99.00	1497.38	379.08	236	1597.00	1600.00	1604.00	1624	93.29	23.62	14.70	99.50	99.69	99.94	101.18
DTX-comp_CS10-B-P11.13-Map5	1864	6197	9	3	9	3	89.42	6.61	79.00	86.60	88.40	95.30	98.10	697.89	881.25	29	84.00	94.00	1864.00	1871	37.44	47.28	1.56	4.51	5.04	100.00	100.38
DTX-comp_CS10-B-P21.26-Map14	2122	3278	5	1	5	1	86.28	11.18	68.00	83.30	92.00	92.80	95.30	655.60	808.85	107	277.00	402.00	406.00	2086	30.90	38.12	5.04	13.05	18.94	19.13	98.30
DTX-comp_CS10-B-P29.22-Map3_reversed	1852	11638	14	5	14	5	95.23	8.60	74.00	97.60	98.80	99.00	99.20	843.00	825.85	64	100.00	461.00	1850.00	1853	45.52	44.59	3.46	5.40	24.89	99.89	100.05
DTX-comp_CS10-B-P30.21-Map8_reversed	1496	12506	15	7	14	7	89.99	9.41	72.30	85.10	91.10	98.20	99.10	894.79	674.00	21	106.00	1193.00	1492.00	1498	59.81	45.05	1.40	7.09	79.75	99.73	100.13
DTX-comp_CS10-B-P35.17-Map20	2162	28723	33	11	30	11	88.14	10.54	70.90	78.25	89.65	99.10	99.50	957.43	961.06	26	105.00	353.50	2156.00	2174	44.28	44.45	1.20	4.86	16.35	99.72	100.56
DTX-comp_CS10-B-P54.1-Map3_reversed	1842	5730	5	3	5	3	99.76	0.15	99.60	99.70	99.70	99.80	100.00	1146.00	951.59	66	142.00	1839.00	1840.00	1843	62.21	51.66	3.58	7.71	99.84	99.89	100.05
DTX-comp_CS10-B-R111-Map4	2788	8852	5	3	5	3	96.44	4.56	88.90	95.30	99.10	99.40	99.50	1770.40	1401.54	42	444.00	2787.00	2788.00	2791	63.50	50.27	1.51	15.93	99.96	100.00	100.11
DTX-comp_CS10-B-R118-Map10	1854	4669	8	2	7	2	89.18	10.52	74.56	77.50	87.20	99.30	100.00	667.00	816.15	72	88.00	301.00	1849.00	1853	35.98	44.02	3.88	4.75	16.24	99.73	99.95
DTX-comp_CS10-B-R176-Map4_reversed	2002	13355	12	3	12	3	91.15	5.66	80.90	88.80	93.60	95.80	97.70	1112.92	916.22	86	314.00	1146.00	2005.00	2156	55.59	45.77	4.30	15.68	57.24	100.15	107.69
DTX-comp_CS10-B-R37-Map6	1840	6504	8	3	8	3	86.44	9.00	75.00	81.20	82.50	95.90	98.80	813.00	853.13	97	220.00	283.50	1840.00	1844	44.18	46.37	5.27	11.96	15.41	100.00	100.22
DTX-comp_CS10-B-R6-Map4_reversed	1859	2053	2	1	2	1	97.95	2.62	96.10	96.10	97.95	99.80	99.80	1026.50	1177.33	194	194.00	1026.50	1859.00	1859	55.22	63.33	10.44	10.44	55.22	100.00	100.00
DTX-comp_CS10-B-R77-Map3	1847	13924	18	4	17	4	84.83	4.74	78.10	82.00	84.10	86.70	95.00	819.65	753.68	63	210.00	523.00	1654.00	1861	44.38	40.81	3.41	11.37	28.32	89.55	100.76
DTX-comp_CS10_RS_00	14080	35340	41	1	39	1	77.40	7.87	61.78	71.20	77.30	83.60	99.50	906.15	2248.41	29	119.00	318.00	1139.00	14073	6.44	15.97	0.21	0.85	2.26	8.09	99.95
DTX-comp_CS10_RS_49	1849	6031	6	2	6	2	78.33	6.69	68.40	73.10	79.00	84.90	85.60	1005.17	882.23	119	214.00	992.50	1835.00	1878	54.36	47.71	6.44	11.57	53.68	99.24	101.57
DTX-comp_Ptr_1CBFP-B-G140-Map20_reversed	3361	242	1	0	1	0	74.50	0.00	74.50	74.50	74.50	74.50	74.50	242.00	0.00	242	242.00	242.00	242.00	242	7.20	0.00	7.20	7.20	7.20	7.20	7.20
DTX-comp_Ptr_1CBFP-B-G144-Map3	3133	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G36-Map7_reversed	2121	283	1	0	1	0	74.80	0.00	74.80	74.80	74.80	74.80	74.80	283.00	0.00	283	283.00	283.00	283.00	283	13.34	0.00	13.34	13.34	13.34	13.34	13.34
DTX-comp_Ptr_1CBFP-B-G40-Map9_reversed	1948	222	1	0	1	0	80.10	0.00	80.10	80.10	80.10	80.10	80.10	222.00	0.00	222	222.00	222.00	222.00	222	11.40	0.00	11.40	11.40	11.40	11.40	11.40
DTX-comp_Ptr_1CBFP-B-G47-Map3_reversed	2115	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G55-Map12	2153	263	1	0	1	0	71.50	0.00	71.50	71.50	71.50	71.50	71.50	263.00	0.00	263	263.00	263.00	263.00	263	12.22	0.00	12.22	12.22	12.22	12.22	12.22
DTX-comp_Ptr_1CBFP-B-G57-Map9_reversed	1869	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G58-Map5	1849	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G59-Map7_reversed	1871	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G62-Map16	1881	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G66-Map20_reversed	1890	2408	3	1	3	1	68.37	5.66	65.10	65.10	65.10	74.90	74.90	802.67	928.80	144	144.00	399.00	1865.00	1865	42.47	49.14	7.62	7.62	21.11	98.68	98.68
DTX-comp_Ptr_1CBFP-B-G78-Map3	2103	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G84-Map3_reversed	2103	296	3	0	3	0	76.10	2.29	73.50	73.50	77.00	77.80	77.80	98.67	13.01	86	86.00	98.00	112.00	112	4.69	0.62	4.09	4.09	4.66	5.33	5.33
DTX-comp_Ptr_1CBFP-B-G89-Map6	2102	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G90-Map7_reversed	2114	2227	3	0	3	0	72.33	2.38	69.60	69.60	73.50	73.90	73.90	742.33	919.44	208	208.00	215.00	1804.00	1804	35.12	43.49	9.84	9.84	10.17	85.34	85.34
DTX-comp_Ptr_1CBFP-B-G92-Map6_reversed	2107	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTX-comp_Ptr_1CBFP-B-G94-Map14	2123	92	1	0	1	0	79.10	0.00	79.10	79.10	79.10	79.10	79.10	92.00	0.00	92	92.00	92.00	92.00	92	4.33	0.00	4.33	4.33	4.33	4.33	4.33
DTX-comp_Ptr_1CBFP-B-P11.48-Map4_reversed	1855	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
