TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Copia-68_BG-I_1p:ClassI:LTR:Copia	1616	3344	5	1	4	1	38.68	4.51	34.31	35.30	38.63	43.13	43.13	836.00	489.97	546	596.00	614.50	1569.00	1569	51.73	30.32	33.79	36.88	38.03	97.09	97.09
Copia-69_BG-I_1p:ClassI:LTR:Copia	1517	1633	2	1	2	1	40.87	7.29	35.71	35.71	40.87	46.02	46.02	816.50	1021.77	94	94.00	816.50	1539.00	1539	53.82	67.35	6.20	6.20	53.82	101.45	101.45
Copia-6_BG-I_1p:ClassI:LTR:Copia	1507	4443	5	1	4	2	29.64	1.62	27.99	28.52	29.68	31.20	31.20	1110.75	684.78	96	1299.00	1408.50	1530.00	1530	73.71	45.44	6.37	86.20	93.46	101.53	101.53
Gypsy-1_CH_1p:ClassI:LTR:Gypsy	645	20408	63	2	20	1	54.80	7.96	35.40	50.62	54.95	60.66	70.46	1023.40	577.40	23	540.00	1029.00	1557.00	1844	158.67	89.52	3.57	83.72	159.53	241.40	285.89
Gypsy-1_CH_2p:ClassI:LTR:Gypsy	1221	25470	68	0	27	2	53.66	8.43	36.46	48.00	54.96	58.78	70.00	948.26	737.52	25	393.00	954.00	1197.00	2874	77.66	60.40	2.05	32.19	78.13	98.03	235.38
Gypsy-2_CH_1p:ClassI:LTR:Gypsy	710	185013	347	14	166	6	59.32	13.47	35.46	48.52	56.64	69.10	96.06	1121.17	732.17	24	399.00	1059.00	1889.00	2133	157.91	103.12	3.38	56.20	149.15	266.06	300.42
Gypsy-2_CH_2p:ClassI:LTR:Gypsy	1497	208843	485	3	325	2	65.99	14.01	32.52	56.18	63.49	76.00	98.72	646.31	704.05	21	225.00	396.00	786.00	4341	43.17	47.03	1.40	15.03	26.45	52.51	289.98
Gypsy-2_GDe-I_1p:ClassI:LTR:Gypsy	1287	415226	708	12	345	10	49.40	7.61	27.20	44.15	49.73	54.12	79.07	1210.73	1034.17	35	342.00	861.00	1752.00	3819	94.07	80.35	2.72	26.57	66.90	136.13	296.74
Gypsy-2_GDe-I_3p:ClassI:LTR:Gypsy	437	71806	159	6	109	6	38.79	5.14	25.81	35.37	38.59	40.88	51.49	659.34	207.14	222	480.00	708.00	840.00	1194	150.88	47.40	50.80	109.84	162.01	192.22	273.23
Gypsy-3_CH_1p:ClassI:LTR:Gypsy	717	40006	82	2	69	3	58.16	10.04	34.75	52.29	57.81	63.54	82.87	581.17	541.50	24	165.00	397.00	780.00	2019	81.06	75.52	3.35	23.01	55.37	108.79	281.59
Gypsy-3_CH_2p:ClassI:LTR:Gypsy	1496	82932	194	3	160	2	62.90	12.16	33.01	56.06	62.72	70.78	93.78	522.60	490.87	22	177.00	364.50	810.00	2661	34.93	32.81	1.47	11.83	24.36	54.14	177.87
Gypsy-41_BG-I_2p:ClassI:LTR:Gypsy	1425	24740	174	1	166	1	38.93	7.24	26.09	33.33	37.75	44.64	67.69	149.20	269.32	21	45.00	69.00	147.00	2052	10.47	18.90	1.47	3.16	4.84	10.32	144.00
Gypsy-4_BG-I_2p:ClassI:LTR:Gypsy	1112	4510	25	1	24	1	41.45	8.78	28.40	36.36	39.08	50.00	56.25	187.92	468.48	27	27.00	30.00	96.00	2124	16.90	42.13	2.43	2.43	2.70	8.63	191.01
Gypsy-4_CH_2p:ClassI:LTR:Gypsy	1436	101004	225	4	168	6	59.70	12.15	30.65	51.96	59.28	67.79	91.49	617.21	570.31	22	237.00	453.00	863.00	3054	42.98	39.71	1.53	16.50	31.55	60.10	212.67
Gypsy-5_CH_1p:ClassI:LTR:Gypsy	710	14336	53	1	49	1	53.84	11.18	32.96	47.24	52.63	59.26	83.33	293.08	280.25	24	138.00	194.00	315.00	1305	41.28	39.47	3.38	19.44	27.32	44.37	183.80
Gypsy-5_CH_2p:ClassI:LTR:Gypsy	1462	48338	124	3	105	4	61.67	13.32	30.07	53.38	62.50	71.93	90.00	477.62	491.46	21	105.00	291.00	763.00	2190	32.67	33.62	1.44	7.18	19.90	52.19	149.79
Gypsy-6_CH_1p:ClassI:LTR:Gypsy	717	23258	69	1	60	3	54.94	10.14	28.90	47.50	55.14	61.11	75.00	388.70	380.75	21	96.00	208.50	669.00	1568	54.21	53.10	2.93	13.39	29.08	93.31	218.69
Gypsy-6_CH_2p:ClassI:LTR:Gypsy	1462	198114	356	4	219	7	65.78	14.22	25.53	56.13	63.96	76.09	98.10	915.32	834.56	21	276.00	613.00	1339.00	4319	62.61	57.08	1.44	18.88	41.93	91.59	295.42
I-5_AO_2p:ClassI:LINE:I	1255	57512	86	7	42	1	60.99	13.90	27.33	58.24	63.50	69.66	89.86	1376.19	1293.84	31	313.00	799.50	2427.00	3759	109.66	103.09	2.47	24.94	63.71	193.39	299.52
MarCry-1_FO_1p:ClassII:TIR:Tc1-Mariner	381	12364	42	2	40	2	40.75	9.39	26.32	33.96	38.30	47.93	61.69	309.60	242.10	24	79.00	271.50	441.00	942	81.26	63.54	6.30	20.73	71.26	115.75	247.24
Mariner-129_CCri_1p:ClassII:TIR:Tc1-Mariner	308	309	1	1	1	1	39.42	0.00	39.42	39.42	39.42	39.42	39.42	309.00	0.00	309	309.00	309.00	309.00	309	100.32	0.00	100.32	100.32	100.32	100.32	100.32
Mariner-12_SS_1p:ClassII:?:?	573	7758	15	2	13	2	31.15	3.82	24.24	30.22	30.85	33.33	38.71	596.77	384.85	30	369.00	588.00	867.00	1065	104.15	67.16	5.24	64.40	102.62	151.31	185.86
Mariner-13_SS_1p:ClassII:TIR:Tc1-Mariner	568	41752	97	1	89	2	39.58	7.98	22.56	33.50	39.67	46.31	53.62	469.61	490.49	21	60.00	290.00	732.00	1680	82.68	86.35	3.70	10.56	51.06	128.87	295.77
Mariner-14_SS_1p:ClassII:TIR:Tc1-Mariner	595	1506	13	1	13	1	33.37	6.55	26.49	29.15	31.41	34.67	51.61	115.85	157.01	21	33.00	49.00	93.00	570	19.47	26.39	3.53	5.55	8.24	15.63	95.80
Mariner-15_CGi_1p:ClassII:TIR:Tc1-Mariner	325	318	1	1	1	1	37.74	0.00	37.74	37.74	37.74	37.74	37.74	318.00	0.00	318	318.00	318.00	318.00	318	97.85	0.00	97.85	97.85	97.85	97.85	97.85
Mariner-1_ABr_1p:ClassII:TIR:Tc1-Mariner	616	80706	137	2	90	1	41.74	6.40	27.27	38.07	41.84	45.54	61.54	900.01	456.81	30	447.00	966.00	1362.00	1500	146.11	74.16	4.87	72.56	156.82	221.10	243.51
Mariner-1_AFp:ClassII:TIR:Tc1-Mariner	556	93924	144	2	124	1	42.99	8.12	24.17	36.67	44.78	48.73	60.43	758.18	596.35	21	102.00	735.50	1350.00	1635	136.36	107.26	3.78	18.35	132.28	242.81	294.06
Mariner-2_TMe_1p:ClassII:TIR:Tc1-Mariner	585	21206	51	4	32	3	37.61	6.86	25.52	35.10	37.00	39.91	58.33	666.62	459.28	27	216.00	714.00	1080.00	1581	113.95	78.51	4.62	36.92	122.05	184.62	270.26
Mariner-35_SSa_1p:ClassII:TIR:Tc1-Mariner	337	980	4	1	4	1	32.37	6.94	28.43	28.43	29.15	42.73	42.73	245.00	138.46	38	306.00	306.00	330.00	330	72.70	41.09	11.28	90.80	90.80	97.92	97.92
Mariner-4_SS_1p:ClassII:TIR:Tc1-Mariner	547	47101	92	3	81	3	40.01	7.43	24.54	34.55	39.38	44.47	57.05	582.70	435.66	21	147.00	502.00	942.00	1590	106.53	79.65	3.84	26.87	91.77	172.21	290.68
Mariner-51_HSal_1p:ClassII:TIR:Tc1-Mariner	342	663	2	2	2	2	38.89	3.09	36.70	36.70	38.89	41.07	41.07	331.50	6.36	327	327.00	331.50	336.00	336	96.93	1.86	95.61	95.61	96.93	98.25	98.25
Mariner-5_SS_1p:ClassII:TIR:Tc1-Mariner	550	45527	99	1	89	1	43.19	8.71	23.55	36.61	44.39	50.85	65.00	511.94	444.26	30	174.00	354.00	669.00	1629	93.08	80.78	5.45	31.64	64.36	121.64	296.18
Mariner-9_AN_1p:ClassII:TIR:Tc1-Mariner	622	21173	72	3	59	4	39.50	6.74	25.00	35.90	40.78	43.93	52.45	360.54	391.22	37	70.00	180.00	537.00	1611	57.97	62.90	5.95	11.25	28.94	86.33	259.00
Mariner-9_DAn_1p:ClassII:TIR:Tc1-Mariner	331	1012	4	2	3	3	38.03	2.53	36.04	36.04	37.17	40.87	40.87	339.00	6.00	333	333.00	339.00	345.00	345	102.42	1.81	100.60	100.60	102.42	104.23	104.23
MGR583_1p:ClassI:LINE:I	570	4463	8	1	6	1	30.22	4.02	25.68	26.37	30.00	33.83	35.47	744.50	125.63	597	603.00	774.00	837.00	882	130.61	22.04	104.74	105.79	135.79	146.84	154.74
MGR583_2p:ClassI:LINE:I	1295	29295	52	0	37	1	42.06	9.45	26.09	36.25	40.41	45.59	69.61	793.49	630.10	78	306.00	765.00	858.00	2846	61.27	48.66	6.02	23.63	59.07	66.25	219.77
MuDR-3_TC_1p:ClassII:TIR:MuDR	822	3134	5	1	5	1	24.56	1.56	23.08	23.22	24.35	25.38	26.79	626.80	536.11	72	77.00	789.00	912.00	1284	76.25	65.22	8.76	9.37	95.99	110.95	156.20
MuDR-7_Mad_1p:ClassII:TIR:MuDR	713	724	1	1	1	1	23.31	0.00	23.31	23.31	23.31	23.31	23.31	724.00	0.00	724	724.00	724.00	724.00	724	101.54	0.00	101.54	101.54	101.54	101.54	101.54
REAL_AA_1p:ClassI:LTR:Gypsy	1243	174267	250	13	146	9	50.13	14.26	25.81	40.45	47.81	57.76	90.16	1204.61	1028.81	24	393.00	895.50	1740.00	3804	96.91	82.77	1.93	31.62	72.04	139.98	306.03
Tad1-14_BG_1p:ClassI:LINE:I	523	13544	32	1	29	1	43.29	10.04	25.91	37.55	46.01	47.69	65.39	467.07	205.91	78	291.00	477.00	636.00	789	89.31	39.37	14.91	55.64	91.20	121.61	150.86
Tad1-14_BG_2p:ClassI:LINE:I	1286	3180	17	1	16	1	42.79	8.24	26.39	39.62	41.67	50.00	54.54	199.00	333.86	22	38.00	89.00	180.00	1310	15.47	25.96	1.71	2.95	6.92	14.00	101.87
