TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
Copia-1_VA-I_1p:ClassI:LTR:Copia	608	11590	21	2	12	0	43.98	5.41	35.56	40.65	43.31	49.80	54.03	967.17	608.31	39	738.00	1051.50	1527.00	1680	159.07	100.05	6.41	121.38	172.94	251.15	276.32
Copia-1_VA-I_2p:ClassI:LTR:Copia	896	5389	12	1	5	1	34.30	3.70	29.76	31.55	34.84	36.38	38.98	1089.60	290.71	663	909.00	1275.00	1293.00	1308	121.61	32.45	74.00	101.45	142.30	144.31	145.98
Copia-69_BG-I_1p:ClassI:LTR:Copia	1517	1620	2	1	2	1	47.34	2.03	45.91	45.91	47.34	48.78	48.78	810.00	971.56	123	123.00	810.00	1497.00	1497	53.39	64.05	8.11	8.11	53.39	98.68	98.68
Copia-6_BG-I_1p:ClassI:LTR:Copia	1507	5524	4	1	2	1	30.34	2.09	28.87	28.87	30.34	31.82	31.82	2762.00	1742.31	1530	1530.00	2762.00	3994.00	3994	183.28	115.61	101.53	101.53	183.28	265.03	265.03
EnSpm-2_PGr_1p:ClassII:TIR:CACTA	500	3900	9	2	9	2	33.47	6.36	26.51	30.11	31.30	32.86	46.79	433.33	92.27	327	381.00	408.00	498.00	624	86.67	18.45	65.40	76.20	81.60	99.60	124.80
EnSpm-7_CCri_5p:ClassII:TIR:CACTA	348	1187	4	1	2	0	44.45	16.91	32.50	32.50	44.45	56.41	56.41	595.50	53.03	558	558.00	595.50	633.00	633	171.12	15.24	160.34	160.34	171.12	181.90	181.90
Gypsy-1_CH_1p:ClassI:LTR:Gypsy	645	16934	51	1	16	1	54.19	7.70	36.97	50.59	54.52	59.02	67.86	1060.62	582.61	270	501.00	1108.50	1575.00	1923	164.44	90.33	41.86	77.67	171.86	244.19	298.14
Gypsy-2_CH_1p:ClassI:LTR:Gypsy	710	191406	345	10	166	4	58.36	13.24	34.48	49.19	55.38	65.85	98.52	1169.23	746.51	36	436.00	1199.00	1968.00	3143	164.68	105.14	5.07	61.41	168.87	277.18	442.68
Gypsy-2_CH_2p:ClassI:LTR:Gypsy	1497	192721	463	2	320	0	63.50	13.53	28.89	54.17	62.06	70.97	100.00	605.17	647.73	24	217.00	384.50	753.00	4203	40.43	43.27	1.60	14.50	25.68	50.30	280.76
Gypsy-2_GDe-I_1p:ClassI:LTR:Gypsy	1287	399323	620	17	292	9	49.33	6.79	33.09	44.74	50.00	53.44	71.66	1379.21	1192.35	23	342.00	908.00	2535.00	4862	107.16	92.65	1.79	26.57	70.55	196.97	377.78
Gypsy-2_GDe-I_3p:ClassI:LTR:Gypsy	437	62165	155	4	102	6	39.44	4.83	30.23	36.79	38.59	42.72	52.85	610.11	190.01	224	465.00	570.00	825.00	975	139.61	43.48	51.26	106.41	130.43	188.79	223.11
Gypsy-31_BG-I_2p:ClassI:LTR:Gypsy	1312	10202	42	1	40	1	49.45	10.76	28.07	41.94	49.59	57.52	74.26	256.02	372.31	21	76.00	122.50	283.00	1895	19.51	28.38	1.60	5.79	9.34	21.57	144.44
Gypsy-34_BG-I_2p:ClassI:LTR:Gypsy	1242	2596	8	1	7	1	42.71	11.68	24.22	33.78	48.65	52.99	54.54	373.14	554.62	25	27.00	56.00	1146.00	1221	30.04	44.66	2.01	2.17	4.51	92.27	98.31
Gypsy-3_CH_1p:ClassI:LTR:Gypsy	717	28376	70	3	55	2	59.20	10.06	36.69	50.65	59.79	65.87	83.52	518.65	419.54	27	181.00	393.00	750.00	1851	72.34	58.51	3.77	25.24	54.81	104.60	258.16
Gypsy-3_CH_2p:ClassI:LTR:Gypsy	1496	82063	229	2	181	2	64.27	12.37	28.89	55.17	62.80	73.45	95.00	459.13	441.23	23	147.00	312.00	636.00	2163	30.69	29.49	1.54	9.83	20.86	42.51	144.59
Gypsy-4_CH_2p:ClassI:LTR:Gypsy	1436	103414	212	4	160	6	58.84	12.45	27.27	51.94	58.81	68.33	88.49	668.44	609.48	23	240.00	523.50	972.00	4278	46.55	42.44	1.60	16.71	36.46	67.69	297.91
Gypsy-4_MLP-I_2p:ClassI:LTR:Gypsy	1013	2076	2	1	2	1	33.77	1.81	32.49	32.49	33.77	35.05	35.05	1038.00	39.60	1010	1010.00	1038.00	1066.00	1066	102.47	3.91	99.70	99.70	102.47	105.23	105.23
Gypsy-57_BG-I_2p:ClassI:LTR:Gypsy	1249	9724	15	1	12	0	44.92	7.79	34.04	38.52	45.92	52.06	57.87	811.75	621.76	21	267.00	877.50	1485.00	1776	64.99	49.78	1.68	21.38	70.26	118.90	142.19
Gypsy-5_CH_2p:ClassI:LTR:Gypsy	1462	50594	125	2	108	4	62.90	13.75	28.89	53.29	63.36	75.00	90.63	476.91	473.33	23	127.00	318.00	598.00	2289	32.62	32.38	1.57	8.69	21.75	40.90	156.57
Gypsy-63_BG-I_2p:ClassI:LTR:Gypsy	1215	2127	5	1	5	1	41.63	5.80	36.42	37.40	38.55	46.88	48.88	425.40	460.99	25	165.00	351.00	377.00	1209	35.01	37.94	2.06	13.58	28.89	31.03	99.51
Gypsy-6_CH_1p:ClassI:LTR:Gypsy	717	30562	65	3	55	3	54.41	10.92	36.36	44.30	55.28	61.27	82.88	557.35	414.76	24	207.00	510.00	816.00	1863	77.73	57.85	3.35	28.87	71.13	113.81	259.83
Gypsy-6_CH_2p:ClassI:LTR:Gypsy	1462	225791	384	8	253	8	64.12	13.87	25.53	54.87	63.04	73.48	97.58	905.59	868.61	23	261.00	591.00	1311.00	3994	61.94	59.41	1.57	17.85	40.42	89.67	273.19
Gypsy-9_BG-I_3p:ClassI:LTR:Gypsy	504	2029	6	1	6	1	49.56	13.54	32.54	36.00	50.66	63.45	64.06	338.17	223.85	105	147.00	323.00	561.00	570	67.10	44.42	20.83	29.17	64.09	111.31	113.10
HARB-4A_SBi_2p:ClassII:TIR:PIF-Harbinger	731	726	1	1	1	1	37.35	0.00	37.35	37.35	37.35	37.35	37.35	726.00	0.00	726	726.00	726.00	726.00	726	99.32	0.00	99.32	99.32	99.32	99.32	99.32
I-5_AO_1p:ClassI:LINE:I	443	8411	19	1	13	0	66.22	7.97	48.51	60.55	70.56	71.03	73.36	647.08	187.42	153	634.00	639.00	691.00	901	146.07	42.31	34.54	143.12	144.24	155.98	203.39
I-5_AO_2p:ClassI:LINE:I	1255	69144	98	5	47	2	59.98	11.24	25.18	50.00	61.96	68.58	77.78	1477.53	1178.00	66	474.00	1071.00	2272.00	3742	117.73	93.86	5.26	37.77	85.34	181.04	298.17
MarCry-1_FO_1p:ClassII:TIR:Tc1-Mariner	381	9617	37	1	34	1	43.67	9.24	29.59	36.77	42.50	50.00	70.00	283.09	284.33	24	72.00	190.50	372.00	1056	74.30	74.63	6.30	18.90	50.00	97.64	277.17
Mariner-12_SS_1p:ClassII:?:?	573	7011	13	1	13	1	32.62	4.15	25.00	31.13	32.29	36.60	38.89	539.31	418.89	30	39.00	681.00	861.00	1071	94.12	73.11	5.24	6.81	118.85	150.26	186.91
Mariner-13_SS_1p:ClassII:TIR:Tc1-Mariner	568	47991	117	3	107	3	38.80	7.95	23.90	31.82	38.71	44.72	54.26	449.07	485.92	21	61.00	256.00	798.00	1674	79.06	85.55	3.70	10.74	45.07	140.49	294.72
Mariner-1_AFp:ClassII:TIR:Tc1-Mariner	556	111954	159	3	136	2	43.86	6.93	26.71	40.15	45.87	48.06	57.39	823.96	567.07	21	179.00	964.50	1311.00	1635	148.19	101.99	3.78	32.19	173.47	235.79	294.06
