TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
DHX-incomp_CS10-B-G138-Map19_reversed	6578	13689	16	1	14	1	80.66	7.49	70.90	76.00	79.85	83.30	99.70	978.21	2065.79	47	65.00	85.00	325.00	6321	14.87	31.40	0.71	0.99	1.29	4.94	96.09
DHX-incomp_CS10-B-G139-Map20	6718	21887	37	1	35	1	83.18	8.35	71.70	77.40	81.20	90.60	100.00	625.51	1624.09	21	64.00	92.00	130.00	6673	9.31	24.18	0.31	0.95	1.37	1.94	99.33
DHX-incomp_CS10-B-G140-Map5_reversed	5735	6373	18	0	16	0	76.87	8.43	60.00	72.50	74.90	83.60	97.40	398.31	634.68	39	111.00	142.50	559.00	2582	6.95	11.07	0.68	1.94	2.48	9.75	45.02
DHX-incomp_CS10-B-G145-Map3_reversed	6579	740	5	0	5	0	95.24	8.82	79.50	98.60	98.60	99.50	100.00	148.00	134.94	21	64.00	66.00	294.00	295	2.25	2.05	0.32	0.97	1.00	4.47	4.48
DHX-incomp_CS10-B-G22-Map20_reversed	7636	706	6	0	6	0	81.03	9.96	73.30	74.50	77.40	83.60	100.00	117.67	39.89	63	73.00	133.50	142.00	161	1.54	0.52	0.83	0.96	1.75	1.86	2.11
DHX-incomp_CS10-L-B47-Map1	8633	11045	6	1	6	1	87.53	10.39	74.60	76.00	90.05	94.60	99.90	1840.83	3344.76	213	219.00	572.50	824.00	8644	21.32	38.74	2.47	2.54	6.63	9.54	100.13
DHX-incomp_CS10_RS_12	7347	12447	33	0	32	0	78.48	6.78	66.50	75.20	78.20	81.40	98.60	388.97	884.04	41	101.00	118.50	202.00	3726	5.29	12.03	0.56	1.37	1.61	2.75	50.71
DHX-incomp_Ptr_1CBFP-B-R311-Map3_reversed	1246	700	6	0	6	0	75.73	2.88	71.10	74.90	75.40	78.60	79.00	116.67	53.41	72	88.00	94.00	135.00	217	9.36	4.29	5.78	7.06	7.54	10.83	17.42
DTX-comp_CS10-B-G109-Map8_reversed	3403	27241	10	8	10	8	97.79	2.91	90.90	96.30	98.95	100.00	100.00	2724.10	1407.34	44	3355.00	3394.50	3399.00	3402	80.05	41.36	1.29	98.59	99.75	99.88	99.97
DTX-comp_CS10-B-G114-Map4	3744	24833	15	4	12	4	83.94	7.92	67.17	81.57	85.35	92.20	92.30	2069.42	1614.93	21	493.00	2501.50	3684.00	3698	55.27	43.13	0.56	13.17	66.81	98.40	98.77
DTX-comp_CS10-B-G32-Map6_reversed	1868	6457	8	2	8	2	88.01	7.59	77.00	81.50	89.70	95.30	95.30	807.12	826.64	78	136.00	411.00	1860.00	1866	43.21	44.25	4.18	7.28	22.00	99.57	99.89
DTX-comp_CS10-B-G50-Map6	1879	6890	15	2	14	2	89.66	8.05	72.90	88.40	92.60	95.50	96.30	492.14	649.30	25	56.00	175.00	820.00	1861	26.19	34.56	1.33	2.98	9.31	43.64	99.04
DTX-comp_CS10-B-G66-Map11	1853	8764	8	4	8	4	87.39	11.99	62.90	82.80	89.40	99.30	99.60	1095.50	822.69	153	337.00	1271.50	1850.00	1852	59.12	44.40	8.26	18.19	68.62	99.84	99.95
DTX-comp_CS10-B-G67-Map7_reversed	1858	17694	17	9	17	9	92.71	7.75	80.30	85.10	96.60	100.00	100.00	1042.88	880.94	29	76.00	1790.00	1856.00	1858	56.13	47.41	1.56	4.09	96.34	99.89	100.00
DTX-comp_CS10-B-G74-Map20	1866	17337	12	9	11	9	97.29	5.12	82.13	97.60	98.60	99.80	99.80	1576.09	618.31	288	1848.00	1855.00	1855.00	1861	84.46	33.14	15.43	99.04	99.41	99.41	99.73
DTX-comp_CS10-B-G81-Map12	2134	4266	2	2	2	2	97.60	0.00	97.60	97.60	97.60	97.60	97.60	2133.00	0.00	2133	2133.00	2133.00	2133.00	2133	99.95	0.00	99.95	99.95	99.95	99.95	99.95
DTX-comp_CS10-B-G88-Map13	2683	18307	14	5	14	5	86.08	12.02	60.00	84.70	88.95	94.30	98.80	1307.64	1148.37	23	90.00	1158.00	2581.00	2666	48.74	42.80	0.86	3.35	43.16	96.20	99.37
DTX-comp_CS10-B-P10.35-Map6	1605	19371	14	11	13	12	95.13	10.08	64.70	98.70	99.20	99.30	99.40	1490.08	377.03	236	1588.00	1600.00	1601.00	1618	92.84	23.49	14.70	98.94	99.69	99.75	100.81
DTX-comp_CS10-B-P11.13-Map5	1864	8474	10	4	10	4	89.88	6.47	79.00	86.60	89.70	95.60	98.60	847.40	879.19	29	75.00	396.50	1858.00	1864	45.46	47.17	1.56	4.02	21.27	99.68	100.00
