TE	length	covg	frags	fullLgthFrags	copies	fullLgthCopies	meanId	sdId	minId	q25Id	medId	q75Id	maxId	meanLgth	sdLgth	minLgth	q25Lgth	medLgth	q75Lgth	maxLgth	meanLgthPerc	sdLgthPerc	minLgthPerc	q25LgthPerc	medLgthPerc	q75LgthPerc	maxLgthPerc
BEL1-I_SM_1p:ClassI:LTR:Bel-Pao	1817	264	2	0	1	0	57.95	0.00	57.95	57.95	57.95	57.95	57.95	264.00	0.00	264	264.00	264.00	264.00	264	14.53	0.00	14.53	14.53	14.53	14.53	14.53
CFT1_2p:ClassI:LTR:Gypsy	969	372	2	0	2	0	36.70	5.71	32.67	32.67	36.70	40.74	40.74	186.00	224.86	27	27.00	186.00	345.00	345	19.20	23.21	2.79	2.79	19.20	35.60	35.60
Copia-101_SB-Ip:ClassI:LTR:Copia	827	21	1	0	1	0	32.11	0.00	32.11	32.11	32.11	32.11	32.11	21.00	0.00	21	21.00	21.00	21.00	21	2.54	0.00	2.54	2.54	2.54	2.54	2.54
Copia-10_ECa-I_2p:ClassI:LTR:Copia	506	90	1	0	1	0	29.98	0.00	29.98	29.98	29.98	29.98	29.98	90.00	0.00	90	90.00	90.00	90.00	90	17.79	0.00	17.79	17.79	17.79	17.79	17.79
Copia-113_AA-I_1p:ClassI:LTR:Copia	1349	27	1	0	1	0	26.09	0.00	26.09	26.09	26.09	26.09	26.09	27.00	0.00	27	27.00	27.00	27.00	27	2.00	0.00	2.00	2.00	2.00	2.00	2.00
Copia-118_AA-I_2p:ClassI:LTR:Copia	680	27	1	0	1	0	24.17	0.00	24.17	24.17	24.17	24.17	24.17	27.00	0.00	27	27.00	27.00	27.00	27	3.97	0.00	3.97	3.97	3.97	3.97	3.97
Copia-11_SB-I_1p:ClassI:LTR:Copia	1571	21	1	0	1	0	30.89	0.00	30.89	30.89	30.89	30.89	30.89	21.00	0.00	21	21.00	21.00	21.00	21	1.34	0.00	1.34	1.34	1.34	1.34	1.34
Copia-12_LU-I_1p:ClassI:LTR:Copia	1358	588	1	0	1	0	22.18	0.00	22.18	22.18	22.18	22.18	22.18	588.00	0.00	588	588.00	588.00	588.00	588	43.30	0.00	43.30	43.30	43.30	43.30	43.30
Copia-12_PSo-I_1p:ClassI:LTR:Copia	1420	81	1	0	1	0	29.63	0.00	29.63	29.63	29.63	29.63	29.63	81.00	0.00	81	81.00	81.00	81.00	81	5.70	0.00	5.70	5.70	5.70	5.70	5.70
Copia-12_SI-I_1p:ClassI:LTR:Copia	1396	24	1	0	1	0	28.13	0.00	28.13	28.13	28.13	28.13	28.13	24.00	0.00	24	24.00	24.00	24.00	24	1.72	0.00	1.72	1.72	1.72	1.72	1.72
Copia-14_AA-I_1p:ClassI:LTR:Copia	1361	1131	3	0	3	0	33.03	6.56	26.98	26.98	32.10	40.00	40.00	377.00	348.11	24	24.00	387.00	720.00	720	27.70	25.58	1.76	1.76	28.43	52.90	52.90
Copia-16_SB-I_1p:ClassI:LTR:Copia	1636	21	1	0	1	0	31.56	0.00	31.56	31.56	31.56	31.56	31.56	21.00	0.00	21	21.00	21.00	21.00	21	1.28	0.00	1.28	1.28	1.28	1.28	1.28
Copia-17_PTa-I_2p:ClassI:LTR:Copia	886	27	1	0	1	0	25.62	0.00	25.62	25.62	25.62	25.62	25.62	27.00	0.00	27	27.00	27.00	27.00	27	3.05	0.00	3.05	3.05	3.05	3.05	3.05
Copia-18_ALY-I_1p:ClassI:LTR:Copia	1486	45	1	0	1	0	23.80	0.00	23.80	23.80	23.80	23.80	23.80	45.00	0.00	45	45.00	45.00	45.00	45	3.03	0.00	3.03	3.03	3.03	3.03	3.03
Copia-19_DPu-I_1p:ClassI:LTR:Copia	1306	144	1	0	1	0	29.80	0.00	29.80	29.80	29.80	29.80	29.80	144.00	0.00	144	144.00	144.00	144.00	144	11.03	0.00	11.03	11.03	11.03	11.03	11.03
Copia-19_PAb-I_1p:ClassI:LTR:Copia	1294	78	1	0	1	0	40.74	0.00	40.74	40.74	40.74	40.74	40.74	78.00	0.00	78	78.00	78.00	78.00	78	6.03	0.00	6.03	6.03	6.03	6.03	6.03
Copia-19_SB-I_1p:ClassI:LTR:Copia	1566	21	1	0	1	0	33.61	0.00	33.61	33.61	33.61	33.61	33.61	21.00	0.00	21	21.00	21.00	21.00	21	1.34	0.00	1.34	1.34	1.34	1.34	1.34
Copia-1_BG-I_1p:ClassI:LTR:Copia	1687	78	1	0	1	0	36.30	0.00	36.30	36.30	36.30	36.30	36.30	78.00	0.00	78	78.00	78.00	78.00	78	4.62	0.00	4.62	4.62	4.62	4.62	4.62
Copia-1_CMe-I_1p:ClassI:LTR:Copia	582	1347	4	0	1	0	68.57	0.00	68.57	68.57	68.57	68.57	68.57	1362.00	0.00	1362	1362.00	1362.00	1362.00	1362	234.02	0.00	234.02	234.02	234.02	234.02	234.02
Copia-1_MPA-I_1p:ClassI:LTR:Copia	614	96	1	0	1	0	31.98	0.00	31.98	31.98	31.98	31.98	31.98	96.00	0.00	96	96.00	96.00	96.00	96	15.64	0.00	15.64	15.64	15.64	15.64	15.64
Copia-1_VA-I_1p:ClassI:LTR:Copia	608	2166	2	0	2	0	37.31	0.95	36.64	36.64	37.31	37.98	37.98	1083.00	436.99	774	774.00	1083.00	1392.00	1392	178.12	71.87	127.30	127.30	178.12	228.95	228.95
Copia-1_VA-I_2p:ClassI:LTR:Copia	896	351	1	0	1	0	47.01	0.00	47.01	47.01	47.01	47.01	47.01	351.00	0.00	351	351.00	351.00	351.00	351	39.17	0.00	39.17	39.17	39.17	39.17	39.17
Copia-20_BD-I_1p:ClassI:LTR:Copia	1206	21	1	0	1	0	33.61	0.00	33.61	33.61	33.61	33.61	33.61	21.00	0.00	21	21.00	21.00	21.00	21	1.74	0.00	1.74	1.74	1.74	1.74	1.74
Copia-21_LU-I_1p:ClassI:LTR:Copia	1120	27	1	0	1	0	22.99	0.00	22.99	22.99	22.99	22.99	22.99	27.00	0.00	27	27.00	27.00	27.00	27	2.41	0.00	2.41	2.41	2.41	2.41	2.41
Copia-22_ATr-I_1p:ClassI:LTR:Copia	1476	69	1	0	1	0	29.70	0.00	29.70	29.70	29.70	29.70	29.70	69.00	0.00	69	69.00	69.00	69.00	69	4.67	0.00	4.67	4.67	4.67	4.67	4.67
Copia-25_BG-I_1p:ClassI:LTR:Copia	1627	5415	5	0	2	0	35.28	0.11	35.21	35.21	35.28	35.36	35.36	2707.50	294.86	2499	2499.00	2707.50	2916.00	2916	166.41	18.12	153.60	153.60	166.41	179.23	179.23
Copia-25_GM-I_2p:ClassI:LTR:Copia	591	252	2	0	1	0	39.02	0.00	39.02	39.02	39.02	39.02	39.02	252.00	0.00	252	252.00	252.00	252.00	252	42.64	0.00	42.64	42.64	42.64	42.64	42.64
Copia-25_JC-I_1p:ClassI:LTR:Copia	1319	27	1	0	1	0	28.79	0.00	28.79	28.79	28.79	28.79	28.79	27.00	0.00	27	27.00	27.00	27.00	27	2.05	0.00	2.05	2.05	2.05	2.05	2.05
Copia-26_ECa-I_1p:ClassI:LTR:Copia	1340	414	1	0	1	0	35.51	0.00	35.51	35.51	35.51	35.51	35.51	414.00	0.00	414	414.00	414.00	414.00	414	30.90	0.00	30.90	30.90	30.90	30.90	30.90
Copia-2_DEl-I_1p:ClassI:LTR:Copia	1474	75	1	0	1	0	27.34	0.00	27.34	27.34	27.34	27.34	27.34	75.00	0.00	75	75.00	75.00	75.00	75	5.09	0.00	5.09	5.09	5.09	5.09	5.09
Copia-30_DPu-I_1p:ClassI:LTR:Copia	1360	21	1	0	1	0	32.93	0.00	32.93	32.93	32.93	32.93	32.93	21.00	0.00	21	21.00	21.00	21.00	21	1.54	0.00	1.54	1.54	1.54	1.54	1.54
